Date,Open,High,Low,Close*,Adj Close**,Volume
2022-03-25,21.87,22.86,20.80,20.81,20.81,-
2022-03-24,23.61,23.79,21.49,21.67,21.67,-
2022-03-23,23.04,24.03,22.64,23.57,23.57,-
2022-03-22,24.02,24.02,22.70,22.94,22.94,-
2022-03-21,25.14,25.36,22.99,23.53,23.53,-
2022-03-18,26.36,26.82,23.85,23.87,23.87,-
2022-03-17,26.51,27.47,25.25,25.67,25.67,-
2022-03-16,29.02,29.80,26.29,26.67,26.67,-
2022-03-15,33.13,33.83,29.57,29.83,29.83,-
2022-03-14,31.03,33.18,30.06,31.77,31.77,-
2022-03-11,30.43,31.04,28.84,30.75,30.75,-
2022-03-10,33.03,34.03,30.23,30.23,30.23,-
2022-03-09,33.74,34.12,31.39,32.45,32.45,-
2022-03-08,36.19,37.52,32.78,35.13,35.13,-
2022-03-07,35.88,36.55,32.59,36.45,36.45,-
2022-03-04,31.90,34.65,31.47,31.98,31.98,-
2022-03-03,30.52,32.01,29.31,30.48,30.48,-
2022-03-02,34.20,34.41,30.12,30.74,30.74,-
2022-03-01,29.45,35.19,29.44,33.32,33.32,-
2022-02-28,32.44,33.51,28.43,30.15,30.15,-
2022-02-25,31.68,32.00,26.93,27.59,27.59,-
2022-02-24,37.50,37.79,29.45,30.32,30.32,-
2022-02-23,28.04,31.07,27.20,31.02,31.02,-
2022-02-22,31.80,32.04,28.40,28.81,28.81,-
2022-02-18,26.66,29.71,26.38,27.75,27.75,-
2022-02-17,24.83,28.37,24.76,28.11,28.11,-
2022-02-16,25.19,27.09,23.88,24.29,24.29,-
2022-02-15,28.09,28.09,25.33,25.70,25.70,-
2022-02-14,29.17,32.04,28.33,28.33,28.33,-
2022-02-11,24.39,30.99,23.33,27.36,27.36,-
2022-02-10,20.37,24.77,20.18,23.91,23.91,-
2022-02-09,21.27,21.30,19.93,19.96,19.96,-
2022-02-08,23.09,23.48,21.32,21.44,21.44,-
2022-02-07,24.09,24.82,22.02,22.86,22.86,-
2022-02-04,23.77,26.26,22.07,23.22,23.22,-
2022-02-03,22.63,25.81,22.30,24.35,24.35,-
2022-02-02,21.56,22.73,20.46,22.09,22.09,-
2022-02-01,24.57,25.33,21.96,21.96,21.96,-
