,bond_kor_10_cr,bond_kor_10_cr_2,bond_kor_2_cr,bond_kor_2_cr_2,kosdaq_cr,kosdaq_cr_2,kospi_cr,kospi_cr_2,krw_cr,krw_cr_2,dji_cr,dji_cr_2,dji_f_cr,dji_f_cr_2,dxy_cr,dxy_cr_2,ixic_f_cr,ixic_f_cr_2,ixic_cr,ixic_cr_2,spx_f_cr,spx_f_cr_2,sox_cr,sox_cr_2,spx_cr,spx_cr_2,bond_usa_10_cr,bond_usa_10_cr_2,bond_usa_2_cr,bond_usa_2_cr_2,bond_usa_3m_cr,bond_usa_3m_cr_2,vix_cr,vix_cr_2,wti_cr,wti_cr_2,spsy_cr,spsy_cr_2,spny_cr,spny_cr_2,spxhc_cr,spxhc_cr_2,splrcd_cr,splrcd_cr_2,splrci_cr,splrci_cr_2,splrcu_cr,splrcu_cr_2,splrcs_cr,splrcs_cr_2,splrct_cr,splrct_cr_2,splrcl_cr,splrcl_cr_2,splrcm_cr,splrcm_cr_2,ixbk_cr,ixbk_cr_2,ixfn_cr,ixfn_cr_2,ixid_cr,ixid_cr_2,ixis_cr,ixis_cr_2,ixk_cr,ixk_cr_2,ixtr_cr,ixtr_cr_2,ixut_cr,ixut_cr_2,nbi_cr,nbi_cr_2,bkx_cr,bkx_cr_2
2023-01-06,-0.78%,-2.48566,0.00%,-1.15158,-0.55,0.73635,0.38,2.07195,+0.26%,-0.37839,-1.02%,-0.62256,-1.04,-0.62504,0.76,0.49751,-1.63,-1.14431,-1.47%,-0.78695,-1.17,-0.44202,-1.98%,0.70092,-1.16%,-0.41944,0.86,-0.79957,2.49,1.91781,2.35,5.69403,2.04%,-1.9214,1.12,-4.14938,-0.92%,0.65398,1.99%,2.04948,-1.03%,-0.78433,-0.95%,0.44921,-1.09%,-0.18245,-2.22%,-1.30544,-0.99%,-0.69987,-1.96%,-1.70581,-0.55%,0.53841,-1.60%,0.11451,-1.08%,-0.39344,-1.60%,-0.1507,-1.32%,0.08918,-0.15%,0.82504,-2.08%,-2.10256,-0.82%,0.96667,0.85%,2.01413,0.21%,1.3334,-1.11%,1.18274
2023-01-09,+0.08%,-0.69483,+0.24%,0.24384,1.33,0.77084,1.12,1.50666,-1.63%,-1.37532,2.13%,1.08459,2.12,1.06536,-1.11,-0.35492,2.71,1.03871,2.56%,1.05682,2.26,1.0582,4.67%,2.59355,+2.28%,1.09292,-4.35,-3.52304,-4.61,-2.24977,0.09,2.43578,-5.92%,-3.99819,0.16,1.28591,2.28%,1.33918,1.68%,3.7033,0.89%,-0.15143,2.40%,1.42354,2.69%,1.57839,2.03%,-0.23766,2.71%,1.69461,2.99%,0.97596,1.72%,1.16307,3.44%,1.78877,2.87%,1.7608,2.43%,0.79171,2.54%,1.19081,2.60%,2.43773,2.74%,0.6085,3.72%,2.86781,2.77%,3.63839,1.38%,1.59512,2.54%,1.40641
2023-01-10,-2.71%,-2.71329,-3.48%,-3.47615,1.78,3.13125,2.63,3.77718,-1.13%,-1.13442,-0.34%,1.7843,-0.3,1.81433,-0.85,-1.94212,0.65,3.37562,0.63%,3.20623,-0.04,2.21337,1.92%,6.67972,-0.08%,2.20556,-0.94,-5.23912,-1.18,-5.73477,-0.24,-0.15145,3.98%,-2.18166,1.19,1.35281,-0.43%,1.83454,-0.47%,1.20076,-1.66%,-0.78543,0.57%,2.978,-0.42%,2.2619,0.64%,2.67932,-1.03%,1.65059,1.09%,4.11521,0.01%,1.72965,0.60%,4.0625,-0.86%,1.97948,0.96%,3.41196,0.68%,3.23909,-0.59%,1.98676,1.16%,3.9367,0.87%,4.62071,0.10%,2.87631,-2.30%,-0.95297,-0.45%,2.08455
2023-01-11,-0.46%,-3.16084,+0.50%,-2.99111,-0.74,1.03202,0.05,2.67864,+0.12%,-1.04316,0.56%,0.21853,0.53,0.228,0.23,-0.6161,0.86,1.51617,1.01%,1.64003,0.69,0.64487,1.29%,3.23167,+0.70%,0.62053,2.51,1.54494,0.94,-0.25834,1.58,1.34025,-6.33%,-2.60293,0.6,1.79633,0.65%,0.21402,0.75%,0.27665,0.83%,-0.83854,1.26%,1.83542,0.54%,0.1171,0.04%,0.68144,-0.16%,-1.18702,0.61%,1.71209,1.29%,1.29493,1.02%,1.62899,0.71%,-0.16011,1.26%,2.22585,1.15%,1.8321,0.76%,0.15978,0.70%,1.86872,1.00%,1.87892,0.74%,0.84449,1.86%,-0.48644,0.55%,0.10449
2023-01-12,-1.01%,-1.46636,-1.83%,-1.34003,1.97,1.22075,0.35,0.39741,+0.14%,0.25983,0.80%,1.35858,0.77,1.3068,-0.05,0.18447,1.72,2.60158,1.76%,2.78328,1.25,1.94826,1.25%,2.55365,+1.28%,1.99173,-2.0,0.45364,-0.64,0.28517,-0.23,1.34345,2.48%,-4.00546,3.06,3.68393,0.86%,1.51489,0.36%,1.1088,0.57%,1.4143,2.68%,3.97415,0.96%,1.50281,0.86%,0.90283,0.06%,-0.09687,1.75%,2.37979,1.34%,2.64416,1.61%,2.64774,0.43%,1.13916,1.51%,2.7835,2.16%,3.33437,0.74%,1.50593,2.05%,2.76553,1.13%,2.13974,0.38%,1.12397,0.36%,2.22215,0.88%,1.44083
2023-01-13,-0.41%,-1.41537,-0.25%,-2.08333,0.15,2.12197,0.24,0.58648,-0.27%,-0.1354,0.64%,1.44157,0.61,1.38852,-0.91,-0.95893,0.5,2.23586,0.64%,2.40602,0.34,1.59234,1.24%,2.51204,+0.34%,1.63092,-2.8,-4.73029,-1.78,-2.4017,-1.45,-1.68515,-10.72%,-8.5034,1.25,4.35186,0.23%,1.09154,1.87%,2.23224,-0.39%,0.18225,0.17%,2.85491,0.57%,1.53216,-0.64%,0.21186,-0.79%,-0.72894,0.72%,2.48992,0.83%,2.18041,0.32%,1.92928,1.11%,1.53691,1.08%,2.60818,0.42%,2.59494,-0.56%,0.17693,0.63%,2.69418,1.28%,2.42335,0.92%,1.30294,1.19%,1.54823,0.55%,1.43291
2023-01-16,-3.28%,-3.67669,-2.38%,-2.63158,0.14,0.28883,0.89,1.12565,-0.15%,-0.42173,0.33%,0.97017,0.28,0.8971,-0.04,-0.9594,0.64,1.14582,0.71%,1.3492,0.37,0.70802,0.39%,1.64406,+0.40%,0.74264,1.58,-1.27011,1.91,0.09479,0.24,-1.21873,-2.55%,-12.99194,1.86,3.12822,0.71%,0.94108,0.14%,2.01003,0.47%,0.08047,0.97%,1.14695,-0.12%,0.44486,-0.44%,-1.07752,0.46%,-0.33553,0.34%,1.06526,0.54%,1.37939,0.67%,0.99048,0.08%,1.18918,0.21%,1.30107,0.89%,1.31529,0.86%,0.29046,0.69%,1.32843,0.17%,1.45417,0.15%,1.06611,0.76%,1.95832,0.69%,1.24165
2023-01-17,+2.73%,2.73141,+2.67%,2.67333,0.71,0.85394,0.58,1.46971,+0.35%,0.20095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-18,+1.74%,4.522,+1.00%,3.70153,-1.0,-0.29642,-0.85,-0.28079,-0.34%,0.00647,-1.14%,-0.81637,-1.11,-1.0989,0.12,0.18591,0.33,0.32364,0.14%,0.85456,-0.1,-0.09966,0.24%,0.63915,-0.20%,0.19582,0.57,1.45798,-0.85,-0.44981,-0.95,-0.06494,5.50%,2.81466,1.78,0.83981,-0.68%,0.02683,0.12%,0.2626,-0.50%,-0.02862,0.07%,1.0447,-0.84%,-0.96417,-0.12%,-0.56284,-0.00%,0.45652,0.44%,0.77911,-0.92%,-0.38001,-1.07%,-0.406,-0.60%,-0.52375,0.01%,0.22824,-0.06%,0.82839,-0.69%,0.1585,0.43%,1.12719,-0.08%,0.09315,-0.85%,-0.70178,-0.06%,0.70128,-0.24%,0.44906
2023-01-19,-2.93%,-1.24077,-2.69%,-1.71674,0.29,-0.71699,-0.47,-1.31424,+0.03%,-0.31572,-1.81%,-2.9317,-1.86,-2.95332,-0.03,0.088,-1.28,-0.95372,-1.24%,-1.10252,-1.59,-1.68805,-0.64%,-0.39955,-1.56%,-1.75615,-4.96,-4.42052,-2.86,-3.67838,0.74,-0.21455,5.06%,10.84469,-0.81,0.96154,-1.84%,-2.50058,-1.77%,-1.64298,-1.42%,-1.90943,-1.30%,-1.22867,-1.84%,-2.67119,-2.41%,-2.52875,-2.65%,-2.65617,-1.28%,-0.85024,-0.93%,-1.83742,-1.38%,-2.43864,-3.35%,-3.93886,-1.11%,-1.09904,-1.55%,-1.61452,-1.16%,-1.84478,-1.04%,-0.61323,-0.68%,-0.76119,-1.57%,-2.40898,-0.69%,-0.75344,-2.56%,-2.79661
2023-01-20,-3.89%,-6.70732,-2.77%,-5.38244,0.16,0.44807,0.51,0.03993,-0.44%,-0.4146,-0.76%,-2.55462,-0.74,-2.58965,-0.3,-0.3223,-1.04,-2.30548,-0.96%,-2.18872,-0.77,-2.34443,-2.83%,-3.45648,-0.76%,-2.30821,0.75,-4.22654,1.07,-1.83115,0.32,1.0613,0.88%,5.99173,1.02,0.19888,-1.20%,-3.0138,1.11%,-0.67866,0.23%,-1.18729,-1.69%,-2.96844,-2.08%,-3.88959,-1.00%,-3.3823,-1.02%,-3.64197,-1.14%,-2.40933,0.90%,-0.03521,-0.77%,-2.14163,0.04%,-3.31952,-1.22%,-2.31603,-1.44%,-2.97223,-0.80%,-1.9545,-0.72%,-1.75656,-1.31%,-1.98438,-0.56%,-2.13028,-1.02%,-1.70902,-0.76%,-3.29701
2023-01-25,+2.09%,-1.88453,+1.68%,-1.13537,0.71,0.8739,0.63,1.13752,-0.27%,-0.71343,0.31%,1.07406,0.29,1.05156,-0.22,-0.08823,-0.21,1.99109,-0.27%,1.73997,-0.09,1.10944,-0.72%,4.25987,-0.07%,1.11614,-1.88,-0.77542,-0.5,0.79004,0.56,0.70785,-3.08%,-3.27456,-1.83,-1.84958,0.10%,1.22586,-0.22%,-0.41852,-0.65%,-0.36305,-0.17%,1.39488,0.65%,1.74725,0.49%,0.52843,0.38%,0.68262,-0.04%,2.23857,-0.69%,1.07291,0.04%,0.35839,-1.07%,0.0597,-0.25%,0.24541,-0.28%,1.55886,0.31%,1.53792,-0.32%,2.33042,0.69%,1.98361,-0.13%,0.92148,0.37%,0.98856,-0.62%,1.46633
2023-01-26,-1.28%,-1.28362,+0.03%,0.02958,2.0,2.72973,1.39,2.02618,0.00%,0.21139,0.03%,0.33982,-0.01,0.28464,-0.27,-0.48952,-0.3,-0.50905,-0.18%,-0.44921,-0.02,-0.11148,0.18%,-0.53973,-0.02%,-0.08931,-0.11,-1.98807,-1.83,-2.33932,-0.43,0.12851,-0.63%,-3.68501,0.02,-1.80103,0.74%,0.84069,-0.09%,-0.30695,0.01%,-0.63592,0.54%,0.36767,-0.53%,0.11334,-1.36%,-0.88318,0.28%,0.66745,-0.26%,-0.30195,-0.36%,-1.0486,0.20%,0.24263,-0.04%,-1.1088,0.02%,-0.23529,0.38%,0.10639,0.42%,0.73346,-0.61%,-0.9216,-0.64%,0.0496,1.08%,0.94692,0.05%,0.42112,1.59%,0.96049
2023-01-27,+0.03%,-1.25306,-0.21%,-0.17746,0.9,2.92073,1.65,3.06397,-0.06%,-0.05923,0.61%,0.63867,0.59,0.58239,0.19,-0.07849,1.97,1.65624,1.76%,1.5717,1.08,1.06007,1.63%,1.81417,+1.10%,1.08241,1.59,1.47612,1.35,-0.49881,-0.13,-0.55378,-1.83%,-2.44792,1.07,1.09822,0.50%,1.23452,3.32%,3.22931,0.16%,0.16708,2.03%,2.58364,0.56%,0.02345,0.39%,-0.98064,-0.28%,0.00523,1.61%,1.34563,1.65%,1.29057,0.48%,0.68749,0.25%,0.20579,1.00%,1.0145,1.89%,2.27791,0.63%,1.05833,2.26%,1.64137,-0.58%,-1.20683,0.67%,1.7609,0.06%,0.10889,0.99%,2.59573
2023-01-30,+1.61%,1.64087,+1.19%,0.97575,0.31,1.21527,0.62,2.28324,-0.18%,-0.23934,0.08%,0.69417,0.07,0.65931,0.09,0.28532,0.95,2.93938,0.95%,2.72554,0.21,1.29588,-0.72%,0.90031,+0.25%,1.35301,0.04,1.62272,0.29,1.64529,0.17,0.04278,-1.17%,-2.98742,-1.64,-0.5864,0.05%,0.54523,-1.99%,1.27208,-0.69%,-0.53718,2.27%,4.35063,0.35%,0.91036,-0.03%,0.35527,-0.25%,-0.52859,0.44%,2.06316,0.88%,2.55116,-0.34%,0.14485,0.54%,0.78988,0.62%,1.62767,1.93%,3.85501,-0.95%,-0.32675,0.75%,3.02999,0.77%,0.18624,-1.02%,-0.35735,0.03%,0.0926,0.55%,1.54027
2023-01-31,-1.46%,-1.4603,-0.97%,-0.96774,-0.35,-0.04331,-1.35,-0.73643,+0.15%,-0.03085,-0.77%,-0.68431,-0.77,-0.69953,0.34,0.43205,-2.08,-1.14605,-1.96%,-1.0302,-1.27,-1.05509,-2.67%,-3.36783,-1.30%,-1.05063,1.0,1.02681,0.93,1.21747,-0.34,-0.17134,7.73%,6.46023,-2.23,-3.83903,-0.52%,-0.46953,-2.29%,-4.23073,-0.93%,-1.6135,-1.71%,0.51989,-0.97%,-0.62036,-0.45%,-0.48519,0.07%,-0.17799,-1.94%,-1.50543,-1.80%,-0.93216,-0.70%,-1.03369,-0.74%,-0.20707,-0.98%,-0.36436,-1.79%,0.10222,0.49%,-0.46581,-2.41%,-1.67864,-1.89%,-1.14234,-0.63%,-1.64908,-1.55%,-1.51688,-0.91%,-0.36784
2023-02-01,+2.44%,0.94311,+2.25%,1.261,0.25,-0.10253,-1.04,-2.37277,+0.15%,0.29928,1.09%,0.31774,1.1,0.32309,-0.18,0.16678,1.54,-0.57477,1.67%,-0.31975,1.43,0.14078,1.93%,-0.7928,+1.46%,0.14838,-0.89,0.08554,-0.83,0.09522,0.69,0.3421,-2.71%,4.80821,1.25,-1.01657,1.34%,0.80926,0.89%,-1.42596,1.30%,0.35596,2.22%,0.4701,1.71%,0.72804,0.71%,0.25695,1.08%,1.1507,1.44%,-0.52852,1.35%,-0.4702,2.23%,1.51106,2.72%,1.95198,1.38%,0.3897,1.94%,0.10895,1.19%,1.68718,1.65%,-0.79998,2.37%,0.43414,0.81%,0.16935,1.18%,-0.38332,1.69%,0.76738
2023-02-02,-2.38%,0.0,-1.68%,0.53302,1.41,1.67068,1.02,-0.02734,-0.89%,-0.74546,0.02%,1.11478,-0.02,1.07444,-0.86,-1.03637,2.16,3.72869,2.00%,3.70825,1.03,2.47365,5.19%,7.2132,+1.05%,2.52478,-2.67,-3.52908,-2.5,-3.30189,-0.79,-0.10727,-7.89%,-10.38114,-3.12,-1.91271,0.02%,1.35358,-1.89%,-1.0226,0.48%,1.78472,1.89%,4.15617,0.71%,2.43793,0.18%,0.89767,0.76%,1.84343,2.29%,3.76255,1.35%,2.717,0.65%,2.89197,1.08%,3.82532,1.13%,2.52593,1.72%,3.68742,-0.06%,1.13067,2.64%,4.33447,3.42%,5.87376,1.26%,2.07274,-0.18%,1.00633,0.56%,2.26024
2023-02-03,-0.99%,-3.34539,-2.42%,-4.05445,1.82,3.25865,0.78,1.80613,+0.20%,-0.69083,-0.11%,-0.09417,-0.15,-0.17274,0.53,-0.3428,3.48,5.71717,3.25%,5.31976,1.43,2.48166,2.22%,7.52656,+1.47%,2.53054,-0.43,-3.07692,0.0,-2.49703,-0.34,-1.12934,4.81%,-3.45361,-0.69,-3.79105,0.18%,0.20069,-2.52%,-4.3615,-0.68%,-0.19956,3.08%,5.03365,0.77%,1.49195,0.15%,0.33602,-0.86%,-0.10377,2.78%,5.13886,6.74%,8.17403,-0.28%,0.36745,2.38%,3.48564,1.83%,2.97946,2.35%,4.11205,0.12%,0.05846,4.57%,7.33288,2.13%,5.62306,1.13%,2.40173,-0.00%,-0.17956,1.15%,1.71788
2023-02-06,-1.84%,-2.80951,-2.20%,-4.56554,0.28,2.10797,0.47,1.24908,+1.85%,2.06008,-0.38%,-0.48969,-0.4,-0.54469,1.14,1.67951,-1.73,1.68959,-1.59%,1.61328,-1.04,0.3751,-1.90%,0.28112,-1.04%,0.41926,3.45,2.98507,4.55,4.53659,0.41,0.06443,-2.14%,2.57414,-3.28,-3.95236,-0.10%,0.08059,-0.23%,-2.74232,-0.26%,-0.93661,-3.11%,-0.12138,-0.52%,0.25113,-2.07%,-1.92149,-0.42%,-1.27837,-0.80%,1.96073,-2.22%,4.3688,-1.82%,-2.09544,0.12%,2.49841,-1.49%,0.3181,-2.65%,-0.35946,-0.09%,0.02539,-1.23%,3.28667,-0.76%,1.35035,-1.81%,-0.69489,-0.38%,-0.38272,-0.30%,0.84537
2023-02-07,+3.99%,3.99366,+5.23%,5.22734,-0.71,-0.43028,-1.7,-1.24307,+1.03%,2.89603,-0.10%,-0.47842,-0.08,-0.47805,0.69,1.83784,-0.86,-2.57847,-1.00%,-2.56843,-0.58,-1.62233,-1.70%,-3.56798,-0.61%,-1.64316,3.54,7.11346,4.38,9.12195,0.15,0.56034,6.00%,3.73732,0.98,-2.33263,-0.14%,-0.24297,-0.40%,-0.6253,-0.60%,-0.85337,-0.13%,-3.23612,-0.21%,-0.72587,0.87%,-1.22321,0.02%,-0.39994,-1.22%,-2.01383,-1.31%,-3.49888,-1.08%,-2.87656,-0.99%,-0.87384,-1.17%,-2.64167,-0.41%,-3.04974,-0.01%,-0.09586,-1.34%,-2.5559,-0.48%,-1.23608,-1.64%,-3.42098,-0.54%,-0.91411,-0.75%,-1.05336
2023-02-08,+0.67%,4.69097,+1.21%,6.49552,1.51,0.78248,0.55,-1.15667,-0.36%,0.65894,0.78%,0.67995,0.8,0.71845,-0.19,0.49553,2.09,1.21,1.90%,0.88982,1.27,0.67506,3.12%,1.36399,+1.29%,0.6653,0.98,4.54675,-0.18,4.19972,0.79,0.94441,-3.96%,1.80033,4.09,5.10969,1.16%,1.02055,3.08%,2.66939,0.64%,0.04398,0.22%,0.08753,0.25%,0.03906,-0.08%,0.7854,-0.36%,-0.33384,2.46%,1.21158,2.48%,1.13737,1.30%,0.20547,1.09%,0.08788,0.62%,-0.55851,0.65%,0.23699,2.56%,2.5497,3.12%,1.73219,0.72%,0.23582,0.46%,-1.19427,0.36%,-0.18379,1.27%,0.50646
2023-02-09,+0.58%,1.24962,-0.32%,0.88183,0.93,2.44966,1.3,1.86409,+0.38%,0.01666,-0.61%,0.17111,-0.62,0.17976,-0.02,-0.20266,-1.81,0.23771,-1.68%,0.19406,-1.08,0.16976,-2.19%,0.85453,-1.11%,0.16492,-1.73,-0.79583,-0.84,-1.00581,0.23,1.02872,5.20%,1.02933,1.72,5.88315,-0.56%,0.59575,-0.85%,2.19703,-0.31%,0.3344,-0.89%,-0.67652,-0.59%,-0.34082,-1.71%,-1.79003,-0.83%,-1.18901,-1.25%,1.18364,-4.13%,-1.75762,-0.81%,0.47888,-0.98%,0.09568,-0.20%,0.42045,-1.00%,-0.3614,-0.23%,2.31739,-2.22%,0.83063,-0.78%,-0.07084,-1.06%,-0.61089,-2.35%,-2.00598,-0.72%,0.53668
2023-02-10,+1.20%,1.78625,+1.54%,1.21987,0.59,1.52564,-0.09,1.21589,+0.32%,0.69763,-0.73%,-1.3374,-0.77,-1.37987,-0.18,-0.20304,-0.95,-2.74913,-1.02%,-2.67637,-0.94,-2.01161,0.13%,-2.06552,-0.88%,-1.98127,1.33,-0.40772,1.24,0.40305,0.57,0.80799,5.50%,10.98606,-0.52,1.19264,-1.23%,-1.78296,-0.71%,-1.56236,-0.86%,-1.16484,-0.21%,-1.0996,-0.88%,-1.46217,-1.41%,-3.09697,-0.30%,-1.12656,-0.50%,-1.74712,-2.80%,-6.81422,-1.41%,-2.20426,-1.22%,-2.18499,-1.48%,-1.67197,-0.56%,-1.56146,-2.46%,-2.68419,-1.18%,-3.3664,-1.96%,-2.72107,-1.28%,-2.32983,-0.35%,-2.69866,-1.51%,-2.21546
2023-02-13,+0.18%,1.38471,-0.17%,1.36946,-1.55,-0.96669,-0.48,-0.56007,+0.24%,0.55456,0.50%,-0.23489,0.48,-0.29416,0.4,0.21275,-0.64,-1.58626,-0.61%,-1.61537,0.2,-0.74446,-1.58%,-1.45567,+0.22%,-0.66539,2.18,3.5408,0.92,2.16753,0.67,1.25159,-0.87%,4.58483,2.13,1.59297,0.40%,-0.83107,3.92%,3.18146,0.94%,0.06809,-1.22%,-1.42396,0.74%,-0.14905,2.00%,0.56464,0.93%,0.63201,-0.55%,-1.04772,-0.89%,-3.65847,0.36%,-1.05656,-0.13%,-1.34185,-0.11%,-1.58241,-0.92%,-1.47888,0.59%,-1.88397,-0.82%,-1.98267,-0.30%,-2.25351,0.83%,-0.46289,0.33%,-0.02034,-0.12%,-1.61897
2023-02-14,+2.32%,2.32489,+2.02%,2.0202,0.01,-1.5333,-0.69,-1.16138,+0.43%,0.66828,1.11%,1.62033,1.1,1.58297,-0.28,0.12594,1.57,0.92552,1.48%,0.86695,1.16,1.35639,1.53%,-0.07517,+1.14%,1.3669,-1.07,1.0917,-0.08,0.84746,0.1,0.78043,-0.93%,-1.78657,0.53,2.66462,1.10%,1.51056,-0.61%,3.29444,0.83%,1.77373,1.46%,0.22494,0.88%,1.62492,0.58%,2.59949,1.17%,2.11336,1.77%,1.21796,1.10%,0.20389,0.51%,0.86586,0.71%,0.58393,0.95%,0.8459,1.18%,0.24608,1.63%,2.22443,1.85%,1.02259,0.71%,0.40809,1.52%,2.36235,1.03%,1.37215,1.08%,0.95957
2023-02-15,-1.02%,1.28167,-0.37%,1.64502,0.91,0.92434,0.53,-0.16561,-0.03%,0.4008,-0.46%,0.64956,-0.43,0.66677,-0.11,-0.38599,0.72,2.30637,0.57%,2.06544,-0.04,1.11592,2.10%,3.66903,-0.03%,1.1165,1.34,0.26717,2.21,2.14365,0.17,0.27237,-7.03%,-7.8909,-1.35,-0.8279,-0.54%,0.56089,-0.02%,-0.62418,-0.60%,0.2216,1.18%,2.65612,-0.28%,0.59476,-0.48%,0.10182,-0.93%,0.23206,0.44%,2.21894,0.01%,1.10642,0.22%,0.72544,-0.66%,0.04775,-0.20%,0.75131,0.83%,2.0131,-0.88%,0.73065,0.72%,2.58397,0.61%,1.32519,0.10%,1.62635,-0.18%,0.85286,-0.19%,0.88063
2023-02-16,+1.88%,0.84474,+1.82%,1.44272,-1.81,-0.91774,-1.53,-1.01113,+0.87%,0.83668,0.11%,-0.34421,0.16,-0.27431,0.67,0.55152,0.78,1.5111,0.92%,1.50356,0.31,0.26524,0.37%,2.47766,+0.28%,0.2492,1.33,2.67279,0.24,2.45467,-0.27,-0.10465,-3.60%,-10.37365,-0.59,-1.93412,0.16%,-0.3818,-1.78%,-1.7982,-0.51%,-1.11368,1.16%,2.35401,0.63%,0.34296,0.64%,0.15618,0.19%,-0.74517,0.38%,0.8216,1.17%,1.17136,0.44%,0.66017,0.82%,0.15432,1.22%,1.01959,1.59%,2.43222,1.17%,0.27406,0.63%,1.34845,0.54%,1.1476,0.98%,1.08382,-0.08%,-0.25999,-0.03%,-0.22001
2023-02-17,+0.40%,2.29547,+0.33%,2.15786,2.51,0.65805,1.96,0.39909,+0.47%,1.33435,-1.26%,-1.15115,-1.27,-1.11955,-0.06,0.61029,-1.94,-1.17568,-1.78%,-0.87223,-1.41,-1.10361,-2.48%,-2.12677,-1.38%,-1.10538,1.58,2.93099,0.24,0.47598,0.59,0.31341,10.64%,6.66314,-0.13,-0.72097,-1.07%,-0.91539,-1.03%,-2.79159,-1.02%,-1.52582,-2.16%,-1.02615,-1.09%,-0.46931,-0.83%,-0.19471,-0.80%,-0.61088,-1.75%,-1.37632,-1.55%,-0.40144,-1.15%,-0.71061,-1.33%,-0.51818,-0.48%,0.74204,-2.03%,-0.47321,-0.70%,0.45961,-2.08%,-1.4666,-1.33%,-0.80207,1.35%,2.34546,-1.39%,-1.47403,-1.40%,-1.42845
2023-02-20,+4.34%,4.76603,+3.53%,3.87619,-1.16,1.32731,-0.98,0.96009,+0.49%,0.96062,0.39%,-0.88303,0.38,-0.90127,0.01,-0.05774,-0.74,-2.67086,-0.58%,-2.3472,-0.3,-1.70144,-1.62%,-4.05991,-0.28%,-1.6518,-1.19,0.36813,-0.59,-0.34535,0.27,0.859,-0.74%,9.81898,-2.74,-2.86296,0.05%,-1.0237,-3.65%,-4.63925,0.89%,-0.13193,0.04%,-2.12579,0.63%,-0.46638,1.00%,0.16171,1.29%,0.4844,-1.19%,-2.92603,-0.47%,-2.0112,-0.96%,-2.10138,0.61%,-0.72004,-0.74%,-1.21293,-0.06%,-2.09251,0.27%,-0.42784,-1.25%,-3.30775,0.34%,-0.99984,-0.03%,1.32478,1.29%,-0.12611,0.06%,-1.34062
2023-02-21,+0.06%,0.05526,+1.00%,0.9973,1.71,0.53268,0.16,-0.82247,+0.01%,0.01312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-02-22,-0.58%,-0.52501,-0.64%,0.3504,0.57,2.29494,0.16,0.31617,+0.75%,0.75853,-2.06%,-1.68343,-1.8,-1.96589,0.31,0.30811,-2.28,-2.11996,-2.50%,-3.06626,-1.74,-1.79578,-3.31%,-4.87621,-2.00%,-2.27532,2.68,3.58921,1.39,2.42582,-0.5,0.04155,14.24%,13.38622,-1.47,-0.66519,-2.01%,-1.96689,-0.31%,-3.94119,-1.36%,-0.48191,-3.34%,-3.30285,-2.29%,-1.67691,-1.89%,-0.9056,-0.34%,0.94894,-2.40%,-3.5678,-2.29%,-2.74956,-1.63%,-2.57263,-1.94%,-1.33408,-1.92%,-2.65024,-2.51%,-2.57132,-1.87%,-1.60583,-2.57%,-3.78694,-2.63%,-2.30277,-2.61%,-2.64109,-2.47%,-1.21245,-2.67%,-2.61204
2023-02-23,+1.28%,0.69042,+0.83%,0.18682,-1.88,-1.31577,-1.68,-1.52498,-0.24%,0.51002,-0.26%,-2.31061,-0.25,-2.04619,0.39,0.69324,0.01,-2.27007,0.13%,-2.37713,-0.17,-1.90716,-0.48%,-3.77529,-0.16%,-2.15832,-0.69,1.97351,-0.67,0.70755,0.25,-0.24793,-2.54%,11.33866,-2.9,-4.33376,-0.20%,-2.20925,-0.77%,-1.07265,-0.33%,-1.68604,0.52%,-2.84236,-0.26%,-2.54956,-0.42%,-2.29782,-0.27%,-0.6029,-0.14%,-2.54179,-0.05%,-2.34093,0.68%,-0.96094,-0.35%,-2.28209,-0.13%,-2.04961,0.45%,-2.07412,0.22%,-1.65552,0.04%,-2.52451,-0.74%,-3.3488,0.13%,-2.49029,0.12%,-2.35366,-0.34%,-3.00376
2023-02-24,-1.59%,-0.33333,-1.41%,-0.59092,0.61,-1.27801,0.89,-0.80807,-0.37%,-0.60195,0.33%,0.07341,0.31,0.06031,0.01,0.40315,0.91,0.91554,0.72%,0.85362,0.49,0.32453,3.33%,2.84042,+0.53%,0.37475,-0.94,-1.61861,0.13,-0.52865,0.08,0.33223,-5.16%,-7.5645,1.95,-1.01103,0.14%,-0.0608,1.27%,0.49204,0.27%,-0.06004,-0.09%,0.42729,0.40%,0.13517,-0.48%,-0.90212,-0.22%,-0.48239,1.63%,1.48496,-0.66%,-0.70966,0.18%,0.85968,0.48%,0.12131,-0.49%,-0.62115,-0.04%,0.40743,0.34%,0.56227,1.48%,1.52604,1.63%,0.88511,-0.64%,-0.51193,-0.60%,-0.48649,0.32%,-0.01837
