,bond_kor_10_cr,bond_kor_10_cr_2,bond_kor_2_cr,bond_kor_2_cr_2,kosdaq_cr,kosdaq_cr_2,kospi_cr,kospi_cr_2,krw_cr,krw_cr_2,dji_cr,dji_cr_2,dji_f_cr,dji_f_cr_2,dxy_cr,dxy_cr_2,ixic_f_cr,ixic_f_cr_2,ixic_cr,ixic_cr_2,spx_f_cr,spx_f_cr_2,sox_cr,sox_cr_2,spx_cr,spx_cr_2,bond_usa_10_cr,bond_usa_10_cr_2,bond_usa_2_cr,bond_usa_2_cr_2,bond_usa_3m_cr,bond_usa_3m_cr_2,vix_cr,vix_cr_2,wti_cr,wti_cr_2,spsy_cr,spsy_cr_2,spny_cr,spny_cr_2,spxhc_cr,spxhc_cr_2,splrcd_cr,splrcd_cr_2,splrci_cr,splrci_cr_2,splrcu_cr,splrcu_cr_2,splrcs_cr,splrcs_cr_2,splrct_cr,splrct_cr_2,splrcl_cr,splrcl_cr_2,splrcm_cr,splrcm_cr_2,ixbk_cr,ixbk_cr_2,ixfn_cr,ixfn_cr_2,ixid_cr,ixid_cr_2,ixis_cr,ixis_cr_2,ixk_cr,ixk_cr_2,ixtr_cr,ixtr_cr_2,ixut_cr,ixut_cr_2,nbi_cr,nbi_cr_2,bkx_cr,bkx_cr_2
2022-01-20,-0.67%,-1.24611,-4.11%,-4.40283,-1.06,-2.50548,-0.77,-1.65461,-0.38%,-0.1563,-0.96%,-2.45925,-0.99,-2.55136,-0.23,0.26244,-1.13,-3.55413,-1.15%,-3.71626,-1.03,-2.85055,-3.09%,-7.39423,-0.97%,-2.78992,-1.14,2.48756,0.43,4.78564,21.13,22.85714,4.65%,24.28348,1.79,3.90728,-1.65%,-3.91094,-0.66%,-0.25611,-0.44%,-1.82333,-1.81%,-3.69106,-1.10%,-2.27664,0.46%,-0.74823,0.68%,-0.82062,-1.37%,-3.82418,-0.19%,-2.1784,-0.21%,-1.52905,-2.24%,-3.92577,-0.76%,-2.14804,-1.18%,-3.17794,-1.23%,-3.07096,-1.18%,-3.98987,-1.05%,-3.16937,-0.77%,-3.40892,-1.05%,-4.86002,-3.13%,-5.45887
2022-01-21,0.83%,0.15668,2.75%,-1.47208,2.66,1.56366,0.72,-0.05446,+0.36%,-0.02264,-0.89%,-1.8465,-0.84,-1.82365,0.24,0.01045,-1.28,-2.40037,-1.30%,-2.4325,-1.09,-2.11102,-3.25%,-6.23759,-1.10%,-2.06692,-2.31,-3.41333,-2.29,-1.81644,4.65,26.76056,7.30%,12.28609,-0.07,1.72071,-0.63%,-2.26818,-0.90%,-1.5507,-0.58%,-1.02181,-1.94%,-3.71318,-1.24%,-2.3255,0.14%,0.60243,-0.72%,-0.04544,-1.33%,-2.68479,-1.14%,-1.3258,-1.43%,-1.64035,-2.37%,-4.55448,-0.51%,-1.25981,-1.29%,-2.45512,-0.21%,-1.43863,-1.41%,-2.57314,-1.25%,-2.28478,-0.98%,-1.73506,-1.13%,-2.16957,-1.65%,-4.73637
2022-01-24,-0.66%,0.15773,0.36%,3.12335,-1.65,0.95835,-0.99,-0.28111,+0.01%,0.36865,-1.30%,-2.17901,-1.33,-2.15698,-0.1,0.13611,-2.79,-4.03765,-2.72%,-3.98417,-1.89,-2.96734,-1.72%,-4.91115,-1.89%,-2.97457,-2.24,-4.53074,-1.08,-3.33016,-5.56,-1.16279,12.74%,20.96436,-2.03,-2.09292,-2.02%,-2.63117,-1.95%,-2.83461,-1.06%,-1.63889,-3.10%,-4.98173,-0.97%,-2.19136,-0.18%,-0.03998,0.02%,-0.70831,-1.93%,-3.23629,-3.88%,-4.97734,-2.49%,-3.89019,-2.33%,-4.64816,-2.86%,-3.35684,-3.98%,-5.21918,-1.27%,-1.47936,-2.15%,-3.53085,-2.62%,-3.83382,-1.93%,-2.88462,-1.58%,-2.69573,-3.23%,-4.8321
2022-01-25,-0.16%,-0.15736,-0.93%,-0.93023,-2.91,-4.51653,-1.49,-2.46902,+0.26%,0.26585,0.29%,-1.01076,0.28,-1.04865,0.29,0.18801,0.52,-2.29095,0.63%,-2.11169,0.31,-1.58668,1.31%,-0.42349,+0.28%,-1.61955,0.31,-1.93263,-4.41,-5.45278,0.0,-5.55556,3.64%,16.84251,-2.15,-4.13119,0.24%,-1.78417,0.55%,-1.41474,-0.37%,-1.42498,1.21%,-1.92408,0.53%,-0.43635,-1.03%,-1.20904,-0.35%,-0.33843,0.33%,-1.60592,0.43%,-3.46967,0.02%,-2.46925,0.94%,-1.41398,0.13%,-2.73862,0.39%,-3.60015,1.65%,0.35424,0.61%,-1.55533,1.39%,-1.25889,1.43%,-0.52252,0.84%,-0.74981,0.97%,-2.29582
2022-01-26,1.50%,1.33753,2.24%,1.29199,-2.84,-5.66474,-2.56,-4.01864,+0.06%,0.32201,-0.19%,0.09444,-0.2,0.08197,0.03,0.32413,-2.48,-1.98073,-2.28%,-1.66774,-1.24,-0.93394,-3.71%,-2.44382,-1.22%,-0.94317,0.0,0.33898,5.8,1.08268,13.53,13.52941,4.21%,8.00693,2.75,0.54029,0.47%,0.70823,3.96%,4.53221,-0.66%,-1.02622,-1.81%,-0.61993,-0.93%,-0.40438,-1.57%,-2.57963,-1.13%,-1.48481,-2.34%,-2.01159,-2.24%,-1.81317,-0.86%,-0.8334,-0.30%,0.64083,-1.03%,-0.90429,-1.95%,-1.56185,-0.96%,0.67136,-2.77%,-2.177,-1.66%,-0.28598,-1.31%,0.10434,-1.41%,-0.57539,0.49%,1.4658
2022-01-27,-0.12%,1.37904,0.15%,2.39958,-0.83,-3.63885,-0.41,-2.96418,+0.06%,0.12044,-0.38%,-0.57155,-0.38,-0.57805,0.46,0.48999,0.13,-2.36191,0.02%,-2.25916,-0.17,-1.41357,1.68%,-2.09629,-0.15%,-1.36504,5.44,5.46171,12.57,19.05252,3.63,17.64706,2.57%,6.88963,2.04,4.84936,0.27%,0.73481,-0.17%,3.78158,-0.44%,-1.1038,-0.32%,-2.12874,-0.82%,-1.75076,-0.71%,-2.26584,-0.67%,-1.798,0.72%,-1.63177,-0.79%,-3.00488,-1.02%,-1.86711,-0.80%,-1.09854,-1.38%,-2.401,-0.71%,-2.64716,-0.36%,-1.31433,0.93%,-1.86495,-1.03%,-2.6651,-1.67%,-2.95463,-1.16%,-2.55108,0.28%,0.77078
2022-01-28,1.52%,1.39752,3.11%,3.26531,-3.73,-4.52082,-3.5,-3.89282,+0.56%,0.62022,-0.02%,-0.3993,-0.04,-0.41539,0.9,1.35487,-1.21,-1.08905,-1.40%,-1.37754,-0.55,-0.71856,-4.78%,-3.18875,-0.54%,-0.68749,-3.72,1.52027,2.75,15.67673,2.5,6.21762,-4.60%,-2.15019,-0.85,1.17991,-0.92%,-0.65793,1.24%,1.06938,0.14%,-0.30591,-2.27%,-2.58767,-0.93%,-1.74378,0.78%,0.06745,0.58%,-0.09869,-0.69%,0.02562,0.29%,-0.49831,0.36%,-0.66086,-2.04%,-2.82937,-1.34%,-2.70931,-2.08%,-2.77502,-1.29%,-1.64925,-0.99%,-0.06512,-1.38%,-2.38895,-0.31%,-1.97148,-1.80%,-2.93712,-1.20%,-0.93082
2022-02-03,-1.00%,0.50525,-0.89%,2.19052,2.78,-1.04524,1.87,-1.6942,+0.48%,1.04676,0.63%,1.416,0.62,1.41441,-0.47,-0.6215,0.8,1.40557,0.50%,1.24769,0.93,1.62069,2.46%,3.27169,+0.94%,1.63369,-1.29,-0.7287,-1.68,-2.95359,-10.65,4.32432,0.59%,-11.03504,0.07,0.12479,0.66%,2.10309,0.38%,3.93494,1.25%,1.54006,-0.53%,0.09763,0.67%,2.09658,1.46%,0.16492,1.18%,1.11941,0.81%,1.05455,3.09%,4.40478,0.23%,1.90735,-0.27%,1.37754,-0.31%,0.64684,-1.61%,-0.66662,0.42%,1.37833,1.98%,2.46131,0.32%,2.19287,0.31%,0.51494,-1.23%,0.25866,0.40%,2.78561
2022-02-04,-0.85%,-0.84942,-1.01%,-1.00503,2.15,4.98923,1.67,3.56972,0.00%,-0.23621,-1.45%,-0.83061,-1.47,-0.85899,-0.58,-1.04783,-4.12,-3.35117,-3.74%,-3.25652,-2.36,-1.45535,-4.58%,-2.23051,-2.44%,-1.51984,3.64,2.28412,4.56,2.82293,6.22,-5.09259,10.23%,10.88343,2.28,2.34694,-1.15%,-0.5024,-1.04%,-0.66443,-0.45%,0.79358,-3.57%,-4.07705,-1.67%,-1.01569,-0.44%,1.01676,0.01%,1.19715,-3.07%,-2.27736,-6.83%,-3.95489,-1.77%,-1.5442,-0.72%,-0.99138,-1.53%,-1.83423,-3.43%,-4.98949,-1.22%,-0.80429,-4.80%,-2.91388,-1.67%,-1.35432,0.75%,1.06482,-2.15%,-3.35743,-1.04%,-0.64404
2022-02-07,1.99%,1.11969,1.27%,0.25126,1.26,3.43694,1.57,3.26357,-0.10%,-0.10088,-0.06%,-1.51445,0.02,-1.44821,0.11,-0.46904,1.33,-2.83833,1.58%,-2.21633,0.53,-1.85155,0.60%,-4.00592,+0.52%,-1.93449,4.34,8.18746,9.49,14.43478,16.1,23.31606,-4.64%,5.11543,2.26,4.58872,1.66%,0.48253,1.58%,0.52228,-0.41%,-0.85713,3.74%,0.03159,-1.07%,-2.72233,-0.80%,-1.23492,-1.20%,-1.1894,0.47%,-2.60694,0.14%,-6.69753,-1.72%,-3.46033,1.64%,0.91127,1.15%,-0.39915,3.77%,0.21205,1.06%,-0.17471,0.77%,-4.06516,-1.36%,-3.00209,0.06%,0.80752,0.44%,-1.72307,2.00%,0.94421
2022-02-08,1.35%,1.34512,3.59%,3.59312,-0.38,0.87483,-0.19,1.37528,-0.12%,-0.21676,0.00%,-0.05705,-0.03,-0.00572,-0.09,0.02097,-0.86,0.46577,-0.58%,0.98603,-0.37,0.15104,-0.02%,0.57625,-0.37%,0.14361,0.2,4.5207,-1.64,7.65391,-6.3,8.78049,-1.55%,-6.1191,-1.07,1.16318,0.33%,1.99075,1.31%,2.9036,-0.13%,-0.53459,-0.22%,3.51025,0.07%,-0.99808,-0.20%,-0.99512,0.10%,-1.10063,-0.66%,-0.18666,-2.24%,-2.09787,-0.43%,-2.13514,0.46%,2.10731,0.09%,1.23812,-0.32%,3.44428,-0.02%,1.03723,-1.09%,-0.32332,-0.33%,-1.68464,0.06%,0.12281,1.02%,1.46163,0.61%,2.62928
2022-02-09,3.68%,5.07302,2.34%,6.02227,-0.46,-0.84176,0.05,-0.13781,-0.04%,-0.15856,1.06%,1.06311,1.07,1.04065,0.26,0.15708,1.2,0.33366,1.28%,0.68407,0.82,0.44519,2.40%,2.37643,+0.84%,0.46661,2.37,2.55741,3.95,2.20365,27.35,19.32773,-6.21%,-7.6658,-2.15,-3.19575,1.38%,1.71824,-2.12%,-0.84499,0.79%,0.66009,1.50%,1.28062,1.00%,1.07499,0.11%,-0.08911,0.33%,0.43324,1.28%,0.60952,-0.10%,-2.33673,1.57%,1.13604,2.45%,2.91674,0.47%,0.5527,1.47%,1.1452,0.54%,0.51616,1.33%,0.22699,1.58%,1.24407,0.86%,0.92594,0.09%,1.10384,2.03%,2.6562
2022-02-10,-1.65%,1.97194,-0.48%,1.85638,1.7,1.23749,0.81,0.86665,-0.19%,-0.23561,0.86%,1.92906,0.85,1.9217,-0.16,0.09434,2.06,3.28646,2.08%,3.38692,1.45,2.27895,3.35%,5.83345,+1.45%,2.30404,-1.01,1.35487,1.55,5.56414,-1.76,25.11211,-6.90%,-12.68592,0.34,-1.81778,0.59%,1.98331,0.51%,-1.62312,0.82%,1.61238,1.11%,2.62942,1.37%,2.38576,0.44%,0.54432,0.02%,0.34699,2.31%,3.61223,2.45%,2.34831,2.13%,3.73049,-1.13%,1.28947,2.23%,2.70964,1.52%,3.00709,0.38%,0.92078,2.46%,3.81817,2.29%,3.90332,1.71%,2.58882,2.52%,2.60515,0.09%,2.12191
