,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,open_1,high_1,low_1,close_1,vol_1,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-10-11,1.19885,-0.67025,0.04289,0.96446,-0.33564,-0.66093,-0.22654,-0.94025,0.23554,-1.0,0.46523,25.0,-0.26556,-0.48845,-0.28256,-0.7687,0.10693,-1.27127,-1.96877,-1.03486,0.01725,-1.0,18.70968,-1.90435,-0.0112,-0.01671,-0.00571,-0.01404,-0.00429,-0.03815,-0.04076,0.01163,-0.00847,-0.4682,4,0,0,0,0,0
2022-10-12,1.9011,-3.30542,0.64387,0.11739,1.17765,-5.90606,-0.7278,1.63158,0.02103,-inf,-2.21686,-1.27885,5.37909,-1.76021,0.71438,1.19506,0.44674,-2.6635,-0.78947,-0.84277,0.26153,457.5,-2.78297,-8.25,-0.03683,-0.03399,-0.04598,-0.04274,0.88276,-0.04762,-0.05014,-0.05143,-0.05618,0.87468,1,0,0,0,0,0
2022-10-13,-0.64382,-0.99633,-0.51707,-0.0701,-0.97705,0.21032,-0.97805,-0.48,-0.57874,-1.0,-0.38803,44.86207,0.03331,-1.00847,-0.20613,0.03906,-0.95003,-6.93788,-0.99403,0.36842,-0.56988,-1.0,-1.74468,-13.78846,-0.02059,-0.00587,-0.00301,0.0,-0.28259,-0.05666,-0.03966,-0.04885,-0.04274,0.35071,2,0,0,0,0,0
2022-10-14,0.48484,356.77778,-0.26292,-1.62051,-1.59449,0.06481,79.34884,0.42308,0.9306,-1.0,-1.2044,-1.0015,-0.47113,0.31393,-0.64404,-1.57701,-1.01364,0.28876,0.76365,-0.26,-0.18671,-1.0,-1.12508,-1.06897,0.00601,-0.00885,-0.00604,-0.02083,-0.15846,-0.01471,-0.01466,-0.00904,-0.02083,-0.39627,3,1,1,1,1,0
2022-10-17,-0.63469,-0.1648,-1.08764,0.55441,-11.52318,-0.63983,-2.25731,-5.97297,1.64951,inf,-0.4086,-3.0,-0.45758,297.81481,-1.0646,-1.96454,5.25591,-0.61648,-102.02326,-8.07692,4.11514,inf,-1.12088,-0.99699,-0.00299,0.0,0.00304,0.0152,-0.04958,0.003,-0.00885,-0.00302,-0.00595,-0.20019,4,0,0,0,0,0
2022-10-18,0.04108,-2.7319,-24.62255,-4.15302,2.11139,0.57552,0.22951,-0.47283,-0.43725,7.83333,0.72727,-253.5,-0.61969,-2.44648,1.07019,-5.9011,-33.74172,-0.43254,-2.54588,-3.62162,0.49101,inf,0.02151,504.0,-0.00599,0.00298,-0.00606,0.0,0.01271,-0.00896,0.00298,-0.00304,0.0152,-0.0375,0,1,1,0,0,0
2022-10-19,3.29858,1.64711,2.33315,0.08344,1.08657,6.03062,-1.49691,0.28866,2.55233,-1.60377,-1.78421,-0.88317,3.47516,-5.58453,-79.73763,-4.41612,5.49213,10.07685,-1.61096,-0.32065,0.99907,-6.33333,-2.35455,-30.5,0.02711,0.0178,0.0061,0.00599,0.93357,0.02096,0.02083,0.0,0.00599,0.95814,1,0,0,0,0,0
2022-10-20,-2.05094,-0.93674,-1.43814,-2.23666,-1.56117,-0.75556,-6.08063,-2.056,-0.92581,-1.1875,-7.33557,-1.45763,-5.51756,-0.83253,-2.4604,-2.33985,-2.17091,0.71854,1.52462,-2.36082,-0.73644,-0.88679,3.96842,-1.05347,-0.02639,0.00583,0.00606,0.0,-0.13648,0.0,0.02374,0.0122,0.00599,0.66966,2,1,0,0,0,0
2022-10-21,-1.22367,2.58632,-1.53414,-1.34511,-1.27552,-0.26477,-1.1636,-1.0,-1.85863,-4.0,-0.82733,-0.88889,-0.76494,-0.77312,-0.76597,-0.57321,-0.84539,-0.82028,-0.1688,-1.0,-1.06371,-0.4375,-2.09396,-1.05085,0.01506,-0.01739,0.00301,0.00298,-0.37714,-0.01173,-0.01166,0.00909,0.00298,-0.46215,3,0,0,0,0,0
2022-10-24,1.17472,-2.87965,-0.95547,-1.40048,-0.76865,-0.58957,-0.93926,-1.0,-1.98063,-1.0,0.69325,-0.16667,-1.48642,-7.74103,-1.02378,-0.86179,-1.06374,-0.69824,-1.00994,-1.0,-0.158,-1.0,-0.70763,-0.90741,0.00297,0.0,-0.00601,-0.0089,0.00518,0.01807,-0.01739,-0.00301,-0.00595,-0.37391,4,0,0,0,0,0
