,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,open_1,high_1,low_1,close_1,vol_1,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-06-30,-5.24341,27.26626,0.30995,1.10154,-0.70992,0.1234,0.6543,-1.0,-1.86512,-1.0,-94.57143,-2.28571,1.81401,1.57282,0.91863,0.73238,1.65116,-0.86619,-3.29125,-1.0,-1.49733,-1.0,92.57143,-1.5625,-0.01866,0.02583,0.00769,0.04906,1.07873,0.00766,0.03731,0.02745,0.0412,0.76286,2,0,0,0,0,0
2022-07-01,-1.75555,-0.91852,1.40838,1.11284,5.42398,3.55303,0.76899,-1.0,-1.89785,-1.0,-1.80305,-2.88889,2.2061,1.30307,2.15487,3.44021,0.86344,4.11489,1.92643,-1.0,-0.22326,-1.0,74.14286,1.42857,0.05323,-0.0036,-0.01527,-0.06475,-0.05123,0.03358,0.02214,-0.00769,-0.01887,0.97224,3,1,0,0,0,0
2022-07-04,-1.04036,3.29196,-0.48321,-0.92162,-0.63541,0.04326,0.07119,-1.0,0.03593,-inf,-0.93726,-0.58824,-0.96951,-0.6503,0.24464,-0.83439,1.34211,3.75,0.89492,-1.0,-1.93011,-inf,-1.05038,-1.77778,-0.05054,-0.04332,0.0,0.00385,-0.35214,0.0,-0.04676,-0.01527,-0.06115,-0.38533,4,0,0,0,0,0
2022-07-05,-4.85081,-0.87835,-0.58308,-3.97121,-0.27466,-0.84211,-0.18027,-1.0,-1.05202,-1.0,8.06061,-4.0,-0.84458,-0.47789,-0.78454,-1.23289,-0.73555,-0.83527,-0.12191,-1.0,-1.05389,-1.0,-0.43156,-2.23529,-0.0038,-0.01132,-0.02326,-0.01916,-0.3082,-0.05415,-0.05415,-0.02326,-0.01538,-0.55181,0,1,1,1,1,0
2022-07-06,-1.24084,-1.38265,-1.25939,-0.52326,-1.10671,-0.71212,-0.99595,-1.0,11.77778,-inf,-0.88629,-0.0,-0.07258,-1.04655,-1.10814,-2.41651,-1.0774,-0.95455,-0.99668,-1.0,-1.66474,-0.45946,0.0303,-4.0,-0.01527,0.00763,0.01587,0.01562,-0.35293,-0.01901,-0.00377,-0.00775,-0.00383,-0.55236,1,1,0,0,0,0
2022-07-07,16.15217,-16.55467,1.69465,2.74255,0.93548,-17.47368,98.875,-1.0,-1.09565,-1.2,-5.14706,-0.19048,-5.13089,4.95204,-1.69896,0.78424,-1.20654,-5.74242,-0.59514,-1.0,-2.22222,inf,-1.47157,-0.19048,0.00775,0.01894,0.00781,0.00385,0.93185,-0.00763,0.02672,0.02381,0.01953,0.25004,2,1,1,1,1,1
2022-07-08,-0.12421,-0.62266,1.48262,0.16437,1.175,0.58147,-1.12453,-1.0,-31.72727,-1.0,4.4539,0.23529,14.02174,-6.86933,5.68978,3.35772,3.20968,-27.05263,-13.4375,-1.0,1.93913,-1.0,-23.61765,-0.0,0.01538,0.01115,0.01938,0.03448,-0.30205,0.02326,0.0303,0.02734,0.03846,0.34832,3,0,0,0,0,0
2022-07-11,-1.49696,-0.87824,-1.67358,-0.99689,-5.81226,-2.41414,-0.67337,-1.0,-2.25444,-1.0,-0.9896,-1.52381,-1.43523,-0.95405,-2.67223,-0.99638,-11.46667,-3.23642,-1.04068,-1.0,37.54545,-1.0,-0.94326,-1.64706,0.02652,0.0,0.0038,-0.01481,-0.22708,0.04231,0.01115,0.02326,0.01916,-0.46054,4,0,0,0,0,0
2022-07-12,-0.33023,-2.92537,-0.49541,-8.7,-0.98169,-0.23714,-2.75385,-1.0,-0.875,-1.0,-11.25,-0.63636,-1.33285,-1.23444,-1.33988,-1.02394,-1.08812,-2.07879,-1.57286,-1.0,-1.1568,-1.0,-1.10663,-1.19048,-0.01476,-0.01838,-0.01894,-0.01504,-0.10705,0.01136,-0.01838,-0.01521,-0.02963,-0.30982,0,0,0,0,0,0
2022-07-13,-1.08391,-8.35659,0.95773,-5.80519,72.6087,0.2834,0.22807,-1.0,1.64151,-1.0,-0.42683,1.5,-1.0562,13.16418,-0.01215,36.0,0.34793,-0.02095,-3.15385,-1.0,-0.66981,-1.0,-6.875,-0.09091,-0.02622,-0.01873,-0.00772,-0.00763,0.02291,-0.04059,-0.03676,-0.02652,-0.02256,-0.08659,1,1,1,1,1,1
