,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,open,high,low,close,vol,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,weekday,value,close_cr_5,r_open_high_5,close_cr_1,r_open_high_1
2022-07-15,-0.46504457961836515,-1.7231675874769798,-16.62406015037594,-2.6725333333333334,0.8079800498753117,1.1224701608718215,-0.2133676092544987,-1.0,-0.1891348088531187,-1.0454545454545454,-0.26262626262626265,0.5714285714285714,-0.04160887656033287,-0.03744798890429958,-0.02023121387283237,-0.017341040462427744,0.0899088552841621,2.14,2.1,1.79,1.78,1.92,1.89,-1.45,-1.74,-0.41,-1.0,0.08,-2.67,-0.48,0.37,0.1,2.54,-8.22,1.89,3,0,0,1,0,1
2022-07-18,-0.47258566978193145,-0.6921666496893144,-0.47142685274302215,-0.21035289115646258,-1.1910344827586208,-0.49315403422982884,-1.4877450980392157,-6.487179487179487,-0.07692307692307693,-1.0,5.402739726027397,0.9090909090909091,-0.03328509406657019,-0.025936599423631124,-0.04129793510324484,-0.01764705882352941,-0.06827094193426461,-0.68,-0.64,-0.81,-0.84,-0.84,-0.81,1.3,1.11,-0.64,2.09,1.27,-1.41,1.88,1.9,0.04,-0.53,4.42,5.13,4,0,1,1,1,1
2022-07-19,-2.6748375664500887,-0.7491727332892124,-1.66723568908615,-0.9102167182662538,12.458483754512635,-1.4848046309696092,-0.02847571189279732,-0.6355140186915887,-3.849462365591398,1.0,-1.4146341463414633,-0.5238095238095238,0.019461077844311378,0.03550295857988166,0.04153846153846154,0.0374251497005988,-0.19855650586525134,2.42,2.4,3.11,3.08,2.76,2.71,0.12,-0.81,-0.6,1.31,2.25,5.7,0.72,-0.18,-1.0,4.61,-3.16,1.58,0,0,0,1,0,1
2022-07-20,-1.171927349673779,4.151715039577836,-1.8261981920518506,4.325337331334333,-0.9871244635193133,-2.655721393034826,-0.9086206896551724,-0.41025641025641024,-0.8009433962264151,-0.8333333333333334,-0.9618163054695562,-0.9,0.014684287812041116,0.005714285714285714,0.014771048744460856,-0.001443001443001443,-0.4020035853632817,0.17,0.2,1.58,1.56,0.59,0.63,2.91,3.06,0.34,0.06,-0.19,-0.52,1.07,0.67,0.61,2.49,-2.53,-1.88,1,0,1,1,1,1
2022-07-21,-4.111794871794872,-1.306786171574904,-2.416391412056152,-1.6984797297297298,43.6875,-0.03485576923076923,76.62264150943396,-0.41304347826086957,-2.3649289099526065,-2.076923076923077,70.13513513513513,0.5,0.01881331403762663,0.022727272727272728,0.020378457059679767,0.02745664739884393,1.1523594554560204,0.5,0.48,1.36,1.4,0.99,0.98,0.33,0.18,-0.12,-4.89,-4.33,-1.36,0.56,0.93,-0.53,1.53,-3.22,-5.78,2,0,1,1,1,1
2022-07-22,-0.8441001977587343,-1.4716193656093488,-1.0163241509983967,-3.057234985892785,-0.12773892773892773,-2.6251556662515565,-0.8546426835196889,1.7407407407407407,-0.4409722222222222,-1.0,-0.9954407294832827,10.0,-0.002840909090909091,0.0,-0.007132667617689016,0.008438818565400843,-0.34203971947302875,-0.43,-0.41,-1.87,-1.71,-0.93,-0.91,-2.1,-2.14,-0.15,-4.44,-3.99,-0.41,-0.68,-0.66,0.29,-2.55,-0.35,-1.71,3,0,0,1,0,1
2022-07-25,-3.9069767441860463,12.617699115044248,76.36607142857143,-1.0489811912225706,-1.207910208444682,-2.013793103448276,-10.26086956521739,-1.2702702702702702,0.7639751552795031,-1.0,33.333333333333336,-0.7878787878787878,0.0014245014245014246,-0.005555555555555556,0.008620689655172414,-0.005578800557880056,0.05063007421427504,0.28,0.29,-0.43,-0.56,0.13,0.13,-2.67,-1.28,-0.26,0.79,0.49,0.83,-0.01,0.44,0.08,-0.61,1.43,2.11,4,0,1,1,1,1
2022-07-26,-2.0967272727272728,-0.6910579672472056,-0.955799192152337,9.672,-2.354755784061697,0.04610733182161754,-0.755868544600939,-4.85,-2.6338028169014085,-1.0,0.038834951456310676,-9.142857142857142,0.017069701280227598,0.0223463687150838,0.014245014245014245,0.009817671809256662,0.46218029250717046,-0.72,-0.74,-1.87,-1.96,-1.15,-1.18,-0.9,-0.44,0.64,-0.13,1.35,1.77,0.03,0.39,-0.08,-1.63,5.69,-1.78,0,0,0,1,0,0
2022-08-03,-1.0839083397222933,-1.6546248142644873,3.8756855575868374,2.039252336448598,-0.011210762331838564,0.23504273504273504,-1.536231884057971,-1.0,-4.0227272727272725,-1.0769230769230769,-9.168539325842696,-1.0588235294117647,-0.011204481792717087,-0.009790209790209791,0.0014347202295552368,0.0028530670470756064,-0.3281868323388899,1.28,1.25,2.59,2.68,1.56,1.53,1.29,1.75,0.26,-1.52,0.2,-1.82,1.37,0.89,-0.3,2.65,-8.27,-3.98,1,0,1,1,1,0
2022-08-04,-1.1807106598984771,-0.8970066676124273,-0.8783277090363705,-0.8163181631816319,-0.31746031746031744,-0.14013840830449828,-1.1783783783783783,-1.0,-1.0451127819548873,-0.0,-0.6299862448418156,-8.0,-0.0084985835694051,-0.00423728813559322,0.0014326647564469914,0.002844950213371266,-0.30804211811384097,-0.26,-0.27,0.41,0.42,-0.08,-0.1,0.16,1.04,-0.73,-0.47,-0.66,-1.77,1.2,0.47,-0.41,0.92,-2.32,-2.34,2,0,1,1,1,0
