,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,open,high,low,vol,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-01-29,-0.8786804420685261,-0.4576701268742791,-1.0715142171976704,0.3555878084179971,-1.2790410281759763,-0.7387823888771856,-1.7818965517241379,-5.416783216783217,-1.446040213377103,-1.65625,6.511627906976744,-0.7222222222222222,1.65,1.62,3.13,3.19,2.43,2.44,-1.0,-0.89,0.02,-1.36,-1.34,-7.32,2.78,1.87,0.48,1.83,-9.28,0.24,-0.013282732447817837,-0.007434944237918215,0.001953125,-0.2713729868441882,4.0,1,1,1,1,1
2022-02-04,-1.1611872146118722,-1.5828725365092868,-2.607185628742515,0.9357601713062098,-0.6598759964570416,-0.6120967741935484,-1.185226019845645,-0.701393286890437,-1.609015639374425,0.6666666666666666,-1.9246646026831786,4.0285714285714285,-1.45,-1.47,-3.74,-4.12,-2.44,-2.36,-0.85,-1.01,-0.55,3.64,4.56,6.22,2.15,1.67,0.0,-4.58,10.23,2.28,0.05576923076923077,0.031835205992509365,0.04093567251461988,0.11255317202579701,3.0,1,1,1,0,0
2022-02-05,-3.6543909348441925,-0.7470201897348577,-0.6035767511177347,0.4209070796460177,-4.541666666666667,-1.4622314622314623,-0.49404761904761907,-0.015906680805938492,-3.0468277945619335,-1.0,1.0145089285714286,-1.2556818181818181,-0.06,0.02,1.58,1.33,0.52,0.53,1.99,1.27,0.09,4.34,9.49,16.1,1.26,1.57,-0.1,0.6,-4.64,2.26,-0.023679417122040074,-0.019963702359346643,-0.013108614232209739,-0.31922503725782414,4.0,1,0,0,0,0
2022-02-08,3.300960512273212,1.0134615384615384,8.547932330827068,2.8135461268976254,-0.8661764705882353,-4.013493253373313,-11.435294117647059,-0.9935344827586207,-0.3328413284132841,1.0,-1.1202216066481994,3.688888888888889,0.0,-0.03,-0.58,-0.86,-0.37,-0.37,1.35,3.59,-0.09,0.48,-2.09,-5.47,-0.38,-0.19,-0.12,-0.02,-1.55,-1.07,0.0,-0.001851851851851852,-0.009487666034155597,0.13118243855305273,0.0,0,0,0,0,0
2022-02-09,-0.9708436724565757,-1.4016236867239733,-1.0384880401614331,-1.1476982749821374,6.956043956043956,-0.9039800995024876,-3.1871476888387824,0.5,1.7831858407079646,-1.0,-0.02304147465437788,-1.018957345971564,1.06,1.07,1.28,1.2,0.84,0.82,3.68,2.34,0.25,2.37,3.95,27.35,-0.46,0.05,-0.04,2.4,-6.21,-2.15,0.007462686567164179,0.011131725417439703,0.01532567049808429,0.26541207874541206,1.0,0,0,0,0,0
2022-02-10,-194.83829787234043,-32.837098692033294,46.749360613810744,-0.18106427090532135,-3.7624309392265194,-20.088082901554404,-4.052061855670103,6.555555555555555,0.4713831478537361,1.0,-0.3443396226415094,-9.0,0.86,0.85,2.08,2.06,1.45,1.45,-1.65,-0.48,-0.15,-1.01,1.55,-1.76,1.7,0.81,-0.19,3.35,-6.9,0.34,0.003703703703703704,0.03853211009174312,0.018867924528301886,0.5641961375789729,2.0,1,1,1,1,1
2022-02-11,-1.0227212855637513,-0.4180765639589169,-1.8983395822174611,-12.30379746835443,-0.8915,-2.3789359391965257,-0.8604965377470022,-0.8088235294117647,-0.8841166936790924,-1.0,-0.07194244604316546,-1.84375,-1.47,-1.41,-2.1,-2.24,-1.81,-1.75,-0.11,-0.1,0.04,5.04,17.77,46.59,-1.63,0.11,0.48,-3.22,19.79,0.25,0.05166051660516605,0.01060070671378092,0.03333333333333333,-0.4068764623776997,3.0,0,0,0,0,0
2022-02-12,-42.91400966183575,0.18914061998588025,-2.5098378249463393,-0.7599104143337067,16.0852534562212,-3.3748031496062993,7.119854721549637,6.3076923076923075,4.862470862470863,-1.0,-3.503875968992248,-6.444444444444445,-1.43,-1.46,-2.78,-3.13,-1.9,-1.96,2.35,3.26,0.57,-6.13,-7.56,-8.8,-2.04,-0.87,-0.03,-4.83,14.43,3.58,-0.014035087719298246,0.02097902097902098,0.005376344086021506,0.771458129646893,4.0,1,1,1,1,1
2022-02-15,-0.8738848804776285,-1.3731109671848014,-0.5076412747304822,-1.7021144278606966,-1.027242076871207,-0.294263925729443,-0.7914119576561801,-1.0,-0.7801192842942346,-0.7937743190661478,-0.8421052631578947,-0.7687074829931972,-0.49,-0.45,0.0,0.09,-0.38,-0.35,-1.02,0.23,0.31,3.53,5.56,4.83,-2.81,-1.57,-0.18,0.15,3.55,2.53,0.023131672597864767,-0.00684931506849315,0.008912655971479501,-0.5246853761688091,0.0,0,0,0,0,0
2022-02-16,-1.9870224821787608,-4.430059308549111,-3.313843439204363,-9.881753764393268,10.391089108910892,-0.932111815832746,-6.032880629020729,1.0,-1.9783001808318263,-1.0,5.9411764705882355,-3.676470588235294,1.22,1.26,2.53,2.5,1.58,1.6,0.11,0.98,-0.38,2.9,0.46,6.39,-1.51,-1.03,-0.05,5.47,-9.28,-3.55,-0.006956521739130435,-0.010344827586206896,-0.019434628975265017,0.599603046014258,1.0,0,0,0,0,0
