,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,open,high,low,vol,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-06-14,0.2567177437264046,-0.1395984717956401,-0.321617802896503,-0.1899568279936378,-0.7318460192475941,8.112403100775193,0.33076923076923076,-1.0,-0.7073274941251869,0.029411764705882353,-0.7766423357664234,-2.0952380952380953,-2.79,-2.74,-4.68,-4.59,-3.88,-3.81,4.41,9.7,0.92,5.91,7.08,14.22,-4.72,-3.52,0.97,-5.61,22.59,0.22,-0.023809523809523808,-0.025466893039049237,-0.029668411867364748,-0.14793884656138048,0.0,0,0,0,0,0
2022-06-16,-2.844148148148148,-0.7063852655234745,-0.27100605632974656,-0.05668135095447871,1.042808219178082,-1.222709338009645,1.8372844827586208,-1.0,1.9827586206896552,-1.0,-5.133333333333334,-0.47619047619047616,1.0,0.94,2.5,2.47,1.46,1.4,2.87,3.33,-0.37,-5.39,-6.68,-2.12,-2.93,-1.83,-0.9,1.77,-9.39,-3.04,0.007168458781362007,0.0035211267605633804,0.01824817518248175,-0.1859298301501571,2.0,0,0,0,0,0
2022-06-17,5.317159383033419,-4.599500831946755,0.400629133731247,-1.0656911581569115,0.5004191114836547,-7.5049212598425195,-1.2537030003797949,-0.35714285714285715,-0.9572254335260115,-2.18974358974359,-3.161290322580645,-4.7727272727272725,-2.41,-2.39,-4.08,-4.05,-3.25,-3.19,-1.13,3.19,-1.45,-2.93,-3.43,-9.79,0.34,0.16,0.81,-6.24,11.24,1.98,0.042704626334519574,0.04736842105263158,0.021505376344086023,0.7061925809980345,3.0,1,1,1,1,1
2022-06-18,-1.3446004374586704,-2.974622105117182,0.6598329974085805,-42.78672985781991,-0.18677839851024208,-0.4861552428506582,-5.984281437125748,-29.0,14.18018018018018,-1.0,-0.03980099502487562,-0.4939759036144578,-0.15,-0.41,1.43,0.05,0.22,-0.12,0.93,1.05,1.05,1.13,2.27,0.5,-0.43,-0.43,0.24,0.46,-5.52,-6.83,-0.025597269624573378,-0.021775544388609715,-0.014035087719298246,-0.06936813902817886,4.0,0,0,0,0,0
2022-06-22,-0.9403442584296157,-0.516779528974651,-0.3583196376317794,-0.16402919286075585,-1.0105533371363378,-0.40390117035110534,-0.6812386156648452,0.019891500904159132,-0.28580603725112397,-1.0,4.9855072463768115,0.8571428571428571,2.16,1.23,2.51,1.34,2.45,1.37,-0.03,-0.08,-0.28,0.06,-1.6,-4.18,1.09,0.75,0.01,2.75,-2.71,1.66,-0.012006861063464836,-0.01697792869269949,0.0,-0.2132131445087587,1.0,0,0,0,0,0
2022-06-23,7.555335968379446,-1.1906740249271408,-1.4419665167416291,-1.1303483447143228,40.83783783783784,0.07460732984293193,-12.643809523809523,-1.0549645390070923,-1.25,2.5294117647058822,-0.21549636803874092,-1.2307692307692308,-0.16,-0.18,-0.15,-0.1,-0.13,-0.13,-1.93,-3.73,-0.24,-3.62,-4.13,0.82,-4.03,-2.74,0.45,-1.12,-4.11,-4.03,-0.005208333333333333,-0.008635578583765112,-0.023008849557522124,0.13758977987573787,2.0,0,0,0,0,0
2022-06-24,-4.961884961884962,-0.5102439024390244,-3.230530035335689,-14.123342175066313,0.7551679586563308,-0.4043848964677223,-0.6677572386716834,1.2258064516129032,0.8669064748201439,1.3166666666666667,-0.5987654320987654,-0.0,0.64,0.66,1.62,1.48,0.95,0.98,-0.22,2.9,0.19,-2.25,-1.63,2.57,-4.36,-1.22,0.17,-0.65,0.35,-1.81,-0.034904013961605584,-0.013937282229965157,-0.010869565217391304,0.515268736580212,3.0,0,0,0,0,0
2022-06-25,-2.2259926534895924,-18.282868525896415,-0.7023002344591598,-0.36988377968671043,0.465218991534781,-1.0224948875255624,0.6602658788774003,-1.2753623188405796,-0.3468208092485549,-0.5251798561151079,-3.1307692307692307,-5.166666666666667,2.69,2.66,3.34,3.43,3.06,3.07,-1.43,-2.19,-0.22,1.58,1.69,3.24,5.03,2.26,-0.84,4.45,-6.27,3.21,0.014466546112115732,-0.0088339222614841,-0.01282051282051282,-0.11740460419033052,4.0,0,0,0,0,0
2022-06-28,-1.0540733342844915,-1.8853542339019518,-5.541081311196254,-1.699599037690457,-0.05476011052499372,-85.39393939393939,2.143831553973903,-0.9473684210526315,2.725663716814159,-4.5,-3.032490974729242,-1.4,-0.2,-0.21,-0.72,-0.82,-0.3,-0.32,2.73,1.06,-0.27,2.16,2.03,-0.58,2.71,1.49,-0.2,-0.18,-1.03,1.81,-0.030303030303030304,-0.0142602495543672,-0.0074211502782931356,-0.060620926483986266,0.0,1,0,0,0,0
2022-06-29,19.671064204045734,0.1743620899149453,-0.8309271585262961,-0.6699908298945438,-1.3986181238373638,-0.4854578096947935,-0.7214413734553344,-558.0,-0.7893903404592241,-0.5064935064935064,-1.2948490230905862,10.8,-1.56,-1.55,-2.98,-3.04,-2.01,-2.0,-1.61,0.34,0.54,-0.76,-0.65,5.64,-0.14,0.84,0.45,-2.63,5.23,2.0,0.007352941176470588,0.03074141048824593,0.014953271028037384,-0.29658717886112695,1.0,1,1,1,1,1
