,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,open,high,low,close,vol,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,weekday,value,close_cr_5,r_open_high_5,close_cr_1,r_open_high_1
2022-07-13,0.11196337993319312,3.490851735015773,-0.3490262489415749,-1.606330365974283,0.505338078291815,0.2640679953106682,0.1643835616438356,1.0,-0.9077069457659372,-1.2682926829268293,-3.582772543741588,-0.6308724832214765,-0.028985507246376812,-0.020172910662824207,-0.020895522388059702,-0.020771513353115726,-0.04128833017237039,-0.69,-0.67,-0.15,-0.14,-0.45,-0.5,-1.55,-2.52,-0.17,-1.18,3.19,7.76,1.65,0.47,-0.04,0.75,-1.72,0.48,1,0,1,1,1,1
2022-07-14,-0.7102803738317757,-2.163248103399831,1.515608740894901,-0.7259380097879282,8.160756501182034,0.6322745188963599,14.20392156862745,-0.045454545454545456,27.938144329896907,-1.1414141414141414,-1.6300156331422615,-1.1090909090909091,-0.029850746268656716,-0.020588235294117647,-0.03353658536585366,0.00909090909090909,0.46914444775126485,-0.46,-0.5,0.03,0.3,-0.3,-0.3,0.06,1.2,0.6,0.75,-0.65,0.97,0.38,-0.27,0.9,1.92,-1.57,-0.54,2,0,1,1,1,1
2022-07-15,-8.354070660522273,-1.3722222222222222,-3.2573940020682524,-28.607142857142858,-3.625290322580645,-1.6166193181818183,1.8153211245808616,4.0476190476190474,-1.2312076950480941,-21.214285714285715,-1.358974358974359,4.0,0.012307692307692308,0.04804804804804805,0.03785488958990536,0.036036036036036036,0.1712842145402114,2.14,2.1,1.79,1.78,1.92,1.89,-1.45,-1.74,-0.41,-1.0,0.08,-2.67,-0.48,0.37,0.1,2.54,-8.22,1.89,3,0,0,1,0,0
2022-07-18,-1.2512793733681462,1.0590525632706036,-0.9142425214164643,-0.0513152220784821,-0.7191585569645139,-0.9709744298548721,-0.7703160787906551,-0.6792452830188679,0.17873651771956856,-1.0600706713780919,-1.7165898617511521,-0.13333333333333333,0.0486322188449848,-0.0028653295128939827,0.0121580547112462,-0.011594202898550725,-0.42759911692592556,-0.68,-0.64,-0.81,-0.84,-0.84,-0.81,1.3,1.11,-0.64,2.09,1.27,-1.41,1.88,1.9,0.04,-0.53,4.42,5.13,4,0,1,0,1,0
2022-07-19,-1.127389858686617,-0.7053261897258115,0.328525641025641,-0.43636363636363634,-0.05915295764788239,-8.341269841269842,0.35500598324690863,2.1470588235294117,-1.3908496732026143,-1.0,-0.9614147909967846,-1.3076923076923077,0.005797101449275362,0.0,0.021021021021021023,0.01466275659824047,-0.24838703943977392,2.42,2.4,3.11,3.08,2.76,2.71,0.12,-0.81,-0.6,1.31,2.25,5.7,0.72,-0.18,-1.0,4.61,-3.16,1.58,0,0,1,1,1,1
2022-07-20,33.61011419249592,-5.014973262032085,4.2299959790912744,-0.36129032258064514,0.07924107142857142,-7.702702702702703,0.26287901089196347,-1.1214953271028036,-5.086956521739131,-1.0,-58.5,0.25,0.002881844380403458,0.022988505747126436,0.01764705882352941,0.023121387283236993,0.5458995459704881,0.17,0.2,1.58,1.56,0.59,0.63,2.91,3.06,0.34,0.06,-0.19,-0.52,1.07,0.67,0.61,2.49,-2.53,-1.88,1,0,1,0,1,0
2022-07-21,-1.0432692307692308,-1.4268779968034098,-0.7994925809179673,0.4046717171717172,0.20923819372630129,-1.2232258064516128,-0.3906759906759907,0.6153846153846154,-0.9378068739770867,-5.444444444444445,-1.3898550724637682,-6.2,0.031609195402298854,0.011235955056179775,0.02023121387283237,0.00847457627118644,-0.3018065562235174,0.5,0.48,1.36,1.4,0.99,0.98,0.33,0.18,-0.12,-4.89,-4.33,-1.36,0.56,0.93,-0.53,1.53,-3.22,-5.78,2,0,1,1,1,1
2022-07-22,-19.570806100217865,-1.585647425897036,5.219325153374233,-0.6413483146067416,0.38768529076396807,-4.71893063583815,0.5879877582249426,-0.5238095238095238,36.64473684210526,-1.0,2.7137546468401488,-0.038461538461538464,-0.008356545961002786,0.019444444444444445,0.0,0.025210084033613446,0.363144403303902,-0.43,-0.41,-1.87,-1.71,-0.93,-0.91,-2.1,-2.14,-0.15,-4.44,-3.99,-0.41,-0.68,-0.66,0.29,-2.55,-0.35,-1.71,3,0,0,0,0,0
2022-07-26,-1.6094761265111734,-2.959927470534905,0.6650622876557192,-2.3186549239391514,0.5235555555555556,-5.884292565947242,-2.169774288518155,-1.5,-0.06285714285714286,-1.0,-0.9314565483476133,-0.8292682926829268,-0.03296703296703297,-0.010958904109589041,-0.005649717514124294,0.0056022408963585435,-0.22019525267993875,-0.72,-0.74,-1.87,-1.96,-1.15,-1.18,-0.9,-0.44,0.64,-0.13,1.35,1.77,0.03,0.39,-0.08,-1.63,5.69,-1.78,0,0,1,1,1,1
2022-07-27,2.0394710478861953,-0.6192062170413545,-2.9207617752082977,-0.2374013357619915,-2.593348891481914,-0.4784583282189763,7.054530201342282,-5.235294117647059,-1.9695121951219512,-10.516129032258064,-4.464285714285714,-7.714285714285714,0.022727272727272728,0.030470914127423823,0.011363636363636364,0.022284122562674095,0.6568721309865724,1.37,1.39,4.06,4.18,2.62,2.58,-1.63,-0.95,-0.65,-0.65,-2.46,-3.12,0.73,0.11,-0.31,4.75,-5.87,2.4,1,0,0,0,0,0
