,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,open,high,low,vol,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-10-06,-0.9786940852236591,-1.1509786809624736,-1.792842535787321,4.157444894287,-0.3825475599669148,6.04390243902439,-1.4292849035187287,-4.877551020408164,-1.8605697151424287,-1.0526315789473684,-1.3554006968641115,-3.8947368421052633,-0.14,-0.18,-0.25,-0.15,-0.2,-0.24,1.52,0.34,0.94,3.3,1.21,-0.09,-1.64,0.26,0.01,0.94,-1.79,1.43,-0.019610922097182237,-0.019556102002586603,-0.005795444287304787,-0.34030070573795645,2.0,0,0,0,0,0
2022-10-07,-0.8706467661691543,2.25626204238921,2.0846014960020636,-0.959092891408635,-4.225720026791695,-1.0351800554016621,2.439978847170809,-0.7210526315789474,-1.019163763066202,43.0,-0.6274509803921569,-3.090909090909091,-1.15,-1.08,-0.68,-0.71,-1.02,-0.98,0.84,0.07,1.06,1.94,2.65,-0.32,3.02,1.02,-0.52,-0.59,6.9,0.79,-0.01142531722161912,-0.005696371003519564,-0.03789905691214392,0.2280972669258963,3.0,0,0,0,0,0
2022-10-08,65.1923076923077,-0.7478444632290786,-0.45321515176854255,5.036247334754798,-0.3789451827242525,-17.846456692913385,-0.29792467332820904,-1.0,38.0,-1.0,-8.210526315789474,-2.382608695652174,-2.1,-2.1,-3.8,-3.81,-2.8,-2.76,2.78,2.08,0.45,1.56,1.32,-0.09,-1.07,-0.22,1.18,-6.06,2.75,4.74,-0.020234387657743613,-0.01719296575684744,0.0030262801920209388,-0.09430532200154525,4.0,0,0,0,0,0
2022-10-14,-26.320665083135392,1.366720808518318,-0.5679824561403509,0.4974451953189385,-7.533066132264529,-5.33392382639504,-3.1418211120064465,1.0,0.9085714285714286,1.0,-11.625,2.5,2.83,2.84,2.23,2.24,2.6,2.6,3.13,2.07,-0.86,1.21,3.96,2.04,-2.99,-1.8,0.44,2.94,-4.86,2.11,0.0,0.012008529422767573,0.012342118922659899,0.31475238783208925,3.0,1,0,0,0,0
2022-10-15,1.7651969981238274,-0.14328198871435108,-8.07809449433815,-1.6556962025316455,0.7653374233128835,-0.1776006539955038,-1.5993227990970655,17.25,-0.4530938123752495,1.0,-0.21176470588235294,-0.7301587301587301,-1.31,-1.27,-3.08,-3.07,-2.37,-2.29,-1.08,0.88,0.85,1.85,0.68,0.73,4.09,2.3,0.68,-4.46,0.25,-3.93,0.015196359941688387,0.035610429296663214,0.015249055242218803,0.043679985348432586,4.0,1,1,1,1,1
2022-10-18,-1.433219119991858,-1.6615932354250111,-1.297346499696585,-1.9692798388450563,-0.8290182450043441,-1.07331013916501,-1.6880100439422474,-0.7945205479452054,0.3594890510948905,-1.0,-0.8059701492537313,-2.588235294117647,1.84,1.76,3.43,3.41,2.65,2.55,0.48,1.42,-1.14,0.26,-0.7,0.34,0.55,0.32,-0.68,2.28,-2.03,-0.18,0.026947727004295475,-0.00859648287842372,0.012008529422767573,-0.23751169864295743,0.0,0,0,0,0,0
2022-10-19,-3.2627251370399373,-2.434952240010763,-4.410760667903525,-2.311395912712158,0.8414634146341463,-21.305084745762713,-2.7545620437956204,-0.6444444444444445,0.436241610738255,1.0,-3.3846153846153846,-4.444444444444445,1.12,1.14,0.9,0.8,1.14,1.18,1.76,-0.02,0.08,-0.15,-0.42,4.07,2.21,1.36,-0.4,0.42,-2.77,-3.09,0.002917640222273338,0.02601306954220598,0.011872196756863325,0.23144490046411723,1.0,1,1,1,1,1
2022-10-20,-1.2127011593701333,-1.2256703543971499,-1.2322127937336815,-1.561014263074485,-1.1705298013245033,-0.4747913188647746,-2.6729069162766512,-3.375,-0.6280373831775701,-1.0,-1.5161290322580645,-6.365591397849462,-0.33,-0.38,-0.85,-0.41,-0.67,-0.68,2.43,2.18,0.79,3.27,2.93,1.58,-0.94,-0.56,0.69,0.76,0.85,3.3,0.02906738128002704,0.016896515422676072,0.00586340637729163,0.08796137673259617,2.0,0,0,0,0,0
2022-10-21,-2.665473478685324,-5.480681346073951,-0.928788943546498,0.0346045197740113,-3.6828478964401294,-0.19643992371265098,-1.041342866024246,-1.0,0.5603015075376885,-1.0,-5.75,-1.186372745490982,-0.3,-0.35,-0.61,-0.56,-0.8,-0.86,0.85,-0.12,-0.05,2.29,1.13,0.13,-1.47,-0.86,-0.33,0.69,-2.54,0.5,-0.03390029325513196,-0.03323728511367623,-0.0145760947204029,-0.13327034842108276,3.0,0,0,0,0,0
2022-10-22,0.4804611176240719,-0.5133982382939267,-34.713815789473685,-2.0741751990898747,1.3570566948130278,-0.5150316455696202,2.5488721804511276,-1.0,2.0563607085346214,-0.65,-0.9013157894736842,2.5268817204301075,2.47,2.54,2.31,2.41,2.37,2.41,5.44,4.15,-0.74,-0.32,-2.8,-0.22,-0.88,-0.22,-0.13,3.7,-0.97,-1.08,-0.0029201068479844583,0.00859648287842372,0.00887624851038736,-0.1770330977076039,4.0,1,1,1,0,0
