,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,open,high,low,close,vol,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,weekday,value,close_cr,r_open_high
2022-09-14,1.1887201735357917,-1.5795971410006497,-0.3322320117474302,0.0005084589072755847,0.43494019572308806,-2.9458447716496132,1.0708051494654156,-3.274193548387097,4.864516129032258,-22.5,2.139130434782609,-1.8529411764705883,-0.009876543209876543,-0.007389162561576354,-0.0025188916876574307,0.0025,0.053143343899032865,0.1,0.15,0.74,0.88,0.34,0.41,0.36,2.36,-0.14,-0.22,1.14,-1.56,-1.74,-1.56,-0.26,1.14,-4.07,1.34,1,1,0,1
2022-09-15,0.6407333994053518,12.329596412556054,-5.611874656404618,-1.4536844536844538,-1.13425107350341,-0.5722713864306784,-0.8055423844897529,0.8936170212765957,-1.4081408140814082,1.0,-0.8254847645429363,-3.1724137931034484,-0.017456359102244388,-0.007444168734491315,-0.010101010101010102,-0.00997506234413965,-0.2707739542868462,-0.56,-0.56,-1.43,-1.71,-1.13,-1.15,3.64,2.09,0.07,1.31,1.96,-0.81,-0.2,-0.4,0.53,-1.62,0.42,-3.82,2,2,0,1
2022-09-16,4.105708245243129,0.2847771236333053,-1.1851233758493265,-0.9405295315682282,-1.1589840075258702,-0.3082458770614693,-0.947710647520997,0.10486891385767791,-1.2776280323450135,-1.0,-1.873015873015873,-0.49206349206349204,0.01015228426395939,0.005,0.01020408163265306,-0.0025188916876574307,-0.39110849537089437,-0.45,-1.06,-0.9,-1.01,-0.72,-0.79,-0.5,1.0,0.05,0.19,0.23,-0.6,-1.45,-0.79,-0.98,0.53,0.11,0.01,3,1,1,1
2022-09-19,2.6595681750961253,2.583595181984813,3.7282678686413395,3.893835616438356,-7.124260355029586,-1.1621153012570438,-41.94818652849741,-0.7762711864406779,-16.45631067961165,-1.0,-0.9272727272727272,6.1875,0.002512562814070352,0.007462686567164179,0.005050505050505051,0.015151515151515152,1.2733434948015416,0.64,1.54,0.76,1.77,0.69,1.19,0.77,0.29,-0.16,1.13,1.94,-1.23,-2.35,-1.14,0.38,0.58,-2.05,0.73,4,3,1,0
2022-09-20,-0.6475713246585306,-0.690992455656431,-0.24758273185346588,-1.2393282015395382,-0.7806763285024154,-11.248663101604278,-0.8053903580918639,-8.636363636363637,-1.1595477386934674,-1.0,-73.125,-0.7347826086956522,0.010025062656641603,-0.0024691358024691358,-0.005025125628140704,0.0024875621890547263,-0.24307175718989163,-1.01,-1.02,-0.95,-0.85,-1.13,-1.14,0.55,1.09,0.56,2.13,0.62,7.03,1.12,0.52,0.17,-1.49,5.43,-1.49,0,2,0,0
2022-09-21,-1.1259918359858736,-1.2026483802317334,-0.9341176470588235,6.944444444444445,2.656387665198238,-1.0654839551265327,-4.00780234070221,0.04563492063492063,0.7007874015748031,-1.0,-1.5875216637781628,-0.639344262295082,0.004962779156327543,0.0024752475247524753,0.0025252525252525255,-0.01488833746898263,-0.004054443324211436,-1.7,-1.69,-1.79,-1.78,-1.71,-1.72,2.17,1.45,0.37,-0.98,2.23,-1.67,-0.72,-0.87,0.37,-0.97,3.06,-1.79,1,3,0,0
2022-09-22,-2.608299963596651,-4.46120186697783,-21.142857142857142,-0.2381302907618697,-6.753012048192771,-14.442231075697212,1.2505404236921747,-1.0303605313092978,-1.7731481481481481,-0.8615384615384616,-1.873156342182891,-9.227272727272727,-0.027160493827160494,-0.024691358024691357,-0.020151133501259445,-0.007556675062972292,-0.11783335864118527,-0.36,-0.44,-1.37,-1.23,-0.84,-0.9,2.15,5.13,0.69,4.98,1.45,-1.82,-0.46,-0.63,0.47,-2.81,-2.29,0.66,2,2,0,1
2022-09-23,-3.9232684472612043,-0.844079224610198,0.9174849972722313,-2.614975845410628,-0.5629319371727749,-1.8100177830468287,-0.8517913745077322,4.1875,-3.0748502994011977,43.44444444444444,1.8716216216216217,-0.20994475138121546,-0.012690355329949238,-0.002531645569620253,-0.010282776349614395,-0.017766497461928935,-0.1404578650994664,-1.61,-1.59,-1.8,-1.63,-1.72,-1.67,3.01,2.91,1.67,-0.63,2.07,-1.14,-2.93,-1.81,1.22,-1.45,9.4,-5.69,3,2,0,0
2022-09-26,-1.1985288424312814,-0.8043243243243243,-1.1998719681342913,-1.3555189949147473,-0.8380450407283182,-0.3973655323819978,-3.416720674011666,-1.0,0.3953823953823954,-0.1375,-0.3811764705882353,-1.5734265734265733,-0.002570694087403599,-0.007614213197969543,-0.01038961038961039,-0.015503875968992248,0.24941591570113955,-1.11,-1.1,-0.6,-0.53,-1.03,-1.05,4.24,6.36,0.94,5.08,2.17,2.08,-5.07,-3.02,0.62,-1.47,7.82,-2.58,4,1,0,0
2022-09-27,-5.677847113884555,-54.86187845303867,2.034519572953737,6.31426167437947,4.727810650887574,0.51183970856102,-2.2547599892732637,1.0,-1.0289555325749742,-1.6318840579710145,0.5703422053231939,1.4024390243902438,-0.03608247422680412,-0.04092071611253197,-0.05249343832020997,-0.04199475065616798,1.2488246069302396,-0.44,-0.48,0.25,0.15,-0.21,-0.25,-2.23,-3.29,0.02,0.53,-1.33,1.71,0.83,0.13,-0.27,1.04,1.05,2.33,0,4,1,1
