,retail,foreigner,institution,financial,invtrust,pension,privequity,bank,insurance,financeetc,corporateetc,foreigneretc,open,high,low,close,vol,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,weekday,value,close_cr_5,r_open_high_5,close_cr_1,r_open_high_1
2022-07-06,-2.388059701492537,1.2427480916030533,-0.26479203280609254,-0.7405910583480677,7.5396825396825395,-8.138107416879796,-1.007400555041628,-0.9938900203665988,0.09545454545454546,0.6190476190476191,0.30952380952380953,-1.0,0.002430133657351154,0.0,-0.0012315270935960591,-0.0048721071863581,0.6366493577480186,0.23,0.25,0.35,0.61,0.36,0.37,-3.13,-1.45,0.58,4.09,6.14,8.9,-0.84,-2.13,-0.32,0.66,-2.94,-0.97,1,2,0,0,0,0
2022-07-07,3.2094214029697903,-1.5021556614476967,-5.205577689243028,-5.249269717624148,-0.5910780669144982,-2.84736653529201,2.0,1.6666666666666667,0.03734439834024896,-0.0,-3.3454545454545452,2.0,-0.019393939393939394,-0.014545454545454545,-0.013563501849568433,-0.019583843329253364,0.33468314269015614,1.12,1.14,2.28,2.17,1.5,1.47,0.27,0.55,0.03,2.27,0.96,3.34,1.79,1.84,-0.55,4.48,-2.43,4.26,2,3,1,0,1,0
2022-07-08,-1.009609536552731,-0.08540442837776774,-0.8103448275862069,-1.318744271310724,1.809090909090909,-0.6437160589604345,-0.4166666666666667,1.25,0.196,-0.7352941176470589,-0.3875968992248062,2.6666666666666665,-0.003708281829419036,-0.004920049200492005,0.0,0.00749063670411985,-0.4758061993681774,-0.14,-0.18,0.12,0.11,-0.08,-0.1,2.25,0.97,-0.14,2.67,2.66,0.77,1.12,0.7,-0.23,0.47,-5.52,2.01,3,4,0,1,0,0
2022-07-11,-5.215189873417722,-1.1630434782608696,-1.0174825174825175,-1.9734004313443565,-3.428802588996764,-0.9537289058247143,1.8571428571428572,-0.7222222222222222,-0.7435897435897436,-28.666666666666668,-1.518987341772152,-1.1363636363636365,0.0012406947890818859,0.004944375772558714,0.005,0.0,-0.09767885912047258,-0.52,-0.54,-2.26,-2.2,-1.15,-1.14,0.74,-0.3,0.97,-3.37,-1.72,7.2,0.07,-0.44,1.25,-2.46,6.21,-0.67,4,4,1,0,1,0
2022-07-12,0.8018018018018018,-6.8121212121212125,-73.11428571428571,-0.5930576070901034,-1.00599600266489,19.03529411764706,-0.375,-1.0,0.02608695652173913,-1.0,-1.0975609756097562,-0.3333333333333333,0.004956629491945477,-0.0024600246002460025,0.0,0.0037174721189591076,-0.14098664197857427,-0.61,-0.56,-0.95,-0.89,-0.92,-0.86,-0.89,-1.48,0.09,-0.74,-0.6,6.99,-2.12,-0.96,-0.43,0.18,4.28,-7.93,0,4,1,1,1,1
2022-07-15,-0.6609632446134347,-2.884306186648025,-5.471612414837245,-3.962549277266754,-4.144230769230769,-0.0635593220338983,-0.3888888888888889,-1.0,6.107142857142857,-1.0,-0.39473684210526316,1.0,-0.015834348355663823,-0.004866180048661801,-0.006165228113440197,-0.0024630541871921183,0.5099252013808976,2.14,2.1,1.79,1.78,1.92,1.89,-1.45,-1.74,-0.41,-1.0,0.08,-2.67,-0.48,0.37,0.1,2.54,-8.22,1.89,3,3,1,0,1,0
2022-07-19,-4.710843373493976,-0.5453492859899652,0.2562929061784897,-0.17609814008705976,-0.07728706624605679,-0.08261802575107297,-0.8113207547169812,1.0,7.5,-1.0,0.8461538461538461,-1.75,-0.006142506142506142,0.001226993865030675,0.006234413965087282,-0.0012315270935960591,-0.1952118941699836,2.42,2.4,3.11,3.08,2.76,2.71,0.12,-0.81,-0.6,1.31,2.25,5.7,0.72,-0.18,-1.0,4.61,-3.16,1.58,0,4,1,0,1,0
2022-07-20,0.4948051948051948,-0.4456706281833616,0.05391621129326048,-0.24879923150816521,-0.7555555555555555,-2.192982456140351,3.45,-0.8040540540540541,-0.4060721062618596,-1.0,-3.625,-0.6666666666666666,0.0012360939431396785,-0.003676470588235294,0.0,0.002466091245376079,0.16961233544257764,0.17,0.2,1.58,1.56,0.59,0.63,2.91,3.06,0.34,0.06,-0.19,-0.52,1.07,0.67,0.61,2.49,-2.53,-1.88,1,2,1,1,1,0
2022-07-22,-1.9957173447537473,-1.1487242461454497,-0.28448507663350364,1.4784688995215312,3.632258064516129,-0.6957289092834451,2.5,-4.65,2.7745664739884393,1.0,-0.7804878048780488,0.0,-0.002457002457002457,-0.006082725060827251,-0.006150061500615006,-0.0049079754601227,-0.08655974700700249,-0.43,-0.41,-1.87,-1.71,-0.93,-0.91,-2.1,-2.14,-0.15,-4.44,-3.99,-0.41,-0.68,-0.66,0.29,-2.55,-0.35,-1.71,3,2,1,1,1,0
2022-07-25,-0.7387096774193549,-3.259633027522936,0.3750469748214957,-0.8841698841698842,-1.0668523676880224,0.728538283062645,30.714285714285715,-1.0,-0.19448698315467075,-1.0,4.222222222222222,26.333333333333332,-0.003694581280788177,-0.0024479804161566705,0.0,0.0012330456226880395,-0.18779365942924972,0.28,0.29,-0.43,-0.56,0.13,0.13,-2.67,-1.28,-0.26,0.79,0.49,0.83,-0.01,0.44,0.08,-0.61,1.43,2.11,4,3,1,1,1,1
