날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 02월 02일,"15,114.50","15,129.00","15,260.00","14,825.00",645.40K,0.80%
2022년 02월 01일,"14,994.75","14,868.75","15,137.00","14,729.25",597.31K,0.60%
2022년 01월 31일,"14,905.00","14,454.00","14,914.75","14,353.25",654.28K,3.27%
2022년 01월 28일,"14,433.00","14,167.75","14,442.00","13,831.00",878.24K,3.19%
2022년 01월 27일,"13,986.75","14,194.00","14,409.25","13,844.50",866.65K,-1.21%
2022년 01월 26일,"14,158.50","13,945.50","14,639.75","13,945.50",908.55K,0.13%
2022년 01월 25일,"14,140.75","14,495.00","14,499.00","13,890.00",957.80K,-2.48%
2022년 01월 24일,"14,501.00","14,410.00","14,582.00","13,706.00",1.32M,0.52%
2022년 01월 21일,"14,426.50","14,722.00","14,858.50","14,408.50",1.04M,-2.79%
2022년 01월 20일,"14,841.00","15,042.25","15,340.25","14,646.75",771.41K,-1.28%
2022년 01월 19일,"15,033.50","15,238.75","15,372.00","15,011.25",776.61K,-1.13%
2022년 01월 18일,"15,206.00","15,616.75","15,653.25","15,170.75",868.07K,-2.45%
2022년 01월 17일,"15,587.50","15,609.75","15,629.00","15,543.50",117.90K,0.03%
2022년 01월 16일,"15,583.00","15,645.50","15,645.50","15,570.75",8.44K,-0.08%
2022년 01월 14일,"15,595.75","15,505.00","15,621.00","15,312.50",795.90K,0.68%
2022년 01월 13일,"15,490.25","15,901.00","15,979.75","15,458.25",763.02K,-2.50%
2022년 01월 12일,"15,887.25","15,826.00","16,009.25","15,762.50",671.27K,0.36%
2022년 01월 11일,"15,831.00","15,622.25","15,839.50","15,475.00",709.36K,1.43%
2022년 01월 10일,"15,608.00","15,590.00","15,669.00","15,152.50",888.78K,0.17%
2022년 01월 07일,"15,581.00","15,801.75","15,852.75","15,510.00",704.41K,-1.13%
2022년 01월 06일,"15,759.00","15,763.75","15,895.75","15,598.50",802.95K,-0.05%
2022년 01월 05일,"15,766.50","16,265.00","16,269.00","15,752.75",769.79K,-3.13%
2022년 01월 04일,"16,275.75","16,497.75","16,564.00","16,139.50",669.53K,-1.27%
2022년 01월 03일,"16,485.50","16,356.00","16,508.00","16,292.00",513.55K,1.01%
2021년 12월 31일,"16,320.75","16,431.00","16,464.00","16,313.75",363.72K,-0.67%
2021년 12월 30일,"16,430.25","16,484.50","16,567.50","16,411.25",304.26K,-0.37%
2021년 12월 29일,"16,490.50","16,513.50","16,564.25","16,387.50",354.99K,0.02%
2021년 12월 28일,"16,488.00","16,565.75","16,659.50","16,452.25",454.63K,-0.43%
2021년 12월 27일,"16,560.00","16,304.25","16,580.75","16,304.25",351.31K,1.60%
2021년 12월 23일,"16,299.00","16,180.00","16,356.00","16,145.25",349.18K,0.80%
2021년 12월 22일,"16,169.75","15,979.00","16,183.00","15,881.50",476.67K,1.19%
2021년 12월 21일,"15,980.00","15,674.25","15,987.25","15,605.00",530.23K,2.30%
2021년 12월 20일,"15,621.25","15,809.50","15,851.75","15,492.00",676.20K,-0.61%
2021년 12월 17일,"15,717.32","15,873.00","15,902.00","15,668.00",9.39K,-0.97%
2021년 12월 16일,"15,870.50","16,288.50","16,459.25","15,800.25",143.26K,-2.56%
2021년 12월 15일,"16,288.00","15,928.50","16,302.50","15,744.50",161.71K,2.28%
2021년 12월 14일,"15,924.75","16,085.00","16,133.75","15,738.50",274.76K,-0.98%
2021년 12월 13일,"16,082.00","16,321.75","16,411.25","16,064.25",286.18K,-1.52%
2021년 12월 10일,"16,329.75","16,158.50","16,335.75","16,133.75",395.29K,1.12%
2021년 12월 09일,"16,148.75","16,380.50","16,420.00","16,120.25",612.58K,-1.49%
2021년 12월 08일,"16,392.25","16,360.50","16,436.75","16,251.50",494.85K,0.46%
2021년 12월 07일,"16,318.00","15,848.75","16,374.50","15,824.50",594.63K,3.00%
2021년 12월 06일,"15,842.75","15,716.25","15,897.25","15,559.25",695.52K,0.99%
2021년 12월 04일,"15,687.50","15,687.50","15,687.50","15,687.50",-,-0.19%
2021년 12월 03일,"15,717.75","16,020.00","16,121.75","15,538.00",898.85K,-1.69%
2021년 12월 02일,"15,988.50","15,891.75","16,066.25","15,762.75",853.71K,0.75%
2021년 12월 01일,"15,869.75","16,238.75","16,427.50","15,825.25",861.89K,-1.74%
