날짜,종가,오픈,고가,저가,변동 %
2022년 03월 25일,0.538,0.52,0.568,0.52,3.46%
2022년 03월 24일,0.52,0.5,0.543,0.497,4.63%
2022년 03월 23일,0.497,0.558,0.569,0.482,-7.62%
2022년 03월 22일,0.538,0.563,0.576,0.536,9.35%
2022년 03월 21일,0.492,0.416,0.51,0.396,20.44%
2022년 03월 20일,0.4085,0.4085,0.4085,0.4085,-1.33%
2022년 03월 18일,0.414,0.408,0.431,0.391,4.55%
2022년 03월 17일,0.396,0.434,0.477,0.391,-13.73%
2022년 03월 16일,0.459,0.49,0.49,0.431,-1.08%
2022년 03월 15일,0.464,0.472,0.49,0.462,9.43%
2022년 03월 14일,0.424,0.383,0.429,0.383,9.96%
2022년 03월 13일,0.3856,0.3856,0.3856,0.3856,-2.63%
2022년 03월 11일,0.396,0.381,0.416,0.378,0.00%
2022년 03월 10일,0.396,0.388,0.429,0.381,3.94%
2022년 03월 09일,0.381,0.398,0.398,0.37,1.60%
2022년 03월 08일,0.375,0.391,0.408,0.365,10.29%
2022년 03월 07일,0.34,0.332,0.37,0.325,3.09%
2022년 03월 06일,0.3298,0.3298,0.3298,0.3298,-1.55%
2022년 03월 04일,0.335,0.375,0.375,0.327,-8.22%
2022년 03월 03일,0.365,0.345,0.386,0.335,8.96%
2022년 03월 02일,0.335,0.355,0.375,0.332,0.90%
2022년 03월 01일,0.332,0.408,0.408,0.32,3.11%
2022년 02월 28일,0.322,0.343,0.368,0.315,-3.85%
2022년 02월 27일,0.3349,0.3323,0.3349,0.3323,-3.76%
2022년 02월 25일,0.348,0.34,0.363,0.327,8.07%
2022년 02월 24일,0.322,0.391,0.398,0.307,-9.30%
2022년 02월 23일,0.355,0.386,0.411,0.355,0.00%
2022년 02월 22일,0.355,0.36,0.37,0.345,2.90%
2022년 02월 21일,0.345,0.3602,0.3602,0.345,-3.63%
2022년 02월 18일,0.358,0.37,0.411,0.345,-1.92%
2022년 02월 17일,0.365,0.421,0.439,0.36,-4.70%
2022년 02월 16일,0.383,0.439,0.439,0.381,-7.93%
2022년 02월 15일,0.416,0.457,0.467,0.414,6.39%
2022년 02월 14일,0.391,0.373,0.439,0.373,4.83%
2022년 02월 11일,0.373,0.449,0.469,0.353,-8.80%
2022년 02월 10일,0.409,0.284,0.434,0.282,46.59%
2022년 02월 09일,0.279,0.292,0.292,0.279,-1.76%
2022년 02월 08일,0.284,0.292,0.292,0.276,27.35%
2022년 02월 07일,0.223,0.238,0.254,0.218,-5.47%
2022년 02월 06일,0.2359,0.2359,0.2359,0.2359,-0.88%
2022년 02월 04일,0.238,0.208,0.246,0.208,16.10%
2022년 02월 03일,0.205,0.208,0.216,0.198,6.22%
2022년 02월 02일,0.193,0.208,0.213,0.19,-10.65%
2022년 02월 01일,0.216,0.246,0.251,0.208,16.76%
2022년 01월 31일,0.185,0.2,0.211,0.183,-6.47%
2022년 01월 30일,0.1978,0.1953,0.1978,0.1953,4.11%
2022년 01월 28일,0.19,0.218,0.223,0.188,-7.32%
2022년 01월 27일,0.205,0.236,0.236,0.195,2.50%
2022년 01월 26일,0.2,0.205,0.213,0.185,3.63%
2022년 01월 25일,0.193,0.205,0.205,0.193,13.53%
2022년 01월 24일,0.17,0.175,0.205,0.167,-4.23%
2022년 01월 23일,0.1775,0.1724,0.1775,0.1724,4.41%
2022년 01월 21일,0.17,0.183,0.211,0.167,-5.56%
2022년 01월 20일,0.18,0.172,0.203,0.17,4.65%
2022년 01월 19일,0.172,0.193,0.193,0.172,21.13%
2022년 01월 18일,0.142,0.142,0.17,0.132,1.79%
2022년 01월 17일,0.1395,0.1395,0.1395,0.1395,8.14%
2022년 01월 14일,0.129,0.129,0.15,0.122,5.74%
2022년 01월 13일,0.122,0.132,0.14,0.117,0.00%
2022년 01월 12일,0.122,0.14,0.14,0.122,-3.94%
2022년 01월 11일,0.127,0.122,0.134,0.119,28.28%
2022년 01월 10일,0.099,0.109,0.112,0.096,2.80%
2022년 01월 09일,0.0963,0.0963,0.0963,0.0963,0.31%
2022년 01월 07일,0.096,0.099,0.122,0.094,-4.95%
2022년 01월 06일,0.101,0.094,0.117,0.091,10.99%
2022년 01월 05일,0.091,0.089,0.101,0.086,5.81%
2022년 01월 04일,0.086,0.091,0.675,0.086,36.51%
2022년 01월 03일,0.063,0.056,0.076,0.048,12.90%
2022년 01월 02일,0.0558,0.0558,0.0558,0.0558,5.28%
2021년 12월 31일,0.053,0.051,0.068,0.051,15.22%
2021년 12월 30일,0.046,0.061,0.089,0.043,-9.80%
2021년 12월 29일,0.051,0.091,0.091,0.046,-16.39%
2021년 12월 28일,0.061,0.091,0.091,0.061,8.93%
2021년 12월 27일,0.056,0.084,0.084,0.053,-26.41%
2021년 12월 26일,0.0761,0.0761,0.0761,0.0761,7.18%
2021년 12월 23일,0.071,0.076,0.091,0.068,0.00%
2021년 12월 22일,0.071,0.089,0.089,0.066,0.00%
2021년 12월 21일,0.071,0.091,0.091,0.071,-6.58%
2021년 12월 20일,0.076,0.056,0.066,0.043,49.90%
2021년 12월 19일,0.0507,0.0507,0.0507,0.0507,-0.59%
2021년 12월 17일,0.051,0.056,0.081,0.046,10.87%
2021년 12월 16일,0.046,0.056,0.066,0.043,-9.80%
2021년 12월 15일,0.051,0.061,0.066,0.048,-12.07%
2021년 12월 14일,0.058,0.066,0.066,0.056,3.57%
2021년 12월 13일,0.056,0.063,0.073,0.053,-7.89%
2021년 12월 12일,0.0608,0.0608,0.0608,0.0608,-3.49%
2021년 12월 10일,0.063,0.063,0.071,0.056,0.00%
2021년 12월 09일,0.063,0.068,0.084,0.058,-4.55%
2021년 12월 08일,0.066,0.068,0.076,0.061,4.76%
2021년 12월 07일,0.063,0.063,0.071,0.056,18.87%
2021년 12월 06일,0.053,0.061,0.066,0.051,-5.02%
2021년 12월 05일,0.0558,0.0482,0.0558,0.0482,4.89%
2021년 12월 03일,0.0532,0.058,0.071,0.048,0.38%
2021년 12월 02일,0.053,0.063,0.071,0.046,-5.36%
2021년 12월 01일,0.056,0.058,0.058,0.051,5.66%
