날짜,종가,오픈,고가,저가,변동 %
2022년 02월 11일,1.4875,1.581,1.631,1.467,-7.56%
2022년 02월 10일,1.6092,1.364,1.64,1.339,17.77%
2022년 02월 09일,1.3664,1.344,1.372,1.316,1.55%
2022년 02월 08일,1.3455,1.298,1.347,1.298,3.95%
2022년 02월 07일,1.2944,1.322,1.33,1.288,-2.09%
2022년 02월 06일,1.322,1.328,1.328,1.322,0.46%
2022년 02월 04일,1.316,1.206,1.328,1.203,9.49%
2022년 02월 03일,1.2019,1.135,1.214,1.132,4.56%
2022년 02월 02일,1.1495,1.167,1.178,1.138,-1.68%
2022년 02월 01일,1.1691,1.185,1.211,1.137,-1.31%
2022년 01월 31일,1.1846,1.198,1.217,1.159,-1.29%
2022년 01월 30일,1.2001,1.1961,1.2001,1.1961,2.37%
2022년 01월 28일,1.1723,1.19,1.228,1.158,-1.34%
2022년 01월 27일,1.1882,1.164,1.208,1.156,2.75%
2022년 01월 26일,1.1564,1.027,1.164,1.012,12.57%
2022년 01월 25일,1.0273,1.01,1.039,0.986,5.80%
2022년 01월 24일,0.971,1.024,1.04,0.938,-5.36%
2022년 01월 23일,1.026,1.026,1.026,1.026,1.00%
2022년 01월 21일,1.0158,1.023,1.036,0.989,-1.08%
2022년 01월 20일,1.0269,1.063,1.07,1.023,-2.29%
2022년 01월 19일,1.051,1.046,1.076,1.002,0.43%
2022년 01월 18일,1.0465,1.003,1.058,1.002,4.30%
2022년 01월 17일,1.0034,1.0075,1.0075,1.0034,3.56%
2022년 01월 14일,0.9689,0.911,0.973,0.904,8.27%
2022년 01월 13일,0.8949,0.921,0.929,0.889,-3.03%
2022년 01월 12일,0.9229,0.891,0.925,0.881,3.87%
2022년 01월 11일,0.8885,0.904,0.945,0.885,-1.10%
2022년 01월 10일,0.8984,0.872,0.91,0.864,3.25%
2022년 01월 09일,0.8701,0.8701,0.8701,0.8701,0.00%
2022년 01월 07일,0.8701,0.866,0.908,0.86,-0.40%
2022년 01월 06일,0.8736,0.826,0.886,0.82,5.30%
2022년 01월 05일,0.8296,0.764,0.834,0.756,9.17%
2022년 01월 04일,0.7599,0.77,0.8,0.752,-2.05%
2022년 01월 03일,0.7758,0.766,0.804,0.758,5.68%
2022년 01월 02일,0.7341,0.7341,0.7341,0.7341,0.00%
2021년 12월 31일,0.7341,0.73,0.744,0.72,0.52%
2021년 12월 30일,0.7303,0.752,0.754,0.726,-2.89%
2021년 12월 29일,0.752,0.748,0.764,0.736,-0.52%
2021년 12월 28일,0.7559,0.758,0.758,0.74,7.25%
2021년 12월 27일,0.7048,0.69,0.721,0.69,2.12%
2021년 12월 26일,0.6902,0.6902,0.6902,0.6902,-0.17%
2021년 12월 23일,0.6914,0.669,0.693,0.663,4.02%
2021년 12월 22일,0.6647,0.654,0.683,0.654,-0.57%
2021년 12월 21일,0.6685,0.632,0.679,0.624,5.14%
2021년 12월 20일,0.6358,0.623,0.638,0.587,1.99%
2021년 12월 19일,0.6234,0.6255,0.6255,0.6234,-2.53%
2021년 12월 17일,0.6396,0.629,0.66,0.603,3.68%
2021년 12월 16일,0.6169,0.675,0.685,0.615,-7.25%
2021년 12월 15일,0.6651,0.659,0.722,0.649,1.26%
2021년 12월 14일,0.6568,0.645,0.667,0.639,3.86%
2021년 12월 13일,0.6324,0.666,0.677,0.632,-5.10%
2021년 12월 12일,0.6664,0.6584,0.6664,0.6584,1.83%
2021년 12월 10일,0.6544,0.698,0.731,0.636,-5.39%
2021년 12월 09일,0.6917,0.683,0.697,0.67,0.90%
2021년 12월 08일,0.6855,0.689,0.714,0.668,-1.11%
2021년 12월 07일,0.6932,0.627,0.695,0.625,9.82%
2021년 12월 06일,0.6312,0.613,0.637,0.603,2.95%
2021년 12월 05일,0.6131,0.6111,0.6131,0.6111,3.35%
2021년 12월 03일,0.5932,0.607,0.655,0.585,-3.48%
2021년 12월 02일,0.6146,0.567,0.63,0.565,11.48%
2021년 12월 01일,0.5513,0.599,0.622,0.547,-2.77%
