날짜,종가,오픈,고가,저가,변동 %
2022년 01월 12일,2.428,2.46,2.467,2.428,-2.29%
2022년 01월 11일,2.485,2.462,2.495,2.457,0.04%
2022년 01월 10일,2.484,2.472,2.506,2.461,1.10%
2022년 01월 09일,2.457,2.457,2.457,2.457,0.00%
2022년 01월 08일,2.457,2.457,2.457,2.457,-0.04%
2022년 01월 07일,2.458,2.453,2.488,2.43,-0.93%
2022년 01월 06일,2.481,2.404,2.481,2.401,4.46%
2022년 01월 05일,2.375,2.331,2.394,2.331,2.64%
2022년 01월 04일,2.314,2.358,2.372,2.312,-0.39%
2022년 01월 03일,2.323,2.282,2.329,2.274,6.80%
2022년 01월 02일,2.175,2.255,2.257,2.175,-3.55%
2022년 01월 01일,2.255,2.255,2.255,2.255,0.00%
2021년 12월 31일,2.255,2.255,2.256,2.255,0.31%
2021년 12월 30일,2.248,2.242,2.248,2.233,3.12%
2021년 12월 29일,2.18,2.19,2.2,2.176,-0.73%
2021년 12월 28일,2.196,2.213,2.221,2.196,-0.72%
2021년 12월 27일,2.212,2.204,2.219,2.196,0.45%
2021년 12월 26일,2.202,2.202,2.202,2.202,0.00%
2021년 12월 25일,2.202,2.202,2.202,2.202,-0.36%
2021년 12월 24일,2.21,2.188,2.22,2.185,-0.23%
2021년 12월 23일,2.215,2.148,2.215,2.144,3.12%
2021년 12월 22일,2.148,2.11,2.149,2.11,2.53%
2021년 12월 21일,2.095,2.11,2.125,2.08,-0.62%
2021년 12월 20일,2.108,2.13,2.135,2.105,-2.04%
2021년 12월 19일,2.152,2.152,2.152,2.152,0.00%
2021년 12월 18일,2.152,2.152,2.152,2.152,-0.05%
2021년 12월 17일,2.153,2.148,2.167,2.142,0.28%
2021년 12월 16일,2.147,2.164,2.189,2.147,-0.88%
2021년 12월 15일,2.166,2.178,2.194,2.157,-0.05%
2021년 12월 14일,2.167,2.138,2.169,2.137,-0.09%
2021년 12월 13일,2.169,2.194,2.208,2.167,-1.18%
2021년 12월 12일,2.195,2.195,2.195,2.195,0.00%
2021년 12월 11일,2.195,2.195,2.195,2.195,-0.32%
2021년 12월 10일,2.202,2.168,2.203,2.161,0.64%
2021년 12월 09일,2.188,2.206,2.233,2.181,0.09%
2021년 12월 08일,2.186,2.235,2.235,2.18,-2.41%
2021년 12월 07일,2.24,2.228,2.244,2.217,1.27%
2021년 12월 06일,2.212,2.193,2.224,2.186,-1.03%
2021년 12월 05일,2.235,2.235,2.235,2.235,0.00%
2021년 12월 04일,2.235,2.235,2.235,2.235,0.09%
2021년 12월 03일,2.233,2.194,2.233,2.19,1.78%
2021년 12월 02일,2.194,2.15,2.203,2.141,0.60%
2021년 12월 01일,2.181,2.222,2.23,2.166,-1.67%
