날짜,종가,오픈,고가,저가,변동 %
2022년 03월 11일,1.997,1.99,2.022,1.96,0.18%
2022년 03월 10일,1.993,1.951,2.021,1.911,2.15%
2022년 03월 09일,1.951,1.865,1.957,1.837,6.03%
2022년 03월 08일,1.84,1.773,1.878,1.758,3.58%
2022년 03월 07일,1.777,1.683,1.806,1.668,5.57%
2022년 03월 06일,1.683,1.695,1.695,1.683,-3.13%
2022년 03월 04일,1.737,1.854,1.854,1.698,-5.60%
2022년 03월 03일,1.84,1.852,1.897,1.83,-2.02%
2022년 03월 02일,1.878,1.741,1.91,1.7,9.49%
2022년 03월 01일,1.716,1.84,1.866,1.682,-5.82%
2022년 02월 28일,1.822,1.892,1.927,1.816,-3.82%
2022년 02월 27일,1.894,1.903,1.906,1.894,-3.88%
2022년 02월 25일,1.97,1.972,2.016,1.934,0.00%
2022년 02월 24일,1.97,1.97,1.981,1.846,-1.40%
2022년 02월 23일,1.998,1.949,2,1.949,2.78%
2022년 02월 22일,1.944,1.875,1.96,1.846,3.78%
2022년 02월 21일,1.873,1.868,1.873,1.868,-2.78%
2022년 02월 18일,1.927,1.954,1.995,1.916,-2.11%
2022년 02월 17일,1.968,2.024,2.035,1.953,-3.51%
2022년 02월 16일,2.04,2.04,2.065,2.007,-0.17%
2022년 02월 15일,2.043,1.984,2.056,1.968,2.90%
2022년 02월 14일,1.986,1.967,2.026,1.903,3.53%
2022년 02월 11일,1.918,2.033,2.063,1.913,-6.13%
2022년 02월 10일,2.043,1.939,2.056,1.923,5.04%
2022년 02월 09일,1.945,1.954,1.958,1.909,-1.01%
2022년 02월 08일,1.965,1.921,1.97,1.921,2.37%
2022년 02월 07일,1.919,1.908,1.939,1.896,0.48%
2022년 02월 06일,1.91,1.918,1.918,1.91,-0.28%
2022년 02월 04일,1.916,1.834,1.936,1.809,4.34%
2022년 02월 03일,1.836,1.759,1.847,1.757,3.64%
2022년 02월 02일,1.771,1.798,1.811,1.743,-1.29%
2022년 02월 01일,1.795,1.787,1.82,1.739,0.61%
2022년 01월 31일,1.784,1.789,1.816,1.77,-0.39%
2022년 01월 30일,1.791,1.787,1.791,1.787,0.70%
2022년 01월 28일,1.778,1.808,1.854,1.771,-1.36%
2022년 01월 27일,1.803,1.851,1.862,1.782,-3.72%
2022년 01월 26일,1.873,1.778,1.88,1.765,5.44%
2022년 01월 25일,1.776,1.769,1.797,1.728,0.00%
2022년 01월 24일,1.776,1.772,1.785,1.707,0.20%
2022년 01월 23일,1.772,1.767,1.772,1.767,0.10%
2022년 01월 21일,1.77,1.791,1.801,1.733,-2.24%
2022년 01월 20일,1.811,1.863,1.87,1.804,-2.31%
2022년 01월 19일,1.854,1.873,1.902,1.822,-1.14%
2022년 01월 18일,1.875,1.807,1.881,1.807,3.67%
2022년 01월 17일,1.809,1.813,1.813,1.809,0.89%
2022년 01월 14일,1.793,1.72,1.795,1.706,5.43%
2022년 01월 13일,1.701,1.748,1.76,1.694,-2.92%
2022년 01월 12일,1.752,1.743,1.753,1.711,0.31%
2022년 01월 11일,1.746,1.769,1.785,1.737,-0.50%
2022년 01월 10일,1.755,1.767,1.808,1.75,-0.59%
2022년 01월 09일,1.765,1.765,1.765,1.765,0.00%
2022년 01월 07일,1.765,1.725,1.801,1.711,2.16%
2022년 01월 06일,1.728,1.7,1.753,1.686,1.66%
2022년 01월 05일,1.7,1.656,1.712,1.64,3.09%
2022년 01월 04일,1.649,1.617,1.686,1.614,0.75%
2022년 01월 03일,1.637,1.531,1.642,1.529,8.26%
2022년 01월 02일,1.512,1.512,1.512,1.512,0.00%
2021년 12월 31일,1.512,1.512,1.526,1.491,0.35%
2021년 12월 30일,1.507,1.551,1.553,1.501,-3.21%
2021년 12월 29일,1.556,1.477,1.56,1.47,4.87%
2021년 12월 28일,1.484,1.479,1.491,1.455,0.47%
2021년 12월 27일,1.477,1.486,1.498,1.476,-0.57%
2021년 12월 26일,1.486,1.489,1.489,1.486,-0.46%
2021년 12월 23일,1.493,1.457,1.501,1.452,2.71%
2021년 12월 22일,1.453,1.45,1.486,1.448,-0.93%
2021년 12월 21일,1.467,1.421,1.498,1.414,2.75%
2021년 12월 20일,1.428,1.375,1.429,1.353,3.70%
2021년 12월 19일,1.377,1.38,1.38,1.375,-2.17%
2021년 12월 17일,1.407,1.424,1.434,1.372,-1.19%
2021년 12월 16일,1.424,1.462,1.482,1.412,-2.34%
2021년 12월 15일,1.458,1.443,1.484,1.424,1.19%
2021년 12월 14일,1.441,1.426,1.472,1.419,1.92%
2021년 12월 13일,1.414,1.494,1.508,1.412,-5.25%
2021년 12월 12일,1.492,1.482,1.492,1.482,0.70%
2021년 12월 10일,1.482,1.501,1.52,1.451,-1.02%
2021년 12월 09일,1.497,1.521,1.535,1.472,-2.02%
2021년 12월 08일,1.528,1.472,1.537,1.427,3.12%
2021년 12월 07일,1.482,1.429,1.487,1.427,3.45%
2021년 12월 06일,1.433,1.378,1.443,1.37,3.80%
2021년 12월 05일,1.38,1.378,1.38,1.378,1.74%
2021년 12월 03일,1.356,1.431,1.472,1.335,-6.09%
2021년 12월 02일,1.444,1.421,1.466,1.409,2.89%
2021년 12월 01일,1.404,1.477,1.506,1.402,-3.61%
