,date,open,high,low,close,close_change,volume
151,2022-05-03,141000,142000,137000,137500,-2500,205450
152,2022-05-04,137000,138500,131000,133500,-4000,390969
153,2022-05-06,132500,136500,131500,133500,0,237157
154,2022-05-09,133500,134500,129500,131500,-2000,194911
155,2022-05-10,129500,131500,127000,130500,-1000,217957
156,2022-05-11,130500,133000,123500,125000,-5500,460960
157,2022-05-12,124500,130000,123000,124000,-1000,369250
158,2022-05-13,126500,129000,119000,125500,1500,573256
159,2022-05-16,126000,130000,123500,127000,1500,240162
160,2022-05-17,121000,124500,119500,121500,-5500,2331766
161,2022-05-18,123000,124000,115500,117000,-4500,569257
162,2022-05-19,114000,115500,111000,114500,-2500,557796
163,2022-05-20,115000,116000,113500,115000,500,262589
164,2022-05-23,115500,118000,113000,115000,0,253045
165,2022-05-24,115500,119000,112500,113000,-2000,418146
166,2022-05-25,114000,115500,112000,113000,0,254408
167,2022-05-26,114000,121000,114000,119000,6000,539957
168,2022-05-27,121500,124500,120000,123000,4000,469362
169,2022-05-30,123000,125000,119000,119500,-3500,356189
170,2022-05-31,120000,121500,119000,119000,-500,1869378
171,2022-06-02,120500,122500,118000,119500,500,261139
172,2022-06-03,120500,127000,119500,126500,7000,368158
173,2022-06-07,126500,131500,126500,129500,3000,281517
174,2022-06-08,131500,133500,127500,132500,3000,332607
175,2022-06-09,132500,137500,131500,134500,2000,584541
176,2022-06-10,132500,138500,132000,138000,3500,262327
177,2022-06-13,135000,136500,131000,133000,-5000,274979
178,2022-06-14,131000,132500,126000,129500,-3500,335811
179,2022-06-15,128000,129500,124000,125000,-4500,158310
180,2022-06-16,129000,132000,127000,129000,4000,246353
181,2022-06-17,126500,136500,126000,136500,7500,291470
182,2022-06-20,136500,136500,131500,133500,-3000,175783
183,2022-06-21,134500,141500,134000,141500,8000,318333
184,2022-06-22,142000,143500,137000,138500,-3000,259601
185,2022-06-23,140000,142500,130000,130500,-8000,318376
186,2022-06-24,132000,133000,127000,132000,1500,169665
187,2022-06-27,133000,140000,132500,139500,7500,186286
188,2022-06-28,139500,141500,137000,140500,1000,137730
189,2022-06-29,138500,144000,138500,141000,500,158290
190,2022-06-30,142000,148000,139500,143000,2000,290521
191,2022-07-01,145000,146000,137500,140000,-3000,207510
192,2022-07-04,140000,140000,132000,135500,-4500,246418
193,2022-07-05,136500,137000,129000,135000,-500,281883
194,2022-07-06,132000,132500,120000,121000,-14000,572577
195,2022-07-07,122500,125000,116500,123500,2500,383485
196,2022-07-08,125000,128000,124000,125500,2000,215032
197,2022-07-11,126000,126500,120000,120500,-5000,251207
198,2022-07-12,119500,122000,117500,121000,500,194835
199,2022-07-13,119500,120000,113000,115500,-5500,332542
200,2022-07-14,114500,117000,112500,115000,-500,174931
201,2022-07-15,115000,116000,112500,114000,-1000,119434
202,2022-07-18,115500,126000,115500,124000,10000,408691
203,2022-07-19,123000,127000,122500,123000,-1000,163588
204,2022-07-20,126000,126500,121000,122000,-1000,143237
205,2022-07-21,122000,124000,121500,123500,1500,93775
206,2022-07-22,123500,124500,122000,123000,-500,87749
207,2022-07-25,122500,125000,122000,124500,1500,115129
208,2022-07-26,125000,125500,122500,123500,-1000,97128
209,2022-07-27,123000,123000,119000,122000,-1500,184824
210,2022-07-28,123500,124500,121500,122000,0,150851
211,2022-07-29,123500,128000,122500,125000,3000,293913
212,2022-08-01,126000,135500,125000,135000,10000,426328
213,2022-08-02,134000,137500,132500,136000,1000,304427
214,2022-08-03,136000,138500,134000,137000,1000,198443
215,2022-08-04,137500,138000,130500,131000,-6000,299739
216,2022-08-05,130500,132500,128500,131500,500,185499
217,2022-08-08,130000,134500,129500,133500,2000,150933
218,2022-08-09,134000,136000,133000,134000,500,132516
219,2022-08-10,134000,142000,133500,139500,5500,473470
220,2022-08-11,141500,141500,138000,140500,1000,243003
221,2022-08-12,141000,144500,136000,137000,-3500,243673
222,2022-08-16,138000,138500,136000,138000,1000,117876
223,2022-08-17,139000,141500,134500,135500,-2500,170089
224,2022-08-18,134000,136000,133000,134500,-1000,104554
225,2022-08-19,134500,140500,134500,138500,4000,221576
226,2022-08-22,137500,140000,136500,138000,-500,105602
227,2022-08-23,138500,146000,137000,144500,6500,386557
228,2022-08-24,144500,148000,143500,147000,2500,190989
229,2022-08-25,148000,148000,140000,145000,-2000,259194
230,2022-08-26,143500,151000,142500,149500,4500,325508
231,2022-08-29,144500,150000,144000,145500,-4000,282152
232,2022-08-30,145500,147500,140500,141000,-4500,219055
233,2022-08-31,141000,143500,136000,143500,2500,303330
234,2022-09-01,141000,141000,133500,134000,-9500,289689
235,2022-09-02,134500,136000,131000,133500,-500,226848
236,2022-09-05,134000,139000,134000,137000,3500,221401
237,2022-09-06,137000,139500,134500,135000,-2000,158319
238,2022-09-07,133500,133500,127500,128500,-6500,276763
239,2022-09-08,130000,130000,124500,127000,-1500,274985
240,2022-09-13,130000,130000,125500,127500,500,204311
241,2022-09-14,124000,127500,123500,125000,-2500,190555
242,2022-09-15,125000,128500,124000,125000,0,185523
243,2022-09-16,123500,124000,119000,120000,-5000,410038
244,2022-09-19,120000,125000,114000,116000,-4000,674989
245,2022-09-20,118500,121000,118000,121000,5000,334804
246,2022-09-21,120000,124500,119000,121000,0,329303
247,2022-09-22,119000,127500,119000,125500,4500,529827
248,2022-09-23,126000,128000,124000,124000,-1500,246679
249,2022-09-26,122000,123000,115000,117000,-7000,436692
250,2022-09-27,117000,121000,114000,120000,3000,275953
251,2022-09-28,119000,123500,114000,114500,-5500,281516
252,2022-09-29,117500,118500,115500,116500,2000,186286
253,2022-09-30,114500,118000,112500,115000,-1500,277750
254,2022-10-04,117500,120000,115000,119500,4500,196736
255,2022-10-05,121500,123000,117500,119500,0,228701
256,2022-10-06,121000,124500,120500,124500,5000,258139
257,2022-10-07,123500,125500,121000,122000,-2500,189383
258,2022-10-11,118500,120000,115500,116500,-5500,226389
259,2022-10-12,116500,121500,115500,121500,5000,191384
260,2022-10-13,122000,122000,115500,115500,-6000,218544
261,2022-10-14,118500,119000,116000,117000,1500,219175
262,2022-10-17,114500,117000,111500,117000,0,209122
263,2022-10-18,118500,119500,113000,114500,-2500,302172
264,2022-10-19,115000,116000,111500,111500,-3000,251686
265,2022-10-20,111500,113500,108000,108500,-3000,372830
266,2022-10-21,107500,108000,103000,106000,-2500,456982
267,2022-10-24,107500,108500,105000,106000,0,238598
268,2022-10-25,105500,106500,101500,104000,-2000,385591
269,2022-10-26,104000,106500,103500,105500,1500,242120
270,2022-10-27,106000,108500,103500,107500,2000,260349
271,2022-10-28,107000,111000,106000,109500,2000,260069
272,2022-10-31,110500,110500,107500,109000,-500,170022
273,2022-11-01,109000,111500,108000,110000,1000,145687
274,2022-11-02,110000,113500,107500,112000,2000,213653
275,2022-11-03,109000,113000,109000,111000,-1000,151422
276,2022-11-04,111000,117000,110500,116500,5500,302475
277,2022-11-07,116500,117000,113500,114000,-2500,165950
278,2022-11-08,115000,116000,113500,115000,1000,128187
279,2022-11-09,115500,116000,112000,113000,-2000,192786
280,2022-11-10,111000,112500,109500,110000,-3000,259983
281,2022-11-11,113500,116000,112500,115500,5500,380766
