,date,open,high,low,close,close_change,volume
93,2020-05-15,228500,231500,216000,221500,-3500,1524083
94,2020-05-18,221500,225500,218500,221000,-500,744533
95,2020-05-19,221500,222500,214000,220000,-1000,1308903
96,2020-05-20,223500,234500,222000,231500,11500,1773960
97,2020-05-21,237500,240000,234500,237500,6000,1408737
98,2020-05-22,237500,248500,235000,247000,9500,1887064
99,2020-05-25,251000,270000,249000,268000,21000,2653776
100,2020-05-26,273500,279500,261000,270000,2000,3274293
101,2020-05-27,262000,267000,257000,260500,-9500,2015974
102,2020-05-28,257500,270000,252500,267000,6500,2495048
103,2020-05-29,263500,267500,257500,263500,-3500,1645822
104,2020-06-01,263500,266000,259500,264000,500,1083698
105,2020-06-02,262500,263000,257000,259500,-4500,978846
106,2020-06-03,259500,261500,247500,249500,-10000,2302391
107,2020-06-04,247500,257000,247000,254000,4500,1228950
108,2020-06-05,253000,253500,247500,251000,-3000,1007264
109,2020-06-08,252500,258000,248500,256500,5500,1417078
110,2020-06-09,255500,259500,252500,254500,-2000,834862
111,2020-06-10,256500,263500,256500,262000,7500,1575452
112,2020-06-11,264000,268000,261000,265000,3000,1724551
113,2020-06-12,256500,268000,256000,266000,1000,1688975
114,2020-06-15,266000,271000,250000,252500,-13500,1549230
115,2020-06-16,260500,263000,258000,263000,10500,915456
116,2020-06-17,261500,268000,258000,263000,0,1162204
117,2020-06-18,264500,267000,260500,263500,500,981144
118,2020-06-19,267500,269500,262000,263500,0,920126
119,2020-06-22,263500,276000,260500,274000,10500,2008656
120,2020-06-23,279000,289000,277000,281500,7500,2166267
121,2020-06-24,281500,284000,275000,282500,1000,1081233
122,2020-06-25,278500,282000,273500,274500,-8000,900258
123,2020-06-26,279500,280000,268000,274500,0,812726
124,2020-06-29,269000,273500,266000,267500,-7000,778818
125,2020-06-30,272000,273000,267500,267500,0,624089
126,2020-07-01,271500,275000,267500,269500,2000,578023
127,2020-07-02,273500,285500,273000,285500,16000,1378545
128,2020-07-03,289500,297000,284000,294000,8500,1604493
129,2020-07-06,298000,307500,297000,300500,6500,1344851
130,2020-07-07,306500,318000,304000,310500,10000,1552820
131,2020-07-08,312000,328000,305000,328000,17500,1869663
132,2020-07-09,335000,355500,332000,355500,27500,2463503
133,2020-07-10,351000,368000,345500,355500,0,2566935
134,2020-07-13,359000,361000,345000,352000,-3500,1391744
135,2020-07-14,340500,346500,340000,343000,-9000,1212519
136,2020-07-15,344000,349500,332000,337500,-5500,1487417
137,2020-07-16,332000,335500,319000,322000,-15500,1941508
138,2020-07-17,319000,327000,314000,325000,3000,1268587
139,2020-07-20,325000,325000,310000,310000,-15000,1534422
140,2020-07-21,323500,326000,311500,316000,6000,1676630
141,2020-07-22,310500,321500,306000,318000,2000,1159298
142,2020-07-23,316500,329500,315000,329500,11500,1260435
143,2020-07-24,325000,333000,322000,324500,-5000,907643
144,2020-07-27,321000,329500,320500,326500,2000,603322
145,2020-07-28,332000,336000,328500,329500,3000,873063
146,2020-07-29,329000,333000,325000,331500,2000,618435
147,2020-07-30,336000,337000,331500,332000,500,615872
148,2020-07-31,336000,344000,335500,343500,11500,1078837
149,2020-08-03,347500,366000,347000,366000,22500,1636803
150,2020-08-04,378500,384000,361000,370000,4000,1714642
151,2020-08-05,366000,371000,362500,370500,500,1075879
152,2020-08-06,358500,372500,357500,364000,-6500,1848898
153,2020-08-07,368000,370000,350500,353000,-11000,1899111
154,2020-08-10,346000,358500,341500,356000,3000,1086391
155,2020-08-11,351500,357000,347500,352500,-3500,750285
156,2020-08-12,348500,356500,347500,354000,1500,729434
157,2020-08-13,359000,365000,356500,360500,6500,1117859
158,2020-08-14,361000,366000,358000,362500,2000,825802
159,2020-08-18,371500,389500,367500,378000,15500,3032037
160,2020-08-19,384500,385000,372000,376500,-1500,1359266
161,2020-08-20,376000,383000,359500,364500,-12000,1686740
162,2020-08-21,370000,373500,362000,370000,5500,1021460
163,2020-08-24,374500,382500,367500,380000,10000,969648
164,2020-08-25,384500,385000,377000,381000,1000,887733
165,2020-08-26,380500,394000,378000,392000,11000,1351029
166,2020-08-27,396500,413000,396000,410500,18500,1981840
167,2020-08-28,413500,416000,400000,405500,-5000,1506996
168,2020-08-31,410500,420500,401000,407000,1500,1629751
169,2020-09-01,413500,416000,400000,401500,-5500,1100736
170,2020-09-02,405500,412500,401500,412000,10500,921655
171,2020-09-03,415500,416000,404000,410000,-2000,739215
172,2020-09-04,390000,404500,389500,402000,-8000,1168529
173,2020-09-07,401500,401500,391000,392000,-10000,928939
174,2020-09-08,393500,398500,380500,390000,-2000,1020539
175,2020-09-09,381500,388000,379000,384000,-6000,935573
176,2020-09-10,392000,396500,384000,385500,1500,936708
177,2020-09-11,382000,384000,375500,379000,-6500,792840
178,2020-09-14,377000,378000,369000,373500,-5500,830231
179,2020-09-15,371000,385000,369000,381000,7500,860038
180,2020-09-16,384000,384500,377000,377000,-4000,485743
