,date,open,high,low,close,close_change,volume
47,2020-03-06,193000,194000,192000,192000,-5000,299607
48,2020-03-09,186000,186000,180000,180500,-11500,551277
49,2020-03-10,178000,181500,176000,180500,0,497558
50,2020-03-11,180500,186000,178000,179500,-1000,483620
51,2020-03-12,180500,181500,172000,178000,-1500,1019659
52,2020-03-13,164500,174500,162000,171000,-7000,784135
53,2020-03-16,172500,176500,162000,162000,-9000,506250
54,2020-03-17,152500,163500,152500,155500,-6500,547216
55,2020-03-18,156500,159500,147500,147500,-8000,559707
56,2020-03-19,149500,152500,138500,139500,-8000,645668
57,2020-03-20,140500,145500,138500,144500,5000,636918
58,2020-03-23,137500,139500,133000,138000,-6500,457989
59,2020-03-24,140500,146500,138000,145500,7500,476227
60,2020-03-25,152000,161000,150000,161000,15500,581137
61,2020-03-26,158000,162000,155500,155500,-5500,509091
62,2020-03-27,161500,166500,157500,163500,8000,567062
63,2020-03-30,156500,161500,155500,160000,-3500,501851
64,2020-03-31,161500,163500,157500,161000,1000,474039
65,2020-04-01,159000,161000,154500,155000,-6000,396564
66,2020-04-02,155000,157500,151500,156000,1000,478869
67,2020-04-03,154500,157000,154000,157000,1000,395194
68,2020-04-06,156500,162500,156000,161000,4000,362428
69,2020-04-07,164500,165000,158500,161500,500,643379
70,2020-04-08,162000,164000,160500,161000,-500,440329
71,2020-04-09,163000,165500,161500,164500,3500,650779
72,2020-04-10,165000,179000,164500,178000,13500,977632
73,2020-04-13,191000,191500,181000,181000,3000,994277
74,2020-04-14,183000,189500,181500,183000,2000,602681
75,2020-04-16,178500,179500,175000,176000,-7000,653004
76,2020-04-17,177500,180000,176000,176000,0,550330
77,2020-04-20,176000,178000,174500,175500,-500,390955
78,2020-04-21,173500,175000,168500,171000,-4500,560075
79,2020-04-22,168000,170000,164500,170000,-1000,464539
80,2020-04-23,171000,174000,170000,171500,1500,339869
81,2020-04-24,169500,174500,169000,173000,1500,387885
82,2020-04-27,175000,175000,171000,174000,1000,421809
83,2020-04-28,175500,179000,175500,177500,3500,419709
84,2020-04-29,178500,186000,178000,184500,7000,614504
85,2020-05-04,179500,180500,176500,178500,-6000,635253
86,2020-05-06,180500,181500,178000,180000,1500,369838
87,2020-05-07,178500,181500,178000,179500,-500,288705
88,2020-05-08,180000,182000,180000,180000,500,265401
89,2020-05-11,180000,181000,175500,176000,-4000,323982
90,2020-05-12,174000,175500,170000,170000,-6000,552954
91,2020-05-13,168000,173000,166500,173000,3000,347924
92,2020-05-14,170000,171000,167000,168000,-5000,469714
93,2020-05-15,169500,169500,166500,168000,0,311479
94,2020-05-18,170000,170500,167000,169000,1000,332808
95,2020-05-19,175500,180000,175000,178000,9000,724613
96,2020-05-20,176500,181000,174500,174500,-3500,383809
97,2020-05-21,176000,178500,175000,177000,2500,362478
98,2020-05-22,178000,178000,170000,172000,-5000,441297
99,2020-05-25,172500,173000,171000,172000,0,245045
100,2020-05-26,171500,176500,171000,176000,4000,460196
101,2020-05-27,177000,183000,176500,182500,6500,803853
102,2020-05-28,186000,188500,182500,184500,2000,898715
103,2020-05-29,183500,185000,178500,181000,-3500,842257
104,2020-06-01,181500,184000,181000,182500,1500,308421
105,2020-06-02,187000,191000,185500,189000,6500,552966
106,2020-06-03,192000,207000,191500,202500,13500,1148869
107,2020-06-04,206500,209000,199000,203000,500,666183
108,2020-06-05,199000,202000,197500,200500,-2500,404474
109,2020-06-08,204500,205500,199000,202500,2000,390712
110,2020-06-09,201500,202000,193500,198500,-4000,662411
111,2020-06-10,195500,198000,194000,198000,-500,357615
112,2020-06-11,195000,197000,190000,193500,-4500,637625
113,2020-06-12,185500,188000,184000,186500,-7000,473608
114,2020-06-15,182500,184500,175000,175000,-11500,467754
115,2020-06-16,178000,187500,178000,187500,12500,409758
116,2020-06-17,187500,190000,183000,187000,-500,360457
117,2020-06-18,185000,188500,183000,186500,-500,205015
118,2020-06-19,187500,190500,185000,190500,4000,363079
119,2020-06-22,187500,188500,186000,186000,-4500,212866
120,2020-06-23,186500,187500,181500,183000,-3000,277109
121,2020-06-24,183000,188000,183000,185000,2000,284129
122,2020-06-25,182000,183000,178500,180000,-5000,321621
123,2020-06-26,181500,183500,180000,183000,3000,290441
124,2020-06-29,178000,179000,175500,175500,-7500,371334
125,2020-06-30,178000,179000,174000,174000,-1500,415286
126,2020-07-01,176500,183500,176000,178500,4500,473226
127,2020-07-02,180000,181500,178500,181000,2500,252859
128,2020-07-03,181000,183500,180000,181500,500,189200
129,2020-07-06,184000,184000,179500,183000,1500,190812
130,2020-07-07,185500,189000,184000,185000,2000,358072
131,2020-07-08,185500,191500,184000,190500,5500,537845
132,2020-07-09,192000,192000,187000,188500,-2000,375630
133,2020-07-10,186500,187500,180500,182000,-6500,327123
134,2020-07-13,184000,188000,182000,187000,5000,261632
135,2020-07-14,186500,186500,183000,184500,-2500,188702
136,2020-07-15,188000,193500,185000,186500,2000,471306
137,2020-07-16,186500,188000,184500,186500,0,267345
138,2020-07-17,189000,191500,186000,186500,0,222271
139,2020-07-20,185000,189500,184500,187500,1000,198370
140,2020-07-21,187000,193000,186000,191500,4000,461232
141,2020-07-22,192500,202000,191500,197500,6000,810125
142,2020-07-23,198500,199000,192500,195500,-2000,444433
143,2020-07-24,194000,199500,191500,194000,-1500,327478
144,2020-07-27,193500,199000,193500,196000,2000,243664
145,2020-07-28,197000,202000,197000,202000,6000,466607
146,2020-07-29,199500,203000,198500,201500,-500,333000
147,2020-07-30,201000,201000,197500,199000,-2500,361731
148,2020-07-31,198000,198500,193000,193500,-5500,379886
149,2020-08-03,193000,195000,190000,192000,-1500,240285
150,2020-08-04,192000,197000,192000,194000,2000,226337
151,2020-08-05,194000,195000,192500,194000,0,196344
