,date,open,high,low,close,close_change,volume
138,2020-07-17,24500,24700,24250,24300,-150,576148
139,2020-07-20,24350,24500,24050,24150,-150,758518
140,2020-07-21,24200,24350,24100,24100,-50,833055
141,2020-07-22,24150,24250,24050,24100,0,735029
142,2020-07-23,24150,24150,23800,23850,-250,983940
143,2020-07-24,23700,23850,23600,23650,-200,708548
144,2020-07-27,23550,23750,23550,23600,-50,663557
145,2020-07-28,23800,23950,23650,23700,100,894018
146,2020-07-29,23600,24000,23500,23850,150,820778
147,2020-07-30,23900,24000,23750,23800,-50,797423
148,2020-07-31,23800,24000,23700,23800,0,707167
149,2020-08-03,24000,24000,23550,23600,-200,766693
150,2020-08-04,23600,23900,23500,23750,150,773606
151,2020-08-05,23750,23950,23600,23700,-50,989341
152,2020-08-06,23700,23850,23600,23800,100,1264301
153,2020-08-07,23800,23950,23650,23850,50,1180577
154,2020-08-10,23950,24600,23900,24450,600,2047371
155,2020-08-11,24750,24850,24550,24750,300,2002443
156,2020-08-12,24800,25850,24500,25600,850,3065716
157,2020-08-13,25750,25900,25350,25500,-100,1893949
158,2020-08-14,25550,25800,25250,25350,-150,1163616
159,2020-08-18,25250,25300,24300,24400,-950,2040007
160,2020-08-19,24450,24750,24400,24400,0,794141
161,2020-08-20,24300,24350,23650,23650,-750,1676593
162,2020-08-21,23650,24200,23650,23900,250,1263928
163,2020-08-24,23950,24050,23700,23900,0,934061
164,2020-08-25,24050,24450,23900,24300,400,1018821
165,2020-08-26,24450,24450,23900,24000,-300,1039045
166,2020-08-27,24000,24050,23650,23800,-200,1153732
167,2020-08-28,23800,23850,23650,23750,-50,912553
168,2020-08-31,23900,24100,23750,23900,150,1181214
169,2020-09-01,23800,23950,23750,23800,-100,898243
170,2020-09-02,23800,23900,23650,23850,50,1052376
171,2020-09-03,23900,23900,23750,23800,-50,650207
172,2020-09-04,23450,23550,23400,23500,-300,969573
173,2020-09-07,23450,23600,23350,23550,50,761462
174,2020-09-08,23600,23850,23550,23650,100,838018
175,2020-09-09,23450,23550,23350,23350,-300,951491
176,2020-09-10,23500,23550,23250,23250,-100,1422767
177,2020-09-11,23300,23450,23250,23250,0,1011617
178,2020-09-14,23350,23700,23300,23650,400,883118
179,2020-09-15,23750,23750,23500,23550,-100,748321
180,2020-09-16,23550,23600,23400,23400,-150,766609
181,2020-09-17,23450,23500,23250,23300,-100,869267
182,2020-09-18,23250,23550,23200,23400,100,860155
183,2020-09-21,23400,23500,23250,23300,-100,628454
184,2020-09-22,23200,23200,22800,22800,-500,1396530
185,2020-09-23,22850,22950,22650,22800,0,761427
186,2020-09-24,22650,22650,22300,22400,-400,999463
187,2020-09-25,22400,22450,22250,22400,0,570306
188,2020-09-28,22450,22700,22400,22600,200,489222
189,2020-09-29,22700,22950,22600,22950,350,710100
190,2020-10-05,22900,23200,22850,23050,100,913018
191,2020-10-06,23050,23100,22900,22900,-150,653542
192,2020-10-07,22850,23000,22700,22950,50,809046
193,2020-10-08,23050,23100,22900,22950,0,1030057
194,2020-10-12,23050,23150,22950,23000,50,702583
195,2020-10-13,23000,23150,22950,23150,150,706823
196,2020-10-14,23100,23100,22900,22950,-200,729787
197,2020-10-15,22900,23050,22800,22850,-100,824682
198,2020-10-16,22900,23050,22800,22900,50,756149
199,2020-10-19,22950,23200,22950,23100,200,919986
200,2020-10-20,23050,23200,22900,23050,-50,709217
201,2020-10-21,23050,23200,22950,23100,50,760078
202,2020-10-22,23100,23150,22900,22900,-200,1106551
203,2020-10-23,23000,23150,22950,23150,250,737105
204,2020-10-26,23100,23150,22900,22950,-200,880951
205,2020-10-27,22850,23050,22750,22950,0,657666
206,2020-10-28,22900,22900,22750,22850,-100,1007315
207,2020-10-29,22700,22800,22550,22600,-250,923405
208,2020-10-30,22600,22600,22000,22100,-500,1422532
209,2020-11-02,22150,22450,22150,22350,250,644429
210,2020-11-03,22300,22700,22300,22650,300,567462
211,2020-11-04,22850,22950,22650,22850,200,763995
212,2020-11-05,22900,22900,22750,22900,50,970787
213,2020-11-06,23000,23100,22850,22900,0,1151739
214,2020-11-09,23150,23350,23100,23100,200,1260321
215,2020-11-10,23250,23300,23000,23150,50,935574
216,2020-11-11,23150,23800,23100,23650,500,1709063
217,2020-11-12,23750,23800,23500,23600,-50,1344804
218,2020-11-13,23550,23650,23350,23500,-100,809874
219,2020-11-16,23550,23700,23450,23500,0,1084496
220,2020-11-17,23500,23700,23450,23450,-50,947127
221,2020-11-18,23450,23600,23300,23400,-50,1024244
222,2020-11-19,23350,23500,23250,23500,100,778990
223,2020-11-20,23450,23650,23400,23500,0,792030
224,2020-11-23,23500,23650,23450,23650,150,999246
225,2020-11-24,23700,23850,23650,23750,100,1105343
226,2020-11-25,23950,24050,23850,23950,200,1741902
227,2020-11-26,23950,24100,23850,24100,150,975473
228,2020-11-27,24250,24450,24100,24200,100,1188832
229,2020-11-30,24300,24400,24150,24250,50,1035866
230,2020-12-01,24250,24300,24100,24250,0,778045
231,2020-12-02,24300,24450,24150,24300,50,1054786
232,2020-12-03,24350,24450,24200,24350,50,891525
233,2020-12-04,24400,24550,24300,24400,50,1118373
234,2020-12-07,24350,24400,23950,24150,-250,1256798
235,2020-12-08,24150,24200,24050,24150,0,671658
