date,financial,insurance,invtrust,privequity,bank,financeetc,pension,institution,corporateetc,retail,foreigner,foreigneretc,total
2020-05-11,-2852,-5522,-1075,723,69,-22,2851,-5828,2340,12711,-9139,-83,0
2020-05-12,-8142,1282,3530,-1074,-723,-17,-425,-5571,2230,15613,-12480,207,0
2020-05-13,-7922,-1787,841,-231,229,-238,-8183,-17289,-159,44396,-27293,346,0
2020-05-14,-3894,465,1902,1109,50,146,-4663,-4885,74,15236,-10435,10,0
2020-05-15,-1440,1737,-5309,-2982,-351,-90,7067,-1369,562,45318,-44212,-299,0
2020-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,-3026,3365,-683,595,219,85,1471,2027,1084,11579,-14804,114,0
2020-05-19,8628,-5338,-10071,-3151,-707,-110,-12613,-23363,-1562,13511,11382,31,0
2020-05-20,11518,-10900,4130,1772,198,0,21188,27904,-244,-27600,212,-273,0
2020-05-21,-13549,-7520,-1006,-1005,-203,0,14697,-8586,226,32474,-24362,248,0
2020-05-22,-8572,-5183,2505,777,-300,-22,9288,-1507,180,2644,-1303,-14,0
2020-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-25,-692,-11014,4474,2248,620,32,-2998,-7330,157,29347,-22145,-29,0
2020-05-26,7411,-1545,1430,2158,-666,-16,-1047,7726,5049,72408,-85758,574,0
2020-05-27,-11321,-4680,-6939,-1772,-60,197,-21483,-46057,-2000,100221,-52932,768,0
2020-05-28,-816,-3588,-4280,-2180,323,-410,18665,7714,1413,-39813,31020,-334,0
2020-05-29,9890,1923,-5209,4740,-148,-136,26916,37976,1551,127041,-167225,656,0
2020-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,7770,3726,681,-282,-130,-175,23219,34809,420,-53045,17978,-162,0
2020-06-02,-6033,-2230,-4972,-97,-297,-101,-2002,-15733,6144,37939,-28566,216,0
2020-06-03,24439,-10898,-19078,-4193,-2012,-274,-25272,-37288,437,111105,-74500,246,0
2020-06-04,17589,-4469,-2796,3000,-159,-66,-10887,2212,671,-37906,34733,290,0
2020-06-05,11411,209,162,-334,-297,14,-868,10297,1385,43254,-55485,550,0
2020-06-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-08,8483,-5350,7251,4728,-14,346,15517,30961,288,-77674,47806,-1381,0
2020-06-09,-6274,858,1040,5182,162,-7,4927,5888,358,28937,-36065,881,0
2020-06-10,22899,2696,8059,5133,65,96,-11782,27166,1077,-52136,24366,-473,0
2020-06-11,-27056,857,1395,-1427,964,-190,-1951,-27408,795,38274,-12920,1259,0
2020-06-12,-5081,7196,34291,375,1379,-419,29357,67098,1328,4782,-72750,-459,0
2020-06-13,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-15,-13066,4959,-1720,-4294,715,-208,10215,-3399,-703,33823,-30371,650,0
2020-06-16,24908,3008,7498,879,397,43,13886,50620,-5326,-79570,35170,-895,0
2020-06-17,996,1285,4754,-614,155,-148,32055,38482,128,-48044,9675,-241,0
2020-06-18,-2249,76,333,1365,0,0,12917,12443,-745,21132,-33143,312,0
2020-06-19,-14637,2779,2098,-872,-8,10,5956,-4674,-263,2130,2767,40,0
2020-06-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-21,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-22,5607,4126,5609,-496,-997,283,14258,28390,-28,-57863,30581,-1080,0
2020-06-23,-11292,3476,-3143,-5392,-1276,0,1507,-16119,-2067,71120,-53521,587,0
2020-06-24,-2292,-1927,-3409,-2195,113,73,4090,-5547,-221,39497,-33591,-139,0
2020-06-25,-34986,-2424,-3768,-987,-33,0,-5645,-47844,3257,132818,-88764,534,0
2020-06-26,-12664,-1401,5450,-1661,-623,10,2447,-8441,-298,31845,-23380,275,0
2020-06-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-28,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-29,-3981,-3043,414,-3107,6,1,354,-9355,482,7952,908,12,0
2020-06-30,5004,-1272,1810,1183,-119,0,3128,9734,-876,2851,-11571,-139,0
2020-07-01,335,2824,-838,1615,13,22,5681,9652,196,629,-10468,-9,0
2020-07-02,20328,7124,3166,3399,109,-14,21460,55572,1321,-53127,-3597,-169,0
2020-07-03,7145,-1034,-1328,1121,312,10,8646,14873,2314,27348,-45017,481,0
2020-07-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-06,38305,2135,1447,1237,-1,149,-12215,31058,2279,-679,-32485,-172,0
2020-07-07,-4134,1247,-1200,892,-5,-450,-19585,-23235,1371,60454,-39421,831,0
2020-07-08,1460,-7777,2364,8304,540,54,-3480,1464,-1277,32573,-32660,-100,0
2020-07-09,-9906,619,5824,850,110,123,23003,20623,1576,93233,-116631,1199,0
2020-07-10,-12502,6783,-1483,56,122,30,-19058,-26053,4273,97152,-75949,577,0
2020-07-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-13,11595,-2323,966,-768,-240,0,-8671,560,-120,54786,-55207,-20,0
2020-07-14,-13180,-7833,-9077,-3932,-236,-133,-24577,-58968,-2570,131224,-70331,644,0
2020-07-15,14721,-10103,-4940,-1945,-774,-2,-4301,-7343,-1355,19514,-10829,12,0
2020-07-16,-23413,-6441,-8239,-1696,-284,-394,-19383,-59850,-1558,69564,-8433,278,0
2020-07-17,-8368,305,2350,766,537,59,-14222,-18573,-1458,-5913,25755,189,0
2020-07-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-20,-10459,-9754,-11717,-1740,69,16,-6980,-40566,-547,106193,-65479,399,0
2020-07-21,10105,117,1017,393,176,0,-7198,4609,218,-17565,12901,-164,0
2020-07-22,6595,3592,379,-1732,25,66,-4356,4568,-657,21612,-25713,189,0
2020-07-23,6741,539,5377,-418,255,0,10342,22837,1014,-123638,100624,-838,0
2020-07-24,-2524,851,389,-1312,-210,25,-7470,-10251,-1665,23043,-11500,373,0
2020-07-25,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-27,14578,465,2903,537,-687,0,-8103,9694,-324,-12483,2900,214,0
2020-07-28,-7375,-1277,2820,1754,39,58,5067,1087,-2791,-18655,20068,291,0
2020-07-29,1361,-3696,-5480,8683,102,519,15285,16774,1441,-397,-17361,-457,0
2020-07-30,-6585,2494,-2084,-7124,202,-55,333,-12819,-1427,-33601,47992,-145,0
2020-07-31,5107,4101,2601,-9737,92,43,-1267,940,1162,-71319,69561,-344,0
2020-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-03,-9814,1260,5336,3641,875,0,4476,5773,8335,-67926,54133,-314,0
2020-08-04,-274,-3863,354,-2722,-39,37,214,-6295,792,64978,-59986,511,0
2020-08-05,-14009,-4347,-1793,-4169,-13,15,-8392,-32707,769,-1400,33536,-197,0
2020-08-06,6481,-1694,-1735,-277,-86,-571,7420,9538,-1663,-47280,40035,-630,0
2020-08-07,-14528,562,-3876,-1284,-41,-229,222,-19174,-560,45345,-25905,294,0
2020-08-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-10,6459,-2024,-5111,-2809,50,168,3516,249,-1816,9473,-8012,105,0
2020-08-11,17643,-4729,-6763,-1315,40,116,623,5616,-249,8496,-13978,115,0
2020-08-12,2229,-2901,-10337,-1921,295,81,-14053,-26607,1334,56225,-31559,608,0
2020-08-13,-21577,-774,-7083,-1396,-96,101,9953,-20872,2586,66360,-48357,283,0
2020-08-14,13679,-711,-907,-2828,52,15,-8699,601,-368,12161,-12442,48,0
2020-08-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-16,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-18,36653,2516,1074,1454,-8,942,-15478,27152,1969,-69034,39638,274,0
2020-08-19,13396,-295,-2610,1106,1634,-47,9851,23035,-477,-50136,27718,-139,0
2020-08-20,-272,-1946,2163,-433,293,114,-10867,-10948,-409,1957,9176,224,0
2020-08-21,11146,5582,-964,1327,-1333,41,-1484,14316,-348,-6908,-6531,-529,0
2020-08-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-23,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-24,17034,805,-1382,1548,308,50,5617,23979,432,-37856,13432,13,0
2020-08-25,-8509,1628,-5501,-728,-35,319,-6701,-19527,2351,-20463,38012,-373,0
2020-08-26,1662,544,3511,2181,-47,52,-3935,3968,237,-29339,25570,-435,0
2020-08-27,-1170,4277,-1370,1897,53,119,-1740,2065,3256,8961,-14237,-45,0
2020-08-28,-5957,-315,4,-3125,-217,15,-8243,-17838,-1909,46111,-26585,220,0
2020-08-29,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-30,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-31,10302,-1548,-4949,-474,-1085,10,-4495,-2239,5550,141604,-145771,856,0
2020-09-01,-6072,-1898,-1920,-1645,-3210,-38,3650,-11134,608,13335,-3014,205,0
2020-09-02,-23003,-1890,-1327,-302,-113,15,-801,-27421,-327,-11814,39960,-398,0
2020-09-03,-11704,-1328,-183,-1276,-164,-45,-6069,-20769,-221,-50489,71575,-96,0
2020-09-04,-24244,-2807,-1779,-246,-94,-493,-6497,-36160,-2120,75254,-37656,681,0
2020-09-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-07,-23130,-13033,-11972,-4388,-105,-421,-13262,-66310,600,161591,-96737,856,0
2020-09-08,-6443,-6135,-5928,-3243,-37,-57,-1752,-23595,2601,49316,-28522,200,0
2020-09-09,-8548,-3099,-8058,-6093,-558,-34,1616,-24774,432,26985,-2624,-19,0
2020-09-10,-12624,-4608,-10902,-3154,24,0,-7579,-38843,1616,40873,-3882,236,0
2020-09-11,-10130,-4175,-3340,-460,-173,-10,-8252,-26540,11,26709,212,-391,0
2020-09-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-13,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-14,9074,-4999,-11551,-958,-49,78,-23523,-31927,3022,35588,-7141,458,0
2020-09-15,-502,2259,1197,452,253,46,-14089,-10384,-1608,-11795,23968,-181,0
2020-09-16,-7111,-2690,-1554,283,32,292,-22031,-32778,2246,57900,-27621,254,0
2020-09-17,-17235,-2991,-4387,-3505,23,-16,-29673,-57784,-3119,68726,-8445,621,0
2020-09-18,1307,-1592,-2970,-4086,-1106,-16,-21981,-30444,-820,48457,-17461,268,0
2020-09-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-20,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-21,-910,-860,-4246,-552,-68,-179,-17180,-23994,1700,15156,7204,-67,0
2020-09-22,-23670,-949,-2144,-1396,-360,-457,-22269,-51245,-4143,5900,49636,-147,0
2020-09-23,3934,2884,3561,5414,875,353,1298,18319,-2265,-34863,18990,-182,0
2020-09-24,-8116,747,5369,521,-130,48,-7351,-8911,-684,-18126,28005,-284,0
2020-09-25,6433,1667,905,171,0,82,-8951,307,-1140,8129,-7330,35,0
2020-09-26,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-27,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-28,11970,3547,2152,-79,189,113,-12460,5432,4206,-7907,-1671,-60,0
2020-09-29,4572,-548,1167,429,42,0,-32977,-27315,778,21402,4926,210,0
2020-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-05,-3435,-2495,-5097,-2150,-22,-39,-8196,-21435,-576,-18901,40910,2,0
2020-10-06,19192,-681,-1273,360,285,128,16390,34400,1208,-67703,32364,-269,0
2020-10-07,19542,-902,-3323,-517,158,56,-19983,-4968,104,-18506,23465,-95,0
2020-10-08,-49425,-3210,-3678,-2418,0,151,15072,-43508,-25,21389,22135,8,0
2020-10-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-12,-2005,-7865,-8332,-1990,-40,-258,-30320,-50810,-84,58394,-7565,64,0
2020-10-13,-2489,-870,489,297,44,-398,-11979,-14906,-527,-8745,24229,-51,0
2020-10-14,-3648,-918,194,754,-44,2,-4158,-7818,491,-41290,48727,-109,0
2020-10-15,-1543,-1168,-2312,-1813,0,233,-16544,-23146,-162,30152,-7077,233,0
2020-10-16,2051,-768,-1046,414,32,67,4883,5633,593,-16601,10275,100,0
2020-10-17,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-18,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-19,15863,-3559,-7391,-3224,-164,5,-5348,-3816,90,12597,-9320,449,0
2020-10-20,-1550,-569,-576,-2640,-193,313,1429,-3787,-1285,-29730,34738,63,0
2020-10-21,8801,1047,212,-902,0,60,-14341,-5122,-205,-23234,28837,-276,0
2020-10-22,1722,770,-2562,-614,0,58,7287,6659,591,6468,-13849,131,0
2020-10-23,1581,-4829,-8071,-407,-124,-6,-3576,-15433,-185,27765,-12376,229,0
2020-10-24,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-25,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-26,939,-6701,-4663,-1300,-59,37,-7324,-19072,337,1630,17062,43,0
2020-10-27,-5984,52,-1266,-1061,-3,686,-2462,-10039,504,793,8875,-133,0
2020-10-28,2492,458,4177,4394,53,1198,8507,21279,552,-57909,36035,43,0
2020-10-29,-10718,3705,4676,-687,200,13,-5489,-8299,-702,-18020,27232,-212,0
2020-10-30,-17993,-3099,174,-4286,-40,15,-10779,-36008,-1287,14438,23107,-251,0
2020-10-31,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-02,-11943,-2391,-9289,-361,0,-243,-15108,-39336,162,41782,-2807,199,0
2020-11-03,128,-4378,-21270,-2244,-204,-1016,-46591,-75575,-4017,121710,-42774,656,0
2020-11-04,30861,15969,7472,6055,379,646,-1725,59657,2661,-143548,82172,-941,0
2020-11-05,16615,106,-5798,-2388,-311,64,-30008,-21719,4149,-11436,29086,-80,0
2020-11-06,14741,2872,-5103,583,11,553,-10481,3175,-828,-40152,38029,-224,0
2020-11-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-09,19198,-3213,-6085,-2246,-137,-723,-27656,-20862,1579,36851,-17617,50,0
2020-11-10,-36727,-25040,-36703,-8472,-688,450,-46951,-154130,-4959,251693,-93694,1091,0
2020-11-11,14059,-7078,-29715,-5535,-2902,566,-31585,-62189,4953,95964,-39179,451,0
2020-11-12,-35964,-6234,-6880,-707,38,6,803,-48938,5513,80430,-37397,392,0
2020-11-13,-3455,-3131,-2040,-841,3,46,-6926,-16344,2088,25568,-11499,188,0
2020-11-14,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-15,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-16,74,-7731,-4334,-2107,-19,-404,-32293,-46815,-1022,69150,-21195,-117,0
2020-11-17,-12735,-4196,-4903,-422,95,72,-13524,-35614,-10286,49569,-3993,324,0
2020-11-18,11578,-941,-1666,677,6,459,-1217,8897,787,-40844,31331,-171,0
2020-11-19,-9823,-1888,-851,581,0,-449,-10104,-22534,5,21238,1243,48,0
2020-11-20,-3163,-1475,-2673,-140,140,82,-8751,-15981,290,19660,-4122,153,0
2020-11-21,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-22,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-23,-7932,-3068,-4567,546,0,-910,-5542,-21474,-2714,-15668,39929,-73,0
2020-11-24,-7694,-1708,-2661,-8,74,-70,-14860,-26928,2987,3947,19968,26,0
2020-11-25,-7132,-2652,-4600,-450,110,583,-15441,-29582,2100,42245,-15418,655,0
