ixic,ixic_cr,ixic_f,ixic_f_cr,dji,dji_cr,dji_f,dji_f_cr,spx,spx_cr,spx_f,spx_f_cr,kospi,kospi_cr,kosdaq,kosdaq_cr,wti,dxy,krw,bond_usa_10,bond_usa_2,bond_usa_3m,bond_kor_10,bond_kor_2,vix,vix_cr,f_g_index,sox,sox_cr,cpi,cpi_anticipated,cpi_previous,pp,pp_cr,pp_con_num,fp,fp_cr,fp_con_num,itp,itp_cr,itp_con_num,penp,penp_cr,penp_con_num,pep,pep_cr,pep_con_num,gold,gold_cr,rc1_pcr,rc2_pcr,rc3_pcr,rc4_pcr,fed_rate,fed_rate_ann,fed_rate-imp,bok_rate,bok_rate_ann,bok_rate-imp,fu_date,op_date,open,high,high_time,low,low_time,close,vol,vol_cr
"14,015.67",-0.58%,,,"35,091.13",0.00%,,,"4,483.87",-0.37%,,,"2,745.06",-0.19%,899.4,-0.38%,,,,,,,,,22.860001,,27.0,"3,452.30",-0.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,194.45",1.28%,,,"35,462.78",1.06%,,,"4,521.54",0.84%,,,"2,746.47",0.05%,895.27,-0.46%,,,,,,,,,21.440001,,29.0,"3,535.10",2.40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,490.37",2.08%,,,"35,768.06",0.86%,,,"4,587.18",1.45%,,,"2,768.85",0.81%,910.53,1.70%,,,,,,,,,19.959999,,32.0,"3,653.70",3.35%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,185.64",-2.10%,,,"35,241.59",-1.47%,,,"4,504.06",-1.81%,,,"2,771.93",0.11%,895.68,-1.63%,,,,,,,,,23.91,,32.0,"3,536.10",-3.22%,7.5%,7.3%,7.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,791.15",-2.78%,,,"34,738.06",-1.43%,,,"4,418.64",-1.90%,,,"2,747.71",-0.87%,877.42,-2.04%,,,,,,,,,27.360001,,29.0,"3,365.20",-4.83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13,790.92",0.00%,,,"34,566.17",-0.49%,,,"4,401.67",-0.38%,,,"2,704.48",-1.57%,852.79,-2.81%,,,,,,,,,28.33,,25.0,"3,370.20",0.15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,139.76",2.53%,,,"34,988.84",1.22%,,,"4,471.07",1.58%,,,"2,676.54",-1.03%,839.92,-1.51%,,,,,,,,,25.700001,,28.0,"3,554.50",5.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14,124.09",-0.11%,,,"34,934.27",-0.16%,,,"4,475.01",0.09%,,,"2,729.68",1.99%,878.15,4.55%,,,,,,,,,24.290001,,30.0,"3,555.70",0.03%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
