date,retail,retail_cr,retail_days,foreigner,foreigner_cr,foreigner_days,institution,institution_cr,institution_days,financial,financial_cr,financial_days,invtrust,invtrust_cr,invtrust_days,pension,pension_cr,pension_days,privequity,privequity_cr,privequity_days,bank,bank_cr,bank_days,insurance,insurance_cr,insurance_days,financeetc,financeetc_cr,financeetc_days,corporateetc,corporateetc_cr,corporateetc_days,foreigneretc,foreigneretc_cr,foreigneretc_days,rc1_pcr,rc2_pcr,rc3_pcr,rc4_pcr,open,high,low,close,close_cr,vol,vol_cr,high_time,low_time
2022-02-13,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,"74,900","74,900","74,900","74,900",0.00%,-,,,
2022-02-14,64136.0,,,-54702.0,,,-16417.0,,,-9417.0,,,-5536.0,,,1081.0,,,-2109.0,,,94.0,,,-558.0,,,28.0,,,6811.0,,,173.0,,,,,,,65500,65500,62300,63600,-2,106009,,,
2022-02-15,-44485.0,,,24212.0,,,13586.0,,,6437.0,,,4734.0,,,1557.0,,,758.0,,,0.0,,,135.0,,,-36.0,,,6664.0,,,23.0,,,,,,,62700,63100,60600,61400,-3.46,156997,,,
2022-02-16,12354.0,,,-20494.0,,,1036.0,,,2158.0,,,-960.0,,,-287.0,,,312.0,,,1.0,,,-189.0,,,0.0,,,7095.0,,,9.0,,,,,,,61400,62700,60000,62000,0.98,169750,,,
2022-02-17,12354.0,,,-20494.0,,,1036.0,,,2158.0,,,-960.0,,,-287.0,,,312.0,,,1.0,,,-189.0,,,0.0,,,7095.0,,,9.0,,,,,,,61800,62200,60700,61800,-0.32,329703,,,
2022-02-18,2397.0,,,2150.0,,,-4505.0,,,235.0,,,128.0,,,-968.0,,,-3192.0,,,-2.0,,,-703.0,,,-3.0,,,2.0,,,-44.0,,,,,,,61600,62400,60800,62000,0.32,143981,,,
2022-02-19,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2022-02-20,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,"74,300","74,300","74,300","74,300",0.00%,-,,,
2022-02-21,-12468.0,,,5972.0,,,6468.0,,,-2742.0,,,3825.0,,,-78.0,,,3326.0,,,-3.0,,,2140.0,,,0.0,,,10.0,,,17.0,,,,,,,60400,61600,59500,60000,-3.23,222970,,,
2022-02-22,15822.0,,,-4479.0,,,-10945.0,,,-3813.0,,,-859.0,,,1324.0,,,-7849.0,,,-16.0,,,-634.0,,,902.0,,,-393.0,,,-5.0,,,,,,,59800,60100,57200,59800,-0.33,310420,,,
2022-02-23,33911.0,,,-36756.0,,,1764.0,,,3280.0,,,-1641.0,,,3528.0,,,-2840.0,,,0.0,,,-1282.0,,,721.0,,,1029.0,,,51.0,,,,,,,60100,60500,58600,60300,0.84,414874,,,
2022-02-24,33911.0,,,-36756.0,,,1764.0,,,3280.0,,,-1641.0,,,3528.0,,,-2840.0,,,0.0,,,-1282.0,,,721.0,,,1029.0,,,51.0,,,,,,,59200,61700,59200,61400,1.82,235297,,,
2022-02-25,3514.0,,,-11027.0,,,6128.0,,,10336.0,,,-8915.0,,,3629.0,,,-9.0,,,1727.0,,,-701.0,,,61.0,,,1192.0,,,192.0,,,,,,,60900,61900,60600,61100,-0.49,102100,,,
2022-02-26,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,
2022-02-27,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,"71,900","71,900","71,900","71,900",0.00%,-,,,
2022-02-28,15043.0,,,-8692.0,,,-8063.0,,,-5146.0,,,214.0,,,-4841.0,,,2625.0,,,-23.0,,,-893.0,,,0.0,,,1667.0,,,44.0,,,,,,,61000,61800,60400,61800,1.15,304138,,,
2022-03-01,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,"72,100","72,100","72,100","72,100",0.00%,-,,,
2022-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62600,62700,58200,58700,-5.02,363251,,,
2022-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58800,59400,58400,58900,0.34,127542,,,
2022-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58600,59300,57600,58700,-0.34,191328,,,
2022-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71,500","71,500","71,500","71,500",0.00%,-,,,
2022-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57500,58000,55800,57000,-2.9,199549,,,
2022-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55500,56600,55500,56000,-1.75,121641,,,
2022-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,500","69,500","69,500","69,500",0.00%,-,,,
2022-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57600,59000,57000,58900,5.18,292885,,,
2022-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59000,59200,57200,57600,-2.21,152751,,,
2022-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,000","70,000","70,000","70,000",0.00%,-,,,
2022-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57500,58900,57500,58500,1.56,125164,,,
2022-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58200,59300,57600,58100,-0.68,131680,,,
2022-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58200,59200,57800,59200,1.89,130938,,,
2022-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60100,60200,58400,58700,-0.84,163009,,,
2022-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58200,61100,58100,61000,3.92,305371,,,
2022-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"70,700","70,700","70,700","70,700",0.00%,-,,,
2022-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60100,61400,60100,61000,0,114329,,,
2022-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61500,65500,61100,64800,6.23,252111,,,
2022-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64800,67500,64700,67200,3.7,244672,,,
2022-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66600,67900,66200,67300,0.15,122736,,,
2022-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66500,68300,66200,67500,0.3,101960,,,
2022-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,800","69,800","69,800","69,800",0.00%,-,,,
2022-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66100,69800,66100,69800,3.41,184546,,,
2022-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70300,71000,67700,69100,-1,134638,,,
2022-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69900,69900,67500,68500,-0.87,148645,,,
2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69000,71500,68700,69900,2.04,183190,,,
2022-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68900,71500,68800,70300,0.57,136605,,,
2022-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69,100","69,100","69,100","69,100",0.00%,-,,,
2022-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69000,71000,68800,69700,-0.85,104478,,,
2022-04-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69100,69600,66800,69400,-0.43,187037,,,
2022-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70300,72600,69100,72300,4.18,284859,,,
2022-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71200,72900,70400,71700,-0.83,252419,,,
2022-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71000,72000,70700,71100,-0.84,114388,,,
2022-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"67,800","67,800","67,800","67,800",0.00%,-,,,
2022-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70700,72000,70200,71900,1.13,97025,,,
