날짜,종가,오픈,고가,저가,변동 %
2022년 02월 24일,2.018,2.109,2.184,2.018,-3.63%
2022년 02월 23일,2.094,2.123,2.123,2.08,-0.62%
2022년 02월 22일,2.107,2.113,2.117,2.1,-2.41%
2022년 02월 21일,2.159,2.122,2.159,2.111,0.89%
2022년 02월 18일,2.14,2.093,2.14,2.093,1.18%
2022년 02월 17일,2.115,2.12,2.137,2.101,-1.49%
2022년 02월 16일,2.147,2.17,2.185,2.146,-0.97%
2022년 02월 15일,2.168,2.159,2.178,2.159,0.98%
2022년 02월 14일,2.147,2.142,2.147,2.134,0.23%
2022년 02월 13일,2.142,2.142,2.142,2.142,0.00%
2022년 02월 12일,2.142,2.142,2.142,2.142,-0.42%
2022년 02월 11일,2.151,2.147,2.167,2.135,3.26%
2022년 02월 10일,2.083,2.081,2.083,2.072,-0.10%
2022년 02월 09일,2.085,2.088,2.104,2.072,-0.48%
2022년 02월 08일,2.095,2.041,2.1,2.041,2.34%
2022년 02월 07일,2.047,2.015,2.047,2.015,3.59%
2022년 02월 06일,1.976,1.976,1.976,1.976,0.00%
2022년 02월 05일,1.976,1.976,1.976,1.976,-0.95%
2022년 02월 04일,1.995,2.007,2.04,1.99,1.27%
2022년 02월 03일,1.97,1.941,1.971,1.941,-1.01%
2022년 02월 02일,1.99,1.99,1.99,1.99,0.00%
2022년 02월 01일,1.99,1.99,1.99,1.99,0.00%
2022년 01월 31일,1.99,1.99,1.99,1.99,0.00%
2022년 01월 30일,1.99,1.99,1.99,1.99,0.00%
2022년 01월 29일,1.99,1.99,1.99,1.99,-0.80%
2022년 01월 28일,2.006,2.017,2.031,2.005,-0.89%
2022년 01월 27일,2.024,2.011,2.035,2.004,3.11%
2022년 01월 26일,1.963,1.957,1.972,1.957,0.15%
2022년 01월 25일,1.96,1.927,1.96,1.927,2.24%
2022년 01월 24일,1.917,1.935,1.94,1.917,-0.93%
2022년 01월 23일,1.935,1.935,1.935,1.935,0.00%
2022년 01월 22일,1.935,1.935,1.935,1.935,-0.67%
2022년 01월 21일,1.948,1.911,1.951,1.894,0.36%
2022년 01월 20일,1.941,1.91,1.951,1.883,2.75%
2022년 01월 19일,1.889,1.959,1.98,1.88,-4.11%
2022년 01월 18일,1.97,1.955,1.995,1.945,-0.30%
2022년 01월 17일,1.976,1.915,1.98,1.915,5.11%
2022년 01월 16일,1.88,1.88,1.88,1.88,0.00%
2022년 01월 15일,1.88,1.88,1.88,1.88,0.00%
2022년 01월 14일,1.88,1.81,1.886,1.81,3.98%
2022년 01월 13일,1.808,1.839,1.85,1.799,-2.11%
2022년 01월 12일,1.847,1.858,1.863,1.839,-2.12%
2022년 01월 11일,1.887,1.884,1.909,1.884,-0.79%
2022년 01월 10일,1.902,1.881,1.918,1.877,0.63%
2022년 01월 09일,1.89,1.89,1.89,1.89,0.00%
2022년 01월 08일,1.89,1.89,1.89,1.89,-0.26%
2022년 01월 07일,1.895,1.877,1.906,1.877,0.96%
2022년 01월 06일,1.877,1.828,1.878,1.828,4.68%
2022년 01월 05일,1.793,1.738,1.793,1.738,4.55%
2022년 01월 04일,1.715,1.71,1.737,1.704,0.29%
2022년 01월 03일,1.71,1.659,1.721,1.659,2.40%
2022년 01월 02일,1.67,1.672,1.672,1.67,-0.12%
2022년 01월 01일,1.672,1.672,1.672,1.672,0.00%
2021년 12월 31일,1.672,1.672,1.672,1.672,0.00%
2021년 12월 30일,1.672,1.672,1.672,1.672,-0.24%
2021년 12월 29일,1.676,1.679,1.679,1.674,-0.36%
2021년 12월 28일,1.682,1.669,1.682,1.669,0.66%
2021년 12월 27일,1.671,1.664,1.671,1.643,0.18%
2021년 12월 26일,1.668,1.668,1.668,1.668,0.00%
2021년 12월 25일,1.668,1.668,1.668,1.668,-0.54%
2021년 12월 24일,1.677,1.677,1.68,1.666,-1.87%
2021년 12월 23일,1.709,1.652,1.709,1.652,2.70%
2021년 12월 22일,1.664,1.654,1.675,1.654,1.16%
2021년 12월 21일,1.645,1.671,1.671,1.636,-0.90%
2021년 12월 20일,1.66,1.678,1.694,1.659,-0.60%
2021년 12월 19일,1.67,1.67,1.67,1.67,0.00%
2021년 12월 18일,1.67,1.67,1.67,1.67,-0.95%
2021년 12월 17일,1.686,1.654,1.686,1.654,0.54%
2021년 12월 16일,1.677,1.679,1.679,1.669,-0.42%
2021년 12월 15일,1.684,1.702,1.705,1.68,0.78%
2021년 12월 14일,1.671,1.68,1.68,1.671,-1.59%
2021년 12월 13일,1.698,1.703,1.703,1.694,-0.12%
2021년 12월 12일,1.7,1.7,1.7,1.7,0.00%
2021년 12월 11일,1.7,1.7,1.7,1.7,-0.58%
2021년 12월 10일,1.71,1.69,1.71,1.67,0.88%
2021년 12월 09일,1.695,1.732,1.739,1.688,-0.88%
2021년 12월 08일,1.71,1.732,1.744,1.705,-2.56%
2021년 12월 07일,1.755,1.756,1.764,1.74,0.86%
2021년 12월 06일,1.74,1.747,1.758,1.736,-1.58%
2021년 12월 05일,1.768,1.768,1.768,1.768,0.00%
2021년 12월 04일,1.768,1.768,1.768,1.768,0.00%
2021년 12월 03일,1.768,1.74,1.773,1.74,2.20%
2021년 12월 02일,1.73,1.69,1.73,1.679,1.88%
2021년 12월 01일,1.698,1.699,1.707,1.678,2.66%
