날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 03월 09일,"33,265.00","32,538.00","33,441.00","32,521.00",202.05K,2.03%
2022년 03월 08일,"32,602.00","32,716.00","33,374.00","32,305.00",286.68K,-0.55%
2022년 03월 07일,"32,782.00","33,451.00","33,542.00","32,689.00",253.27K,-2.39%
2022년 03월 04일,"33,583.00","33,772.00","33,859.00","33,210.00",260.95K,-0.46%
2022년 03월 03일,"33,738.00","33,805.00","34,143.00","33,597.00",195.52K,-0.33%
2022년 03월 02일,"33,849.00","33,318.00","33,977.00","33,121.00",239.41K,1.75%
2022년 03월 01일,"33,267.00","33,822.00","34,065.00","33,064.00",275.41K,-1.69%
2022년 02월 28일,"33,840.00","33,678.00","33,914.00","33,322.00",303.76K,-0.45%
2022년 02월 25일,"33,994.00","33,036.00","34,034.00","32,762.00",286.52K,2.53%
2022년 02월 24일,"33,156.00","33,052.00","33,205.00","32,167.00",438.50K,0.27%
2022년 02월 23일,"33,066.00","33,585.00","33,824.00","33,015.00",238.84K,-1.37%
2022년 02월 22일,"33,525.00","33,869.00","34,349.00","33,292.00",450.33K,-0.10%
2022년 02월 21일,"33,557.00","33,928.00","34,348.00","33,407.00",131.14K,-1.09%
2022년 02월 20일,"33,928.00","33,884.00","33,954.00","33,884.00",5.76K,-0.23%
2022년 02월 18일,"34,007.00","34,237.00","34,500.00","33,900.00",232.78K,-0.65%
2022년 02월 17일,"34,231.00","34,842.00","34,910.00","34,171.00",209.14K,-1.78%
2022년 02월 16일,"34,851.00","34,886.00","35,060.00","34,558.00",196.64K,-0.15%
2022년 02월 15일,"34,904.00","34,472.00","34,968.00","34,345.00",193.89K,1.26%
2022년 02월 14일,"34,471.00","34,665.00","34,755.00","34,205.00",274.11K,-0.45%
2022년 02월 11일,"34,627.00","35,128.00","35,330.00","34,511.00",319.73K,-1.46%
2022년 02월 10일,"35,139.00","35,717.00","35,750.00","34,990.00",282.69K,-1.41%
2022년 02월 09일,"35,641.00","35,382.00","35,752.00","35,370.00",166.01K,0.85%
2022년 02월 08일,"35,342.00","35,001.00","35,426.00","34,931.00",182.37K,1.07%
2022년 02월 07일,"34,969.00","35,002.00","35,205.00","34,806.00",174.18K,-0.03%
2022년 02월 04일,"34,978.00","35,113.00","35,212.00","34,668.00",266.48K,0.02%
2022년 02월 03일,"34,971.00","35,545.00","35,569.00","34,941.00",234.69K,-1.47%
2022년 02월 02일,"35,492.00","35,232.00","35,590.00","35,167.00",222.53K,0.62%
2022년 02월 01일,"35,274.00","34,915.00","35,316.00","34,833.00",209.61K,0.79%
2022년 01월 31일,"34,997.00","34,576.00","35,026.00","34,313.00",234.76K,1.16%
2022년 01월 28일,"34,595.00","34,240.00","34,622.00","33,613.00",315.13K,1.62%
2022년 01월 27일,"34,043.00","34,071.00","34,658.00","33,532.00",329.89K,-0.04%
2022년 01월 26일,"34,055.00","33,969.00","34,699.00","33,745.00",319.04K,-0.38%
2022년 01월 25일,"34,185.00","34,294.00","34,472.00","33,422.00",340.84K,-0.20%
2022년 01월 24일,"34,253.00","34,143.00","34,410.00","33,031.00",465.70K,0.28%
2022년 01월 21일,"34,157.00","34,556.00","34,782.00","34,100.00",335.70K,-1.33%
2022년 01월 20일,"34,616.00","34,953.00","35,379.00","34,407.00",272.49K,-0.84%
2022년 01월 19일,"34,910.00","35,301.00","35,430.00","34,883.00",296.13K,-0.99%
2022년 01월 18일,"35,259.00","35,856.00","35,901.00","35,135.00",322.17K,-1.58%
2022년 01월 17일,"35,824.00","35,844.00","35,864.00","35,774.00",42.89K,0.04%
2022년 01월 16일,"35,809.00","35,888.00","35,901.00","35,799.00",4.05K,0.04%
2022년 01월 14일,"35,796.00","36,002.00","36,114.00","35,515.00",256.88K,-0.54%
2022년 01월 13일,"35,989.00","36,179.00","36,390.00","35,921.00",217.10K,-0.47%
2022년 01월 12일,"36,160.00","36,131.00","36,332.00","36,040.00",175.02K,0.09%
2022년 01월 11일,"36,128.00","35,948.00","36,153.00","35,641.00",220.38K,0.49%
2022년 01월 10일,"35,952.00","36,121.00","36,171.00","35,521.00",268.67K,-0.43%
2022년 01월 07일,"36,107.00","36,173.00","36,265.00","35,988.00",218.01K,-0.04%
2022년 01월 06일,"36,123.00","36,309.00","36,418.00","36,074.00",266.02K,-0.46%
2022년 01월 05일,"36,291.00","36,656.00","36,832.00","36,279.00",243.99K,-1.05%
2022년 01월 04일,"36,675.00","36,432.00","36,804.00","36,409.00",175.66K,0.60%
2022년 01월 03일,"36,455.00","36,304.00","36,472.00","36,120.00",158.89K,0.63%
2021년 12월 31일,"36,226.00","36,296.00","36,371.00","36,121.00",76.94K,-0.18%
2021년 12월 30일,"36,291.00","36,394.00","36,572.00","36,255.00",85.64K,-0.25%
2021년 12월 29일,"36,381.00","36,278.00","36,463.00","36,250.00",94.68K,0.27%
2021년 12월 28일,"36,282.00","36,180.00","36,408.00","36,113.00",115.49K,0.29%
2021년 12월 27일,"36,178.00","35,831.00","36,206.00","35,759.00",91.65K,0.97%
2021년 12월 23일,"35,832.00","35,647.00","35,946.00","35,625.00",91.40K,0.56%
2021년 12월 22일,"35,632.00","35,405.00","35,662.00","35,286.00",110.14K,0.71%
2021년 12월 21일,"35,381.00","34,907.00","35,413.00","34,858.00",168.39K,1.63%
2021년 12월 20일,"34,813.00","35,253.00","35,328.00","34,547.00",220.12K,-2.42%
2021년 12월 17일,"35,675.79","35,958.00","35,978.00","35,650.00",2.11K,-0.63%
2021년 12월 16일,"35,902.00","35,936.00","36,204.00","35,778.00",36.90K,-0.07%
2021년 12월 15일,"35,926.00","35,551.00","35,969.00","35,389.00",50.02K,1.05%
2021년 12월 14일,"35,552.00","35,680.00","35,785.00","35,437.00",63.72K,-0.26%
2021년 12월 13일,"35,645.00","35,975.00","36,123.00","35,602.00",107.18K,-0.90%
2021년 12월 10일,"35,967.00","35,749.00","35,992.00","35,705.00",129.47K,0.60%
2021년 12월 09일,"35,753.00","35,745.00","35,859.00","35,567.00",137.73K,0.02%
2021년 12월 08일,"35,746.00","35,780.00","35,926.00","35,588.00",154.87K,0.09%
2021년 12월 07일,"35,713.00","35,251.00","35,807.00","35,196.00",173.91K,1.42%
2021년 12월 06일,"35,212.00","34,590.00","35,344.00","34,581.00",229.69K,1.89%
2021년 12월 04일,"34,559.00","34,559.00","34,559.00","34,559.00",-,-0.02%
2021년 12월 03일,"34,566.00","34,715.00","34,795.00","34,247.00",269.20K,-0.16%
2021년 12월 02일,"34,622.00","34,050.00","34,738.00","34,018.00",288.47K,1.82%
2021년 12월 01일,"34,002.00","34,524.00","34,986.00","33,928.00",281.34K,-1.32%
