날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 01월 20일,"2,862.68","2,842.28","2,862.70","2,830.97",395.67M,0.72%
2022년 01월 19일,"2,842.28","2,840.34","2,871.79","2,832.18",463.83M,-0.77%
2022년 01월 18일,"2,864.24","2,898.98","2,902.79","2,857.26",554.04M,-0.89%
2022년 01월 17일,"2,890.10","2,918.55","2,919.67","2,875.98",593.26M,-1.09%
2022년 01월 14일,"2,921.92","2,937.61","2,944.97","2,914.73",532.67M,-1.36%
2022년 01월 13일,"2,962.09","2,979.91","2,982.14","2,958.39",604.87M,-0.35%
2022년 01월 12일,"2,972.48","2,950.78","2,972.58","2,950.31",519.50M,1.54%
2022년 01월 11일,"2,927.38","2,930.93","2,943.57","2,909.82",566.17M,0.02%
2022년 01월 10일,"2,926.72","2,947.37","2,951.12","2,910.90",477.40M,-0.95%
2022년 01월 07일,"2,954.89","2,933.78","2,959.03","2,933.10",546.17M,1.18%
2022년 01월 06일,"2,920.53","2,925.40","2,952.54","2,915.38",786.04M,-1.13%
2022년 01월 05일,"2,953.97","2,984.05","2,986.20","2,936.73",787.35M,-1.18%
2022년 01월 04일,"2,989.24","2,991.97","2,995.25","2,973.08",621.55M,0.02%
2022년 01월 03일,"2,988.77","2,998.32","3,010.77","2,979.42",435.82M,0.37%
2021년 12월 30일,"2,977.65","2,999.75","3,005.36","2,975.74",461.04M,-0.52%
2021년 12월 29일,"2,993.29","3,002.90","3,007.72","2,988.67",545.83M,-0.89%
2021년 12월 28일,"3,020.24","3,006.77","3,020.29","2,991.55",607.05M,0.69%
2021년 12월 27일,"2,999.55","3,013.94","3,017.31","2,999.30",475.36M,-0.43%
2021년 12월 24일,"3,012.43","3,009.48","3,025.77","3,009.48",537.55M,0.48%
2021년 12월 23일,"2,998.17","2,998.02","3,000.70","2,980.91",483.84M,0.46%
2021년 12월 22일,"2,984.48","2,993.50","3,000.79","2,976.65",461.76M,0.32%
2021년 12월 21일,"2,975.03","2,981.67","2,984.56","2,955.90",410.98M,0.41%
2021년 12월 20일,"2,963.00","3,001.33","3,001.33","2,962.07",377.58M,-1.81%
2021년 12월 17일,"3,017.73","2,985.20","3,017.73","2,984.19",451.82M,0.38%
2021년 12월 16일,"3,006.41","3,013.26","3,018.20","2,989.63",402.82M,0.57%
2021년 12월 15일,"2,989.39","2,979.83","2,992.30","2,973.00",432.87M,0.05%
2021년 12월 14일,"2,987.95","2,983.95","3,001.70","2,976.16",581.57M,-0.46%
2021년 12월 13일,"3,001.66","3,019.67","3,043.83","3,000.51",375.83M,-0.28%
2021년 12월 10일,"3,010.23","3,008.70","3,017.64","2,998.29",451.60M,-0.64%
2021년 12월 09일,"3,029.57","3,007.00","3,029.57","3,001.55",513.44M,0.93%
2021년 12월 08일,"3,001.80","3,017.93","3,036.13","2,995.34",488.25M,0.34%
2021년 12월 07일,"2,991.72","2,973.84","2,992.31","2,960.90",541.37M,0.62%
2021년 12월 06일,"2,973.25","2,954.82","2,983.50","2,932.49",479.91M,0.17%
2021년 12월 03일,"2,968.33","2,935.93","2,975.44","2,927.55",486.75M,0.78%
2021년 12월 02일,"2,945.27","2,874.64","2,945.27","2,874.64",534.46M,1.57%
2021년 12월 01일,"2,899.72","2,860.12","2,905.74","2,837.03",563.93M,2.14%
