날짜,종가,오픈,고가,저가,거래량,변동 %
2022년 03월 03일,"4,359.25","4,373.75","4,418.75","4,341.00",1.55M,-0.51%
2022년 03월 02일,"4,381.75","4,308.75","4,399.25","4,278.25",1.71M,1.81%
2022년 03월 01일,"4,303.75","4,367.50","4,399.00","4,275.00",1.87M,-1.47%
2022년 02월 28일,"4,368.00","4,299.50","4,385.50","4,251.50",2.19M,-0.27%
2022년 02월 25일,"4,380.00","4,266.75","4,384.25","4,227.50",1.95M,2.24%
2022년 02월 24일,"4,284.00","4,215.50","4,290.00","4,101.75",2.95M,1.47%
2022년 02월 23일,"4,222.00","4,310.75","4,345.50","4,212.50",1.91M,-1.81%
2022년 02월 22일,"4,300.00","4,324.25","4,391.25","4,250.00",2.59M,0.66%
2022년 02월 21일,"4,272.00","4,321.75","4,390.75","4,250.25",479.36K,-1.17%
2022년 02월 20일,"4,322.75","4,326.00","4,332.50","4,317.00",21.12K,-0.48%
2022년 02월 18일,"4,343.50","4,374.75","4,411.50","4,321.00",1.82M,-0.71%
2022년 02월 17일,"4,374.50","4,464.25","4,474.75","4,367.25",1.63M,-2.14%
2022년 02월 16일,"4,470.00","4,458.75","4,484.50","4,422.75",1.43M,0.12%
2022년 02월 15일,"4,464.50","4,393.50","4,468.00","4,381.75",1.52M,1.60%
2022년 02월 14일,"4,394.00","4,411.75","4,428.00","4,354.00",2.10M,-0.35%
2022년 02월 11일,"4,409.50","4,494.50","4,520.50","4,393.25",2.48M,-1.96%
2022년 02월 10일,"4,497.50","4,582.25","4,583.75","4,476.00",2.40M,-1.75%
2022년 02월 09일,"4,577.75","4,519.00","4,585.00","4,517.25",1.38M,1.45%
2022년 02월 08일,"4,512.50","4,484.00","4,523.75","4,456.25",1.46M,0.82%
2022년 02월 07일,"4,475.75","4,497.00","4,514.50","4,462.75",1.50M,-0.37%
2022년 02월 04일,"4,492.50","4,518.00","4,532.50","4,438.50",1.96M,0.53%
2022년 02월 03일,"4,469.00","4,545.75","4,548.25","4,462.00",1.80M,-2.36%
2022년 02월 02일,"4,577.25","4,552.00","4,586.00","4,535.25",1.62M,0.93%
2022년 02월 01일,"4,535.00","4,493.25","4,554.75","4,474.00",1.62M,0.68%
2022년 01월 31일,"4,504.25","4,423.50","4,507.75","4,395.50",1.85M,1.83%
2022년 01월 28일,"4,423.25","4,348.00","4,426.00","4,266.25",2.25M,2.44%
2022년 01월 27일,"4,317.75","4,345.25","4,422.00","4,263.25",2.30M,-0.55%
2022년 01월 26일,"4,341.50","4,308.75","4,446.25","4,294.25",2.42M,-0.17%
2022년 01월 25일,"4,349.00","4,402.75","4,406.75","4,276.50",2.48M,-1.24%
2022년 01월 24일,"4,403.75","4,389.00","4,427.50","4,212.75",3.85M,0.31%
2022년 01월 21일,"4,390.00","4,454.25","4,487.00","4,381.25",3.01M,-1.89%
2022년 01월 20일,"4,474.75","4,526.00","4,594.25","4,437.75",2.04M,-1.09%
2022년 01월 19일,"4,524.25","4,577.75","4,603.00","4,517.25",2.00M,-1.03%
2022년 01월 18일,"4,571.25","4,666.00","4,671.75","4,560.00",2.27M,-1.84%
2022년 01월 17일,"4,657.00","4,660.75","4,666.00","4,648.75",171.78K,0.01%
2022년 01월 16일,"4,656.75","4,671.25","4,671.25","4,655.00",17.47K,0.04%
2022년 01월 14일,"4,654.75","4,655.00","4,667.00","4,606.00",2.01M,0.06%
2022년 01월 13일,"4,652.00","4,719.25","4,736.25","4,642.50",1.82M,-1.36%
2022년 01월 12일,"4,716.25","4,704.00","4,739.50","4,695.00",1.58M,0.24%
2022년 01월 11일,"4,705.00","4,663.50","4,707.50","4,627.25",1.73M,0.92%
2022년 01월 10일,"4,662.25","4,671.25","4,681.75","4,572.75",2.23M,-0.12%
2022년 01월 07일,"4,667.75","4,695.00","4,705.75","4,653.75",1.62M,-0.42%
2022년 01월 06일,"4,687.50","4,692.00","4,715.75","4,662.00",1.86M,-0.11%
2022년 01월 05일,"4,692.50","4,783.50","4,788.25","4,689.50",1.86M,-1.92%
2022년 01월 04일,"4,784.25","4,785.25","4,808.25","4,764.50",1.39M,-0.04%
2022년 01월 03일,"4,786.00","4,771.00","4,791.25","4,747.50",1.32M,0.58%
2021년 12월 31일,"4,758.50","4,773.75","4,778.50","4,750.50",954.08K,-0.29%
2021년 12월 30일,"4,772.25","4,784.75","4,799.75","4,767.25",753.94K,-0.26%
2021년 12월 29일,"4,784.50","4,781.00","4,796.00","4,770.00",876.03K,0.13%
2021년 12월 28일,"4,778.50","4,780.50","4,798.00","4,770.50",954.52K,-0.08%
2021년 12월 27일,"4,782.25","4,717.00","4,784.25","4,713.25",898.70K,1.41%
2021년 12월 23일,"4,715.75","4,689.00","4,731.25","4,684.25",978.02K,0.63%
2021년 12월 22일,"4,686.00","4,641.75","4,690.50","4,622.25",1.10M,0.98%
2021년 12월 21일,"4,640.75","4,567.75","4,643.00","4,565.75",1.49M,1.80%
2021년 12월 20일,"4,558.50","4,612.00","4,621.50","4,520.25",2.10M,-1.68%
2021년 12월 17일,"4,636.46","4,674.25","4,677.75","4,629.50",34.79K,-0.69%
2021년 12월 16일,"4,668.75","4,711.50","4,752.50","4,651.25",435.99K,-0.87%
2021년 12월 15일,"4,709.50","4,637.75","4,715.00","4,611.25",673.19K,1.56%
2021년 12월 14일,"4,637.00","4,672.00","4,686.00","4,606.00",1.21M,-0.68%
2021년 12월 13일,"4,668.75","4,711.25","4,731.00","4,664.75",1.61M,-0.90%
2021년 12월 10일,"4,711.00","4,669.25","4,712.75","4,664.25",1.59M,0.94%
2021년 12월 09일,"4,667.00","4,697.25","4,706.00","4,662.25",1.59M,-0.68%
2021년 12월 08일,"4,699.00","4,695.25","4,712.00","4,671.75",1.42M,0.30%
2021년 12월 07일,"4,685.00","4,594.25","4,697.25","4,587.25",1.77M,2.07%
2021년 12월 06일,"4,590.00","4,542.25","4,611.75","4,531.50",2.03M,1.25%
2021년 12월 04일,"4,533.25","4,533.25","4,533.25","4,533.25",-,-0.09%
2021년 12월 03일,"4,537.50","4,587.25","4,606.50","4,492.00",2.75M,-0.84%
2021년 12월 02일,"4,575.75","4,514.75","4,593.75","4,505.50",2.59M,1.49%
2021년 12월 01일,"4,508.50","4,587.50","4,650.75","4,497.75",2.67M,-1.26%
