날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 12월 24일,"1,007.42","1,008.05","1,010.98","1,005.61",1.24B,0.41%
2021년 12월 23일,"1,003.31","1,004.45","1,007.42","1,001.48",1.44B,0.32%
2021년 12월 22일,"1,000.13","1,004.10","1,005.23",999.05,1.18B,0.35%
2021년 12월 21일,996.6,994.53,997.3,982.43,1.37B,0.61%
2021년 12월 20일,990.51,"1,001.17","1,004.75",990.51,1.01B,-1.07%
2021년 12월 17일,"1,001.26","1,001.51","1,005.36",995.93,1.10B,-0.65%
2021년 12월 16일,"1,007.86","1,013.05","1,016.32","1,006.90",1.34B,0.43%
2021년 12월 15일,"1,003.52","1,002.18","1,007.44",999.21,1.13B,0.07%
2021년 12월 14일,"1,002.81","1,001.11","1,007.73",996.85,1.08B,-0.31%
2021년 12월 13일,"1,005.96","1,014.27","1,014.90","1,005.96",1.34B,-0.55%
2021년 12월 10일,"1,011.57","1,016.34","1,018.42","1,010.02",1.15B,-1.10%
2021년 12월 09일,"1,022.87","1,009.29","1,022.87","1,009.29",1.06B,1.67%
2021년 12월 08일,"1,006.04","1,006.61","1,012.64","1,003.92",1.07B,0.94%
2021년 12월 07일,996.64,996.89,999.52,991.07,1.02B,0.48%
2021년 12월 06일,991.87,990.07,994.15,980.87,1.06B,-0.66%
2021년 12월 03일,998.47,981.65,998.49,977.91,1.21B,2.15%
2021년 12월 02일,977.43,967.34,978.16,961.98,1.09B,0.03%
2021년 12월 01일,977.15,969.9,977.73,949.86,1.08B,1.19%
