"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 08- 09","95,100","96,000","96,000","94,500","0.10K","-1.25%"
"2022- 08- 08","96,300","97,600","97,600","95,800","0.19K","-2.23%"
"2022- 08- 07","98,500","98,500","98,500","98,500","","0.00%"
"2022- 08- 05","98,500","98,100","98,700","97,400","1.97M","1.03%"
"2022- 08- 04","97,500","98,000","98,100","97,100","0.11K","0.00%"
"2022- 08- 03","97,500","96,900","97,500","96,100","1.60M","1.04%"
"2022- 08- 02","96,500","97,200","97,200","96,200","1.86M","-0.62%"
"2022- 08- 01","97,100","97,200","98,100","96,600","0.58K","-0.82%"
"2022- 07- 31","97,900","97,900","97,900","97,900","","0.00%"
"2022- 07- 29","97,900","99,900","100,000","97,400","3.88M","-1.51%"
"2022- 07- 28","99,400","101,500","101,500","98,900","0.59K","-0.60%"
"2022- 07- 27","100,000","101,000","101,500","98,600","3.14M","-0.50%"
"2022- 07- 26","100,500","100,500","101,000","99,100","1.61M","0.50%"
"2022- 07- 25","100,000","99,000","101,500","99,000","5.62K","0.00%"
"2022- 07- 24","100,000","100,000","100,000","100,000","","0.00%"
"2022- 07- 22","100,000","102,500","102,500","100,000","3.10M","-2.44%"
"2022- 07- 21","102,500","102,000","103,000","100,500","2.14M","0.49%"
"2022- 07- 20","102,000","103,000","104,500","101,000","0.01K","2.00%"
"2022- 07- 19","100,000","100,000","100,500","98,700","2.69M","-0.99%"
"2022- 07- 18","101,000","101,000","103,500","100,000","4.55M","2.33%"
"2022- 07- 17","98,700","98,700","98,700","98,700","","0.00%"
"2022- 07- 15","98,700","95,900","99,000","95,500","4.44M","5.00%"
"2022- 07- 14","94,000","92,900","95,500","92,300","0.02K","0.00%"
"2022- 07- 13","94,000","94,500","96,400","93,800","3.07K","0.75%"
"2022- 07- 12","93,300","93,700","93,900","91,700","0.04K","-0.43%"
"2022- 07- 11","93,700","95,100","95,700","93,500","0.03K","-1.16%"
"2022- 07- 10","94,800","94,800","94,800","94,800","","0.00%"
"2022- 07- 08","94,800","95,900","96,500","94,500","2.81M","0.96%"
"2022- 07- 07","93,900","91,400","95,200","91,400","0.01K","1.95%"
"2022- 07- 06","92,100","92,800","93,600","90,900","3.97M","-0.43%"
"2022- 07- 05","92,500","90,400","93,400","90,400","5.46K","3.82%"
"2022- 07- 04","89,100","87,700","89,600","86,400","0.24K","1.83%"
"2022- 07- 03","87,500","87,500","87,500","87,500","","0.00%"
"2022- 07- 01","87,500","91,000","92,500","87,100","4.65M","-3.85%"
"2022- 06- 30","91,000","92,200","93,000","91,000","12.09K","-3.19%"
"2022- 06- 29","94,000","93,300","94,900","92,900","0.37K","-1.36%"
"2022- 06- 28","95,300","94,500","95,300","93,700","0.00K","0.32%"
"2022- 06- 27","95,000","92,800","96,100","92,700","1.12K","3.71%"
"2022- 06- 24","91,600","90,500","92,000","90,500","3.03M","1.55%"
"2022- 06- 23","90,200","92,100","93,000","89,800","0.91K","-2.17%"
"2022- 06- 22","92,200","95,600","95,600","91,700","5.45K","-3.15%"
"2022- 06- 21","95,200","94,800","95,900","93,900","0.05K","0.74%"
"2022- 06- 20","94,500","96,700","96,700","93,100","2.10K","-1.97%"
"2022- 06- 19","96,400","96,400","96,400","96,400","","0.00%"
"2022- 06- 17","96,400","95,100","96,400","95,000","3.85M","-1.03%"
"2022- 06- 16","97,400","99,800","101,500","97,200","0.11K","-0.51%"
"2022- 06- 15","97,900","98,600","98,900","96,700","0.25K","-1.21%"
"2022- 06- 14","99,100","96,800","99,600","96,800","3.75K","0.10%"
"2022- 06- 13","99,000","100,500","101,000","99,000","0.06K","-4.35%"
"2022- 06- 12","103,500","103,500","103,500","103,500","","0.00%"
"2022- 06- 10","103,500","104,000","104,500","102,500","3.47M","-1.90%"
"2022- 06- 09","105,500","106,000","107,000","104,500","0.48K","-0.47%"
"2022- 06- 08","106,000","104,500","107,500","104,500","2.98M","1.92%"
"2022- 06- 07","104,000","105,500","106,000","103,500","3.13M","-2.80%"
"2022- 06- 06","107,000","107,000","107,000","107,000","","0.00%"
"2022- 06- 03","107,000","108,000","108,500","107,000","1.62M","0.00%"
"2022- 06- 02","107,000","106,000","107,500","106,000","3.07M","-0.93%"
"2022- 06- 01","108,000","108,000","108,000","108,000","","0.00%"
"2022- 05- 31","108,000","106,500","108,000","105,500","3.97M","0.93%"
"2022- 05- 30","107,000","108,000","108,000","106,000","1.99M","0.94%"
