,date,bond_usa_2,open,high,low,bond_usa_2_cr
139,2020-06-17,0.1952,0.205,0.205,0.193,-0.96%
140,2020-06-18,0.1953,0.195,0.199,0.189,0.05%
141,2020-06-19,0.1896,0.195,0.2,0.182,-2.92%
142,2020-06-21,0.1896,0.1876,0.1896,0.1876,0.00%
143,2020-06-22,0.1957,0.188,0.196,0.182,3.22%
144,2020-06-23,0.1898,0.194,0.198,0.188,-3.01%
145,2020-06-24,0.1876,0.192,0.197,0.186,-1.16%
146,2020-06-25,0.1876,0.19,0.19,0.178,0.00%
147,2020-06-26,0.168,0.186,0.188,0.164,-10.45%
148,2020-06-28,0.1641,0.1661,0.1661,0.1641,-2.32%
149,2020-06-29,0.1524,0.164,0.17,0.15,-7.13%
150,2020-06-30,0.1544,0.15,0.156,0.145,1.31%
151,2020-07-01,0.1642,0.152,0.168,0.15,6.35%
152,2020-07-02,0.1546,0.162,0.174,0.153,-5.85%
153,2020-07-05,0.1546,0.1526,0.1546,0.1526,0.00%
154,2020-07-06,0.1586,0.155,0.167,0.155,2.59%
155,2020-07-07,0.1606,0.159,0.165,0.155,1.26%
156,2020-07-08,0.1626,0.159,0.167,0.155,1.25%
157,2020-07-09,0.1528,0.161,0.165,0.145,-6.03%
158,2020-07-10,0.1569,0.155,0.157,0.135,2.68%
159,2020-07-12,0.1489,0.1489,0.1489,0.1489,-5.10%
160,2020-07-13,0.1549,0.151,0.165,0.147,4.03%
161,2020-07-14,0.159,0.159,0.161,0.147,2.65%
162,2020-07-15,0.157,0.161,0.163,0.149,-1.26%
163,2020-07-16,0.147,0.153,0.157,0.145,-6.37%
164,2020-07-17,0.1431,0.147,0.151,0.139,-2.65%
165,2020-07-20,0.1492,0.147,0.151,0.141,4.26%
166,2020-07-21,0.1432,0.149,0.153,0.139,-4.02%
167,2020-07-22,0.1533,0.141,0.153,0.137,7.05%
168,2020-07-23,0.1533,0.1473,0.1796,0.145,0.00%
169,2020-07-24,0.1494,0.1575,0.1656,0.145,-2.54%
170,2020-07-26,0.1494,0.1474,0.1494,0.1474,0.00%
171,2020-07-27,0.1535,0.149,0.16,0.141,2.74%
172,2020-07-28,0.1426,0.152,0.154,0.139,-7.10%
173,2020-07-29,0.1328,0.143,0.147,0.127,-6.87%
174,2020-07-30,0.1211,0.131,0.133,0.117,-8.81%
175,2020-07-31,0.1093,0.119,0.121,0.107,-9.74%
176,2020-08-02,0.1073,0.1073,0.1073,0.1073,-1.83%
177,2020-08-03,0.1132,0.107,0.115,0.107,5.50%
178,2020-08-04,0.1092,0.113,0.115,0.107,-3.53%
179,2020-08-05,0.1191,0.113,0.121,0.109,9.07%
180,2020-08-06,0.1171,0.119,0.119,0.109,-1.68%
181,2020-08-07,0.129,0.117,0.131,0.113,10.16%
182,2020-08-09,0.129,0.129,0.129,0.129,0.00%
183,2020-08-10,0.1309,0.127,0.133,0.119,1.47%
184,2020-08-11,0.1529,0.133,0.161,0.131,16.81%
185,2020-08-12,0.1609,0.147,0.163,0.147,5.23%
