,date,ixf,open,high,low,volume,ixf_cr
110,2022-05-27,5242.3,5141.2,5242.3,5141.2,,2.33
111,2022-05-31,5218.3,5215.9,5252.8,5156.0,,-0.46
112,2022-06-01,5119.9,5215.7,5230.0,5068.4,,-1.88
113,2022-06-02,5250.9,5119.1,5251.9,5112.0,,2.56
114,2022-06-03,5154.0,5192.6,5196.0,5142.5,,-1.84
115,2022-06-06,5185.3,5218.0,5262.9,5178.3,,0.61
116,2022-06-07,5231.4,5136.0,5232.6,5128.0,,0.89
117,2022-06-08,5145.8,5191.5,5216.0,5128.8,,-1.64
118,2022-06-09,5012.4,5130.9,5130.9,5012.4,,-2.59
119,2022-06-10,4855.2,4910.1,4934.0,4847.3,,-3.14
120,2022-06-13,4696.0,4711.7,4766.3,4655.9,,-3.28
121,2022-06-14,4690.8,4718.2,4747.0,4656.5,,-0.11
122,2022-06-15,4750.3,4739.0,4821.3,4675.6,,1.27
123,2022-06-16,4585.2,4648.4,4649.0,4561.3,,-3.48
124,2022-06-17,4644.1,4614.3,4675.6,4594.0,,1.29
125,2022-06-21,4749.1,4739.0,4764.9,4710.8,,2.26
126,2022-06-22,4746.3,4681.9,4777.5,4681.6,,-0.06
127,2022-06-23,4760.2,4759.9,4778.0,4689.8,,0.29
128,2022-06-24,4911.9,4800.0,4913.0,4797.0,,3.19
129,2022-06-27,4897.0,4936.1,4938.7,4870.8,,-0.3
130,2022-06-28,4834.0,4930.1,4971.2,4831.3,,-1.29
131,2022-06-29,4787.6,4825.4,4827.9,4769.7,,-0.96
132,2022-06-30,4743.0,4707.5,4787.2,4653.6,,-0.93
133,2022-07-01,4802.0,4731.3,4806.7,4698.8,,1.24
134,2022-07-05,4841.0,4722.9,4841.5,4676.4,,0.81
135,2022-07-06,4792.2,4823.5,4844.9,4770.2,,-1.01
136,2022-07-07,4871.2,4835.2,4876.5,4834.5,,1.65
137,2022-07-08,4846.4,4863.7,4889.1,4824.2,,-0.51
138,2022-07-11,4777.3,4800.3,4811.4,4768.2,,-1.43
139,2022-07-12,4756.0,4760.5,4831.6,4741.0,,-0.45
140,2022-07-13,4706.4,4706.3,4731.9,4657.6,,-1.04
141,2022-07-14,4623.5,4629.5,4633.1,4575.8,,-1.76
142,2022-07-15,4753.2,4689.8,4765.7,4654.5,,2.8
143,2022-07-18,4747.1,4807.0,4839.3,4731.8,,-0.13
144,2022-07-19,4889.7,4800.3,4899.8,4797.3,,3.0
145,2022-07-20,4948.1,4878.9,4956.6,4874.0,,1.19
146,2022-07-21,4981.6,4924.3,4983.0,4900.7,,0.68
147,2022-07-22,4904.8,4964.0,4981.8,4868.8,,-1.54
148,2022-07-25,4948.6,4930.8,4962.5,4907.3,,0.89
149,2022-07-26,4869.4,4903.9,4927.8,4858.9,,-1.6
150,2022-07-27,4937.3,4888.9,4964.5,4874.8,,1.39
151,2022-07-28,4965.4,4928.1,4966.9,4855.4,,0.57
152,2022-07-29,5034.5,4955.8,5051.9,4955.7,,1.39
153,2022-08-01,5008.1,4991.8,5020.1,4965.5,,-0.52
154,2022-08-02,4989.1,4981.9,5034.5,4953.9,,-0.38
155,2022-08-03,5096.7,5030.3,5112.0,5013.5,,2.16
156,2022-08-04,5107.9,5129.9,5152.2,5101.0,,0.22
157,2022-08-05,5140.3,5081.3,5158.5,5078.1,,0.63
158,2022-08-08,5159.4,5173.5,5207.3,5149.3,,0.37
159,2022-08-09,5147.0,5147.3,5157.6,5115.0,,-0.24
160,2022-08-10,5250.8,5214.9,5270.6,5214.8,,2.02
161,2022-08-11,5270.2,5290.1,5328.2,5255.7,,0.37
162,2022-08-12,5369.7,5308.7,5369.8,5286.8,,1.89
163,2022-08-15,5392.7,5320.4,5396.9,5320.4,,0.43
164,2022-08-16,5429.9,5369.8,5455.6,5366.5,,0.69
165,2022-08-17,5377.0,5368.8,5400.9,5339.4,,-0.97
166,2022-08-18,5383.1,5380.2,5391.1,5351.7,,0.11
167,2022-08-19,5247.8,5323.7,5324.7,5233.7,,-2.51
