,date,ixk,open,high,low,volume,ixk_cr
84,2022-04-27,9473.3798828125,9430.7197265625,9659.08984375,9412.5498046875,980500,0.09%
85,2022-04-28,9907.23046875,9720.2001953125,9974.2900390625,9587.7099609375,1101400,4.58%
86,2022-04-29,9511.7001953125,9794.3701171875,9953.0498046875,9497.099609375,1052700,-3.99%
87,2022-05-02,9715.1103515625,9512.7001953125,9724.1103515625,9436.0,943500,2.14%
88,2022-05-03,9734.900390625,9680.080078125,9804.650390625,9634.9599609375,917300,0.20%
89,2022-05-04,10092.0595703125,9758.099609375,10113.26953125,9566.9697265625,1093200,3.67%
90,2022-05-05,9562.1796875,9937.7998046875,9940.419921875,9448.8701171875,1054900,-5.25%
91,2022-05-06,9469.169921875,9495.349609375,9648.0,9321.4501953125,983100,-0.97%
92,2022-05-09,9072.849609375,9293.490234375,9349.759765625,9035.0703125,1264500,-4.19%
93,2022-05-10,9229.6201171875,9327.0,9366.3701171875,9078.75,1300600,1.73%
94,2022-05-11,8903.3896484375,9133.3896484375,9326.509765625,8881.1904296875,1147600,-3.53%
95,2022-05-12,8827.1201171875,8749.4296875,8982.7998046875,8619.0498046875,1254900,-0.86%
96,2022-05-13,9166.25,8955.7802734375,9221.7099609375,8908.08984375,1095200,3.84%
97,2022-05-16,9061.48046875,9072.650390625,9189.8701171875,9006.5703125,910900,-1.14%
98,2022-05-17,9310.5498046875,9277.76953125,9321.2197265625,9139.91015625,1038400,2.75%
99,2022-05-18,8852.91015625,9163.1201171875,9196.8896484375,8824.2197265625,1051500,-4.92%
100,2022-05-19,8792.3896484375,8833.0400390625,8961.8603515625,8775.8798828125,1015000,-0.68%
101,2022-05-20,8779.5595703125,8938.23046875,8951.5302734375,8500.23046875,1087600,-0.15%
102,2022-05-23,8970.4599609375,8789.33984375,8988.1298828125,8768.3603515625,822200,2.17%
103,2022-05-24,8729.0400390625,8767.6904296875,8795.849609375,8556.91015625,929600,-2.69%
104,2022-05-25,8839.4697265625,8679.8603515625,8907.7998046875,8664.259765625,854700,1.27%
105,2022-05-26,9070.0,8752.9697265625,9108.33984375,8748.16015625,962100,2.61%
106,2022-05-27,9406.990234375,9194.1103515625,9407.599609375,9174.1904296875,872700,3.72%
107,2022-05-31,9359.4501953125,9407.0498046875,9460.26953125,9252.5498046875,1088400,-0.51%
108,2022-06-01,9315.5703125,9455.9296875,9537.73046875,9249.7197265625,828200,-0.47%
109,2022-06-02,9578.5,9245.1904296875,9579.9501953125,9204.4296875,1068300,2.82%
110,2022-06-03,9302.0498046875,9369.41015625,9436.5302734375,9259.41015625,891700,-2.89%
111,2022-06-06,9335.4501953125,9450.2099609375,9504.099609375,9282.7001953125,846100,0.36%
112,2022-06-07,9449.150390625,9232.4404296875,9465.169921875,9202.7099609375,764500,1.22%
113,2022-06-08,9368.990234375,9423.490234375,9487.2900390625,9339.1103515625,976800,-0.85%
114,2022-06-09,9100.73046875,9296.8798828125,9404.3203125,9097.1796875,1347400,-2.86%
115,2022-06-10,8734.4296875,8927.849609375,8961.4599609375,8733.01953125,1115600,-4.02%
116,2022-06-13,8313.0,8441.25,8528.240234375,8289.6904296875,1113000,-4.82%
117,2022-06-14,8357.6103515625,8390.6396484375,8431.3095703125,8284.9296875,836100,0.54%
118,2022-06-15,8570.58984375,8486.4404296875,8694.1796875,8379.2900390625,896900,2.55%
119,2022-06-16,8207.009765625,8328.4697265625,8361.6298828125,8143.56005859375,1056800,-4.24%
120,2022-06-17,8304.2998046875,8239.3203125,8380.3701171875,8160.43017578125,1401100,1.19%
121,2022-06-21,8522.0703125,8429.6201171875,8602.23046875,8429.6201171875,924200,2.62%
122,2022-06-22,8487.8095703125,8427.5703125,8627.6103515625,8422.51953125,1393900,-0.40%
123,2022-06-23,8619.9599609375,8554.01953125,8642.5703125,8479.9296875,1030200,1.56%
124,2022-06-24,8953.669921875,8736.7998046875,8959.900390625,8734.2998046875,1481900,3.87%
125,2022-06-27,8881.75,9005.400390625,9019.26953125,8845.8603515625,850500,-0.80%
126,2022-06-28,8596.330078125,8887.099609375,8970.0498046875,8593.4599609375,894900,-3.21%
127,2022-06-29,8612.2001953125,8578.58984375,8669.900390625,8518.3603515625,822800,0.18%
128,2022-06-30,8469.26953125,8511.400390625,8588.1298828125,8322.169921875,1104000,-1.66%
129,2022-07-01,8473.23046875,8426.0,8490.490234375,8329.0302734375,923300,0.05%
130,2022-07-05,8664.849609375,8341.4697265625,8667.240234375,8306.900390625,934700,2.26%
131,2022-07-06,8740.5498046875,8689.7001953125,8811.8203125,8625.919921875,951300,0.87%
132,2022-07-07,8965.4296875,8803.849609375,8984.990234375,8784.0498046875,944700,2.57%
133,2022-07-08,8980.2001953125,8844.4296875,9008.3603515625,8833.5703125,952500,0.16%
134,2022-07-11,8784.8203125,8871.4599609375,8882.58984375,8735.8095703125,870000,-2.18%
135,2022-07-12,8669.0595703125,8840.6904296875,8889.2900390625,8622.5595703125,857600,-1.32%
136,2022-07-13,8628.5595703125,8493.759765625,8688.9501953125,8469.4296875,1125000,-0.47%
137,2022-07-14,8677.330078125,8562.6904296875,8711.5,8440.98046875,993800,0.57%
138,2022-07-15,8825.0703125,8780.8896484375,8827.669921875,8718.25,934600,1.70%
139,2022-07-18,8723.25,8907.0302734375,8959.66015625,8692.0,1576800,-1.15%
140,2022-07-19,9017.3798828125,8845.7001953125,9025.7099609375,8781.1904296875,1920900,3.37%
141,2022-07-20,9181.599609375,9026.0595703125,9227.490234375,8991.150390625,1446300,1.82%
142,2022-07-21,9294.9501953125,9191.1796875,9295.8798828125,9072.7802734375,1125700,1.23%
143,2022-07-22,9057.7802734375,9226.0400390625,9276.2099609375,9005.8896484375,1152300,-2.55%
144,2022-07-25,8987.900390625,9048.990234375,9076.66015625,8923.2998046875,919300,-0.77%
145,2022-07-26,8798.8203125,8951.490234375,8961.580078125,8766.0400390625,810200,-2.10%
146,2022-07-27,9253.41015625,8999.5595703125,9296.5400390625,8956.9697265625,986600,5.17%
147,2022-07-28,9348.8095703125,9233.2197265625,9364.8896484375,9130.2197265625,962600,1.03%
148,2022-07-29,9505.5498046875,9372.2197265625,9532.8203125,9324.1796875,1025500,1.68%
