,date,ixtr,open,high,low,volume,ixtr_cr
47,2022-03-04,6029.39990234375,6008.4599609375,6055.83984375,5959.02978515625,388400,-0.56%
48,2022-03-07,5781.68017578125,6016.31982421875,6025.009765625,5778.2099609375,634800,-4.11%
49,2022-03-08,5733.56005859375,5801.68994140625,5886.52978515625,5718.56982421875,471000,-0.83%
50,2022-03-09,5856.68017578125,5896.60009765625,5900.08984375,5815.39013671875,355700,2.15%
51,2022-03-10,5868.16015625,5765.990234375,5890.919921875,5749.259765625,239400,0.20%
52,2022-03-11,5802.35986328125,5928.830078125,5949.009765625,5798.89990234375,200800,-1.12%
53,2022-03-14,5722.5400390625,5825.68017578125,5831.83984375,5684.35009765625,0,-1.38%
54,2022-03-15,5842.08984375,5819.27978515625,5857.490234375,5767.2099609375,0,2.09%
55,2022-03-16,6125.75,5906.39013671875,6127.25,5906.18017578125,0,4.86%
56,2022-03-17,6187.64013671875,6091.6298828125,6188.14990234375,6074.10986328125,0,1.01%
57,2022-03-18,6224.169921875,6146.85009765625,6227.27001953125,6128.43994140625,0,0.59%
58,2022-03-21,6179.669921875,6188.77978515625,6220.06982421875,6136.31982421875,0,-0.71%
59,2022-03-22,6223.81005859375,6203.18994140625,6242.75,6186.669921875,191100,0.71%
60,2022-03-23,6119.47021484375,6195.91015625,6200.93994140625,6118.56005859375,231900,-1.68%
61,2022-03-24,6184.3701171875,6159.990234375,6190.0400390625,6124.14013671875,276500,1.06%
62,2022-03-25,6189.06982421875,6192.75,6199.33984375,6108.93017578125,206100,0.08%
63,2022-03-28,6248.64990234375,6203.5,6249.35986328125,6169.1201171875,165200,0.96%
64,2022-03-29,6349.68994140625,6325.1201171875,6353.93017578125,6285.2900390625,221100,1.62%
65,2022-03-30,6279.18994140625,6323.85009765625,6344.2900390625,6260.7900390625,182900,-1.11%
66,2022-03-31,6183.52978515625,6284.990234375,6298.97021484375,6181.759765625,162300,-1.52%
67,2022-04-01,5934.81005859375,6205.5498046875,6215.77001953125,5906.31005859375,173300,-4.02%
68,2022-04-04,5928.27978515625,5909.43994140625,5935.58984375,5859.1201171875,160900,-0.11%
69,2022-04-05,5793.02978515625,5914.8701171875,5966.10009765625,5781.169921875,198300,-2.28%
70,2022-04-06,5661.22998046875,5714.22021484375,5716.6298828125,5615.4501953125,226800,-2.28%
71,2022-04-07,5655.39990234375,5651.1298828125,5674.77001953125,5545.97998046875,192200,-0.10%
72,2022-04-08,5600.97021484375,5634.58984375,5654.64013671875,5575.47998046875,152900,-0.96%
73,2022-04-11,5591.4501953125,5573.2998046875,5669.66015625,5573.2998046875,157900,-0.17%
74,2022-04-12,5608.18994140625,5618.35986328125,5688.27978515625,5580.6201171875,199400,0.30%
75,2022-04-13,5745.9501953125,5656.35986328125,5754.3798828125,5652.35009765625,230400,2.46%
76,2022-04-14,5753.39990234375,5757.919921875,5784.1201171875,5739.3701171875,231200,0.13%
77,2022-04-18,5719.0,5717.64990234375,5742.919921875,5683.990234375,183400,-0.60%
78,2022-04-19,5859.41015625,5739.16015625,5867.89990234375,5723.06005859375,183100,2.46%
79,2022-04-20,5874.1298828125,5906.18994140625,5933.31982421875,5869.58984375,164500,0.25%
80,2022-04-21,5938.72998046875,6085.22998046875,6100.75,5919.56005859375,265300,1.10%
81,2022-04-22,5790.10986328125,5929.7001953125,5943.4599609375,5787.22021484375,175500,-2.50%
82,2022-04-25,5841.259765625,5752.72021484375,5847.66015625,5702.47021484375,176200,0.88%
83,2022-04-26,5676.58984375,5809.2900390625,5835.22998046875,5676.58984375,164000,-2.82%
84,2022-04-27,5712.240234375,5677.58984375,5751.919921875,5651.419921875,154400,0.63%
85,2022-04-28,5883.14990234375,5785.509765625,5896.509765625,5724.52001953125,183700,2.99%
86,2022-04-29,5717.89990234375,5866.740234375,5912.58984375,5703.8701171875,145600,-2.81%
87,2022-05-02,5736.25,5740.22021484375,5776.169921875,5616.3798828125,168900,0.32%
88,2022-05-03,5805.35009765625,5744.89013671875,5834.509765625,5731.43994140625,143000,1.20%
89,2022-05-04,5986.97998046875,5810.080078125,5997.02001953125,5803.5400390625,170400,3.13%
90,2022-05-05,5812.97998046875,5920.56005859375,5942.0498046875,5757.81982421875,172600,-2.91%
91,2022-05-06,5756.27001953125,5795.9599609375,5818.740234375,5638.669921875,169400,-0.98%
92,2022-05-09,5566.7998046875,5681.0400390625,5709.8701171875,5548.2099609375,197900,-3.29%
93,2022-05-10,5548.39013671875,5649.66015625,5662.27978515625,5475.169921875,252500,-0.33%
94,2022-05-11,5491.35986328125,5555.56005859375,5652.72021484375,5482.02978515625,189800,-1.03%
95,2022-05-12,5486.85986328125,5461.1298828125,5516.22021484375,5364.2900390625,201800,-0.08%
96,2022-05-13,5607.58984375,5544.419921875,5665.2900390625,5544.419921875,174000,2.20%
97,2022-05-16,5540.75,5586.580078125,5610.33984375,5523.58984375,179700,-1.19%
98,2022-05-17,5727.490234375,5644.85986328125,5735.66015625,5616.02001953125,312700,3.37%
99,2022-05-18,5372.72021484375,5670.60986328125,5675.419921875,5360.43994140625,189100,-6.19%
100,2022-05-19,5323.47998046875,5305.0400390625,5430.52978515625,5254.52001953125,190200,-0.92%
101,2022-05-20,5325.02978515625,5375.81982421875,5388.8701171875,5206.89013671875,185400,0.03%
102,2022-05-23,5413.6298828125,5387.169921875,5430.6298828125,5333.080078125,158900,1.66%
103,2022-05-24,5314.43994140625,5361.97998046875,5369.169921875,5253.580078125,165900,-1.83%
104,2022-05-25,5408.330078125,5307.41015625,5431.43994140625,5301.259765625,156500,1.77%
105,2022-05-26,5550.9501953125,5450.06982421875,5574.47998046875,5450.06982421875,188500,2.64%
106,2022-05-27,5658.4599609375,5583.3798828125,5659.22021484375,5581.64990234375,260800,1.94%
107,2022-05-31,5605.35986328125,5598.259765625,5642.72998046875,5543.4599609375,329600,-0.94%
108,2022-06-01,5590.509765625,5633.02001953125,5655.72021484375,5535.56982421875,192800,-0.26%
109,2022-06-02,5696.02978515625,5615.08984375,5697.990234375,5607.72021484375,186500,1.89%
110,2022-06-03,5646.16015625,5644.0400390625,5671.60009765625,5616.169921875,193500,-0.88%
111,2022-06-06,5681.240234375,5685.2001953125,5701.7099609375,5637.580078125,177100,0.62%
112,2022-06-07,5692.0,5602.47021484375,5700.81982421875,5555.2099609375,210900,0.19%
113,2022-06-08,5525.60986328125,5630.169921875,5632.56005859375,5510.02978515625,395800,-2.92%
114,2022-06-09,5405.4599609375,5498.009765625,5524.8798828125,5405.08984375,364300,-2.17%
115,2022-06-10,5251.60009765625,5319.64990234375,5360.9599609375,5244.85009765625,314800,-2.85%
116,2022-06-13,5032.72998046875,5129.60986328125,5147.0400390625,5012.509765625,375200,-4.17%
117,2022-06-14,5066.06005859375,5107.41015625,5145.18994140625,5021.81005859375,307400,0.66%
118,2022-06-15,5114.009765625,5114.22021484375,5176.22998046875,5043.39990234375,255400,0.95%
119,2022-06-16,4916.41015625,4993.43017578125,5002.77001953125,4886.77001953125,412300,-3.86%
120,2022-06-17,4927.580078125,4939.41015625,4969.4501953125,4871.080078125,319100,0.23%
121,2022-06-21,5005.759765625,5012.2001953125,5038.35986328125,4959.5,206200,1.59%
122,2022-06-22,4961.35986328125,4936.490234375,5003.7998046875,4929.2998046875,203100,-0.89%
123,2022-06-23,4991.39990234375,4981.06005859375,4998.2998046875,4913.4501953125,173100,0.61%
124,2022-06-24,5168.27978515625,5026.56005859375,5172.419921875,5024.5400390625,398500,3.54%
125,2022-06-27,5147.18017578125,5204.669921875,5206.97998046875,5134.7998046875,175000,-0.41%
126,2022-06-28,5043.64013671875,5183.81005859375,5239.27001953125,5039.7998046875,164600,-2.01%
127,2022-06-29,5019.35009765625,5040.7998046875,5043.22021484375,4957.7001953125,169200,-0.48%
128,2022-06-30,5002.9501953125,4944.4599609375,5045.93994140625,4910.830078125,170600,-0.33%
129,2022-07-01,5050.7099609375,4995.3798828125,5059.02978515625,4952.27978515625,144100,0.95%
130,2022-07-05,5012.5498046875,4963.740234375,5012.6298828125,4894.75,180200,-0.76%
131,2022-07-06,5022.580078125,5015.10986328125,5049.169921875,4952.830078125,148200,0.20%
132,2022-07-07,5113.56982421875,5070.3701171875,5125.25,5055.08984375,157200,1.81%
133,2022-07-08,5090.83984375,5112.31005859375,5123.31982421875,5038.89990234375,137700,-0.44%
134,2022-07-11,5019.31005859375,5044.39990234375,5071.64013671875,5010.39013671875,112000,-1.41%
135,2022-07-12,5028.9501953125,4996.10986328125,5099.14013671875,4976.22021484375,186200,0.19%
136,2022-07-13,4956.8701171875,4947.33984375,4986.990234375,4907.18017578125,153400,-1.43%
137,2022-07-14,4952.58984375,4886.72998046875,4956.7998046875,4873.240234375,127200,-0.09%
138,2022-07-15,5053.580078125,5038.81005859375,5057.22998046875,4990.10009765625,247000,2.04%
139,2022-07-18,5085.2099609375,5109.02978515625,5156.27978515625,5071.83984375,170600,0.63%
140,2022-07-19,5286.60009765625,5149.830078125,5294.2001953125,5149.830078125,177300,3.96%
141,2022-07-20,5340.64013671875,5261.66015625,5351.080078125,5258.9599609375,185000,1.02%
142,2022-07-21,5363.740234375,5350.830078125,5384.39013671875,5311.080078125,199300,0.43%
143,2022-07-22,5311.43994140625,5377.35986328125,5396.89013671875,5290.85009765625,146200,-0.98%
144,2022-07-25,5330.830078125,5327.4599609375,5343.169921875,5280.06005859375,124900,0.37%
145,2022-07-26,5282.77978515625,5302.3701171875,5339.919921875,5262.919921875,170100,-0.90%
146,2022-07-27,5390.02978515625,5313.18017578125,5407.3798828125,5255.52978515625,198700,2.03%
147,2022-07-28,5548.740234375,5418.08984375,5551.89013671875,5416.31982421875,198000,2.94%
148,2022-07-29,5644.2001953125,5544.2998046875,5658.89990234375,5540.2099609375,138100,1.72%
149,2022-08-01,5673.22021484375,5612.56005859375,5693.41015625,5588.240234375,164400,0.51%
150,2022-08-02,5582.33984375,5623.18994140625,5652.18017578125,5564.93017578125,199100,-1.60%
151,2022-08-03,5658.02001953125,5615.39013671875,5671.02978515625,5602.83984375,166000,1.36%
152,2022-08-04,5700.77978515625,5690.669921875,5717.93017578125,5663.91015625,174200,0.76%
153,2022-08-05,5725.7001953125,5641.10009765625,5728.66015625,5637.14990234375,148500,0.44%
154,2022-08-08,5751.5,5771.22998046875,5795.81982421875,5738.68994140625,159900,0.45%
155,2022-08-09,5684.2001953125,5740.64990234375,5745.75,5670.31982421875,149400,-1.17%
156,2022-08-10,5881.1201171875,5809.89990234375,5906.7099609375,5785.5400390625,163500,3.46%
157,2022-08-11,5893.77001953125,5931.10009765625,5985.08984375,5887.6201171875,0,0.22%
158,2022-08-12,5926.31982421875,5926.72998046875,5929.16015625,5885.7099609375,195800,0.55%
159,2022-08-15,5914.58984375,5902.81982421875,5933.56982421875,5889.759765625,156500,-0.20%
