,date,wti,open,high,low,volume,wti_cr
423,2021-08-10,68.29,66.85,68.9,66.56,452.13K,+2.72%
424,2021-08-11,69.25,68.51,69.45,66.67,513.29K,+1.41%
425,2021-08-12,69.09,69.36,69.62,68.46,352.47K,-0.23%
426,2021-08-13,68.44,68.91,69.22,67.77,272.03K,-0.94%
427,2021-08-16,67.29,67.71,68.27,65.73,334.84K,-1.68%
428,2021-08-17,66.59,67.43,67.72,66.33,235.30K,-1.04%
429,2021-08-18,65.46,66.58,67.48,64.34,121.20K,-1.70%
430,2021-08-19,63.69,64.58,64.76,62.63,88.24K,-2.70%
431,2021-08-20,62.32,64.05,64.1,62.11,24.63K,-2.15%
432,2021-08-23,65.64,61.96,66.0,61.74,397.29K,+5.33%
433,2021-08-24,67.54,65.54,67.8,65.41,335.89K,+2.89%
434,2021-08-25,68.36,67.63,68.54,66.92,353.74K,+1.21%
435,2021-08-26,67.42,68.0,68.31,67.02,344.29K,-1.38%
436,2021-08-27,68.74,67.75,69.05,67.52,326.06K,+1.96%
437,2021-08-30,69.21,69.3,69.64,67.67,360.80K,+0.68%
438,2021-08-31,68.5,69.18,69.34,68.16,325.85K,-1.03%
439,2021-09-01,68.59,68.55,69.24,67.12,399.50K,+0.13%
440,2021-09-02,69.99,68.29,70.61,67.84,403.31K,+2.04%
441,2021-09-03,69.29,69.76,70.53,69.05,313.09K,-1.00%
442,2021-09-05,68.75,69.22,69.23,68.73,,-0.78%
443,2021-09-06,68.8,68.75,69.47,68.27,,+0.07%
444,2021-09-07,68.35,69.11,69.48,67.64,481.70K,-0.65%
445,2021-09-08,69.3,68.37,69.75,68.31,389.33K,+1.39%
446,2021-09-09,68.14,69.36,69.89,67.56,556.45K,-1.67%
447,2021-09-10,69.72,67.97,69.96,67.68,411.08K,+2.32%
448,2021-09-13,70.45,69.74,70.97,69.51,390.94K,+1.05%
449,2021-09-14,70.46,70.64,71.22,69.98,414.23K,+0.01%
450,2021-09-15,72.61,70.76,73.14,70.65,418.67K,+3.05%
451,2021-09-16,72.61,72.65,72.99,71.53,298.41K,0.00%
452,2021-09-17,71.97,72.62,72.72,71.21,119.93K,-0.88%
453,2021-09-20,70.29,71.92,72.08,69.86,75.84K,-2.33%
454,2021-09-21,70.56,70.59,71.63,69.67,37.61K,+0.38%
