,date,kospi,open,high,low,volume,kospi_cr
39,2022-02-25,2676.760009765625,2678.469970703125,2694.81005859375,2665.9599609375,664100,1.06%
40,2022-02-28,2699.179931640625,2663.0,2699.179931640625,2658.25,613300,0.84%
41,2022-03-02,2703.52001953125,2698.31005859375,2716.4599609375,2692.239990234375,527800,0.16%
42,2022-03-03,2747.080078125,2729.860107421875,2748.2099609375,2726.35009765625,614300,1.61%
43,2022-03-04,2713.429931640625,2736.580078125,2736.580078125,2702.340087890625,765300,-1.22%
44,2022-03-07,2651.31005859375,2680.169921875,2680.169921875,2644.10009765625,571300,-2.29%
45,2022-03-08,2622.39990234375,2617.330078125,2647.179931640625,2605.81005859375,540100,-1.09%
46,2022-03-10,2680.320068359375,2660.860107421875,2682.7900390625,2660.860107421875,613500,2.21%
47,2022-03-11,2661.280029296875,2665.949951171875,2672.6201171875,2647.280029296875,796500,-0.71%
48,2022-03-14,2645.64990234375,2654.929931640625,2661.760009765625,2633.31005859375,635900,-0.59%
49,2022-03-15,2621.530029296875,2630.31005859375,2641.969970703125,2615.080078125,603700,-0.91%
50,2022-03-16,2659.22998046875,2649.85009765625,2659.89990234375,2630.030029296875,736000,1.44%
51,2022-03-17,2694.510009765625,2703.27001953125,2714.0,2694.510009765625,545500,1.33%
52,2022-03-18,2707.02001953125,2695.639892578125,2708.159912109375,2688.7099609375,643500,0.46%
53,2022-03-21,2686.050048828125,2717.81005859375,2717.81005859375,2683.68994140625,502000,-0.77%
54,2022-03-22,2710.0,2686.679931640625,2712.139892578125,2686.580078125,489100,0.89%
55,2022-03-23,2735.050048828125,2727.1201171875,2742.27001953125,2720.830078125,883000,0.92%
56,2022-03-24,2729.659912109375,2716.25,2729.659912109375,2705.139892578125,959600,-0.20%
57,2022-03-25,2729.97998046875,2740.830078125,2740.949951171875,2722.360107421875,599800,0.01%
58,2022-03-28,2729.56005859375,2721.219970703125,2737.4599609375,2707.739990234375,768000,-0.02%
59,2022-03-29,2741.070068359375,2745.6201171875,2754.179931640625,2733.219970703125,726700,0.42%
60,2022-03-30,2746.739990234375,2758.31005859375,2760.60009765625,2740.02001953125,837800,0.21%
61,2022-03-31,2757.64990234375,2743.239990234375,2765.199951171875,2743.199951171875,1029500,0.40%
