,date,dji,open,high,low,volume,dji_cr
475,2023-11-15,34991.2109375,34906.71875,35051.1015625,34868.48046875,347790000,0.47%
476,2023-11-16,34945.46875,34868.03125,35022.4609375,34818.03125,435540000,-0.13%
477,2023-11-17,34947.28125,34964.8203125,35028.21875,34882.8203125,334820000,0.01%
478,2023-11-20,35151.0390625,34932.48828125,35227.48046875,34907.98046875,331050000,0.58%
479,2023-11-21,35088.2890625,35104.83984375,35118.0390625,35038.44140625,271120000,-0.18%
480,2023-11-22,35273.03125,35189.328125,35315.19921875,35155.80078125,237290000,0.53%
481,2023-11-24,35390.1484375,35299.8984375,35399.44140625,35299.8984375,117040000,0.33%
482,2023-11-27,35333.46875,35376.44140625,35410.37109375,35280.5703125,258340000,-0.16%
483,2023-11-28,35416.98046875,35332.12890625,35518.671875,35307.73046875,256210000,0.24%
484,2023-11-29,35430.421875,35436.80078125,35579.12890625,35405.890625,299330000,0.04%
485,2023-11-30,35950.890625,35596.5703125,35970.69921875,35592.21875,435540000,1.47%
486,2023-12-01,36245.5,35914.44921875,36264.8515625,35914.44921875,321840000,0.82%
487,2023-12-04,36204.44140625,36089.37890625,36238.1796875,36029.69140625,329450000,-0.11%
488,2023-12-05,36124.55859375,36135.6484375,36164.6796875,36010.8515625,309250000,-0.22%
489,2023-12-06,36054.4296875,36183.73046875,36292.578125,36024.25,283240000,-0.19%
490,2023-12-07,36117.37890625,36124.171875,36164.171875,36021.94921875,287280000,0.17%
491,2023-12-08,36247.87109375,36084.8203125,36296.19921875,36061.640625,295180000,0.36%
492,2023-12-11,36404.9296875,36254.328125,36416.1796875,36231.19140625,342490000,0.43%
493,2023-12-12,36577.94140625,36442.1015625,36596.109375,36373.21875,292770000,0.48%
494,2023-12-13,37090.23828125,36601.80078125,37094.8515625,36523.58984375,354790000,1.40%
495,2023-12-14,37248.3515625,37115.62890625,37287.5,37051.51953125,455820000,0.43%
496,2023-12-15,37305.16015625,37194.5,37347.6015625,37092.01953125,788160000,0.15%
497,2023-12-18,37306.01953125,37330.140625,37393.44921875,37284.8515625,292120000,0.00%
498,2023-12-19,37557.921875,37311.8203125,37562.828125,37311.8203125,272740000,0.68%
499,2023-12-20,37082.0,37520.12890625,37641.30078125,37073.0390625,303450000,-1.27%
500,2023-12-21,37404.3515625,37225.3203125,37418.76171875,37127.05078125,253120000,0.87%
501,2023-12-22,37385.96875,37349.26953125,37534.51953125,37268.87890625,252970000,-0.05%
502,2023-12-26,37545.328125,37405.8984375,37617.98828125,37371.828125,212420000,0.43%
503,2023-12-27,37656.51953125,37518.62109375,37683.69921875,37488.6015625,245530000,0.30%
504,2023-12-28,37710.1015625,37661.51953125,37778.8515625,37650.98046875,199550000,0.14%
505,2023-12-29,37689.5390625,37701.62890625,37759.4296875,37538.80078125,234570000,-0.05%
506,2024-01-02,37715.0390625,37566.21875,37790.078125,37495.91015625,350280000,0.07%
507,2024-01-03,37430.19140625,37629.23046875,37629.23046875,37401.8515625,322010000,-0.76%
508,2024-01-04,37440.33984375,37425.28125,37716.41015625,37425.28125,380220000,0.03%
509,2024-01-05,37466.109375,37455.4609375,37623.62109375,37323.8203125,299480000,0.07%
510,2024-01-08,37683.01171875,37327.37109375,37692.921875,37249.23828125,362200000,0.58%
511,2024-01-09,37525.16015625,37523.55078125,37552.37890625,37373.30078125,289860000,-0.42%
512,2024-01-10,37695.73046875,37552.91015625,37740.76953125,37524.3984375,279540000,0.45%
513,2024-01-11,37711.01953125,37747.140625,37801.8984375,37424.28125,299540000,0.04%
514,2024-01-12,37592.98046875,37818.05078125,37825.26953125,37470.19140625,279250000,-0.31%
515,2024-01-16,37361.12109375,37493.5390625,37543.1796875,37201.390625,378280000,-0.62%
516,2024-01-17,37266.671875,37281.859375,37371.66015625,37132.890625,290880000,-0.25%
517,2024-01-18,37468.609375,37300.80859375,37522.2890625,37122.94921875,340620000,0.54%
518,2024-01-19,37863.80078125,37572.5,37933.73046875,37451.7109375,377650000,1.05%
519,2024-01-22,38001.80859375,37919.55078125,38109.19921875,37911.609375,339560000,0.36%
520,2024-01-23,37905.44921875,37959.7890625,37980.73046875,37804.98828125,334110000,-0.25%
521,2024-01-24,37806.390625,37975.37109375,38064.21875,37795.7109375,336090000,-0.26%
522,2024-01-25,38049.12890625,37862.5703125,38057.53125,37796.46875,402970000,0.64%
523,2024-01-26,38109.4296875,38006.6796875,38215.30859375,37997.76953125,387000000,0.16%
524,2024-01-29,38333.44921875,38115.828125,38343.9296875,38061.171875,312480000,0.59%
525,2024-01-30,38467.30859375,38298.23046875,38497.390625,38257.80078125,326640000,0.35%
526,2024-01-31,38150.30078125,38426.78125,38588.859375,38139.66015625,453250000,-0.82%
527,2024-02-01,38519.83984375,38175.33984375,38522.5,38106.83984375,321830000,0.97%
528,2024-02-02,38654.421875,38448.1015625,38783.62109375,38336.5703125,379760000,0.35%
529,2024-02-05,38380.12109375,38546.76953125,38633.87890625,38220.3984375,322290000,-0.71%
530,2024-02-06,38521.359375,38392.8984375,38545.28125,38350.4609375,276140000,0.37%
531,2024-02-07,38677.359375,38613.890625,38748.109375,38571.01171875,302210000,0.40%
532,2024-02-08,38726.328125,38702.109375,38755.6796875,38544.359375,315510000,0.13%
533,2024-02-09,38671.69140625,38731.96875,38734.28125,38567.8984375,299970000,-0.14%
534,2024-02-12,38797.37890625,38656.76171875,38927.078125,38628.921875,273020000,0.33%
