,date,fg_index,rating
323,2012-04-16,37,fear
324,2012-04-17,37,fear
325,2012-04-18,36,fear
326,2012-04-19,35,fear
327,2012-04-20,35,fear
328,2012-04-23,34,fear
329,2012-04-24,34,fear
330,2012-04-25,38,fear
331,2012-04-26,40,fear
332,2012-04-27,41,fear
333,2012-04-30,43,fear
334,2012-05-01,42,fear
335,2012-05-02,42,fear
336,2012-05-03,41,fear
337,2012-05-04,41,fear
338,2012-05-07,38,fear
339,2012-05-08,32,fear
340,2012-05-09,32,fear
341,2012-05-10,32,fear
342,2012-05-11,25,fear
343,2012-05-14,23,extreme fear
344,2012-05-15,20,extreme fear
345,2012-05-16,14,extreme fear
346,2012-05-17,12,extreme fear
347,2012-05-18,12,extreme fear
348,2012-05-21,16,extreme fear
349,2012-05-22,15,extreme fear
350,2012-05-23,15,extreme fear
351,2012-05-24,14,extreme fear
352,2012-05-25,13,extreme fear
353,2012-05-29,14,extreme fear
354,2012-05-30,12,extreme fear
355,2012-05-31,10,extreme fear
356,2012-06-01,10,extreme fear
357,2012-06-04,14,extreme fear
358,2012-06-05,14,extreme fear
359,2012-06-06,15,extreme fear
360,2012-06-07,16,extreme fear
361,2012-06-08,19,extreme fear
362,2012-06-11,20,extreme fear
363,2012-06-12,22,extreme fear
364,2012-06-13,19,extreme fear
365,2012-06-14,27,fear
366,2012-06-15,35,fear
367,2012-06-18,36,fear
368,2012-06-19,36,fear
369,2012-06-20,36,fear
370,2012-06-21,33,fear
371,2012-06-22,33,fear
372,2012-06-25,39,fear
373,2012-06-26,41,fear
374,2012-06-27,41,fear
375,2012-06-28,48,neutral
376,2012-06-29,53,neutral
377,2012-07-02,56,greed
378,2012-07-03,59,greed
379,2012-07-05,55,greed
380,2012-07-06,51,neutral
381,2012-07-09,46,neutral
382,2012-07-10,48,neutral
383,2012-07-11,44,fear
384,2012-07-12,44,fear
385,2012-07-13,45,neutral
386,2012-07-16,48,neutral
387,2012-07-17,52,neutral
388,2012-07-18,52,neutral
389,2012-07-19,51,neutral
390,2012-07-20,51,neutral
391,2012-07-23,47,neutral
392,2012-07-24,41,fear
393,2012-07-25,51,neutral
394,2012-07-26,55,greed
395,2012-07-27,61,greed
396,2012-07-30,57,greed
397,2012-07-31,55,greed
398,2012-08-01,55,greed
399,2012-08-02,49,neutral
400,2012-08-03,63,greed
401,2012-08-06,71,greed
402,2012-08-07,70,greed
403,2012-08-08,73,greed
404,2012-08-09,75,extreme greed
405,2012-08-10,70,greed
406,2012-08-13,75,extreme greed
407,2012-08-14,74,greed
408,2012-08-15,72,greed
409,2012-08-16,78,extreme greed
410,2012-08-17,79,extreme greed
411,2012-08-20,75,extreme greed
412,2012-08-21,74,greed
413,2012-08-22,74,greed
414,2012-08-23,72,greed
415,2012-08-24,70,greed
416,2012-08-27,68,greed
417,2012-08-28,68,greed
418,2012-08-29,63,greed
419,2012-08-30,63,greed
420,2012-08-31,59,greed
421,2012-09-04,71,greed
422,2012-09-05,74,greed
423,2012-09-06,76,extreme greed
424,2012-09-07,83,extreme greed
425,2012-09-10,78,extreme greed
426,2012-09-11,86,extreme greed
427,2012-09-12,84,extreme greed
428,2012-09-13,91,extreme greed
429,2012-09-14,93,extreme greed
430,2012-09-17,92,extreme greed
431,2012-09-18,92,extreme greed
432,2012-09-19,92,extreme greed
433,2012-09-20,93,extreme greed
434,2012-09-21,93,extreme greed
435,2012-09-24,81,extreme greed
436,2012-09-25,81,extreme greed
437,2012-09-26,70,greed
438,2012-09-27,76,extreme greed
439,2012-09-28,71,greed
440,2012-10-01,72,greed
441,2012-10-02,75,extreme greed
442,2012-10-03,76,extreme greed
443,2012-10-04,77,extreme greed
444,2012-10-05,78,extreme greed
445,2012-10-08,72,greed
446,2012-10-09,66,greed
447,2012-10-10,59,greed
448,2012-10-11,56,greed
449,2012-10-12,56,greed
450,2012-10-15,54,neutral
451,2012-10-16,63,greed
452,2012-10-17,61,greed
453,2012-10-18,53,neutral
454,2012-10-19,56,greed
455,2012-10-22,56,greed
456,2012-10-23,42,fear
457,2012-10-24,45,neutral
458,2012-10-25,41,fear
459,2012-10-26,40,fear
460,2012-10-31,45,neutral
461,2012-11-01,50,neutral
462,2012-11-02,50,neutral
463,2012-11-05,46,neutral
464,2012-11-06,47,neutral
465,2012-11-07,45,neutral
466,2012-11-08,40,fear
467,2012-11-09,39,fear
468,2012-11-12,35,fear
469,2012-11-13,37,fear
470,2012-11-14,31,fear
471,2012-11-15,28,fear
472,2012-11-16,28,fear
473,2012-11-19,38,fear
474,2012-11-20,42,fear
