,date,ixut,open,high,low,volume,ixut_cr
70,2022-06-15,385.3500061035156,385.1099853515625,390.2099914550781,379.989990234375,147300,1.34%
71,2022-06-16,370.9800109863281,378.44000244140625,378.79998779296875,368.0199890136719,163800,-3.73%
72,2022-06-17,379.7900085449219,374.2099914550781,381.2099914550781,373.6300048828125,245300,2.37%
73,2022-06-21,384.5899963378906,384.760009765625,385.75,382.9800109863281,130400,1.26%
74,2022-06-22,386.7099914550781,380.9599914550781,390.94000244140625,380.260009765625,129500,0.55%
75,2022-06-23,389.04998779296875,388.1400146484375,389.6700134277344,385.0199890136719,137800,0.61%
76,2022-06-24,396.010009765625,390.80999755859375,396.1300048828125,390.44000244140625,229400,1.79%
77,2022-06-27,395.6300048828125,395.8299865722656,397.44000244140625,393.3500061035156,110000,-0.10%
78,2022-06-28,387.1000061035156,397.5799865722656,400.69000244140625,386.8699951171875,134600,-2.16%
79,2022-06-29,388.32000732421875,387.55999755859375,388.8999938964844,384.5199890136719,139100,0.32%
80,2022-06-30,387.30999755859375,384.8699951171875,390.9100036621094,382.0799865722656,123100,-0.26%
81,2022-07-01,393.2300109863281,386.42999267578125,393.94000244140625,385.6499938964844,185100,1.53%
82,2022-07-05,391.8500061035156,386.010009765625,391.8500061035156,381.92999267578125,207800,-0.35%
83,2022-07-06,391.5799865722656,393.1199951171875,393.80999755859375,388.989990234375,102000,-0.07%
84,2022-07-07,393.0799865722656,392.42999267578125,394.260009765625,390.6700134277344,103400,0.38%
85,2022-07-08,393.1400146484375,392.1199951171875,395.1499938964844,389.5199890136719,80300,0.02%
86,2022-07-11,387.2300109863281,392.2900085449219,392.7699890136719,386.3599853515625,107900,-1.50%
87,2022-07-12,389.3299865722656,387.6099853515625,394.510009765625,387.5799865722656,109800,0.54%
88,2022-07-13,389.54998779296875,384.2099914550781,392.4200134277344,382.989990234375,107600,0.06%
89,2022-07-14,388.0299987792969,383.739990234375,389.3999938964844,381.510009765625,97300,-0.39%
90,2022-07-15,396.260009765625,392.1400146484375,396.4200134277344,390.1400146484375,133400,2.12%
91,2022-07-18,392.3399963378906,397.989990234375,399.1300048828125,391.3299865722656,99200,-0.99%
92,2022-07-19,401.760009765625,395.79998779296875,402.2099914550781,395.6600036621094,117800,2.40%
93,2022-07-20,404.489990234375,402.25,405.6099853515625,399.510009765625,125300,0.68%
94,2022-07-21,405.04998779296875,401.6499938964844,405.94000244140625,397.29998779296875,117600,0.14%
95,2022-07-22,403.2699890136719,404.9100036621094,407.7900085449219,400.1400146484375,115100,-0.44%
96,2022-07-25,402.9200134277344,404.30999755859375,405.6300048828125,400.6000061035156,86000,-0.09%
97,2022-07-26,401.0299987792969,401.5299987792969,402.9200134277344,399.94000244140625,104700,-0.47%
98,2022-07-27,410.6400146484375,404.32000732421875,412.8900146484375,404.1700134277344,118900,2.40%
99,2022-07-28,399.6400146484375,398.82000732421875,401.6300048828125,395.8999938964844,137700,-2.68%
100,2022-07-29,394.7300109863281,395.7900085449219,396.0400085449219,388.8900146484375,188700,-1.23%
101,2022-08-01,395.1499938964844,390.9100036621094,395.7300109863281,390.6300048828125,134800,0.11%
102,2022-08-02,394.8399963378906,395.9700012207031,398.9200134277344,394.739990234375,121100,-0.08%
103,2022-08-03,402.0400085449219,395.7300109863281,403.6300048828125,394.5299987792969,162300,1.82%
104,2022-08-04,403.3999938964844,403.010009765625,407.0299987792969,401.9800109863281,129500,0.34%
105,2022-08-05,402.0400085449219,398.3800048828125,402.2699890136719,396.92999267578125,107300,-0.34%
106,2022-08-08,403.1099853515625,404.1199951171875,408.8900146484375,402.010009765625,94100,0.27%
107,2022-08-09,400.2300109863281,403.29998779296875,403.29998779296875,398.5799865722656,98000,-0.71%
108,2022-08-10,407.0199890136719,406.1300048828125,407.45001220703125,405.2099914550781,102700,1.70%
109,2022-08-11,407.1099853515625,408.7200012207031,412.1700134277344,406.57000732421875,0,0.02%
110,2022-08-12,414.75,410.19000244140625,414.82000732421875,408.7900085449219,119400,1.88%
111,2022-08-15,416.94000244140625,411.69000244140625,417.1099853515625,411.19000244140625,99700,0.53%
112,2022-08-16,416.5799865722656,415.1099853515625,418.0400085449219,413.42999267578125,109600,-0.09%
113,2022-08-17,409.4700012207031,413.0799865722656,413.95001220703125,408.7699890136719,107800,-1.71%
114,2022-08-18,414.3900146484375,417.07000732421875,417.07000732421875,412.7300109863281,122100,1.20%
115,2022-08-19,411.3599853515625,410.7799987792969,412.8999938964844,409.19000244140625,97800,-0.73%
116,2022-08-22,402.30999755859375,407.8500061035156,408.9700012207031,401.75,93100,-2.20%
117,2022-08-23,399.2799987792969,402.20001220703125,404.0400085449219,399.239990234375,81100,-0.75%
118,2022-08-24,399.2099914550781,398.55999755859375,402.3999938964844,397.6199951171875,83100,-0.02%
119,2022-08-25,404.04998779296875,399.8999938964844,404.1199951171875,398.29998779296875,95600,1.21%
120,2022-08-26,392.8599853515625,404.44000244140625,405.6499938964844,392.8599853515625,96200,-2.77%
121,2022-08-29,391.19000244140625,390.9599914550781,395.0799865722656,390.0,87300,-0.43%
122,2022-08-30,387.9599914550781,392.489990234375,392.7900085449219,386.19000244140625,100500,-0.83%
123,2022-08-31,386.8999938964844,391.75,392.67999267578125,386.260009765625,139400,-0.27%
124,2022-09-01,389.8800048828125,385.9700012207031,390.1000061035156,385.20001220703125,111700,0.77%
125,2022-09-02,382.19000244140625,391.4800109863281,392.5799865722656,380.5,94600,-1.97%
126,2022-09-06,377.3500061035156,382.6499938964844,383.44000244140625,376.29998779296875,116100,-1.27%
127,2022-09-07,382.6300048828125,378.2099914550781,383.1000061035156,377.8299865722656,115600,1.40%
128,2022-09-08,381.4100036621094,380.3800048828125,384.8299865722656,377.1400146484375,113300,-0.32%
129,2022-09-09,387.4700012207031,383.75,388.1300048828125,382.0199890136719,102500,1.59%
130,2022-09-12,389.8299865722656,390.55999755859375,392.010009765625,387.0,101300,0.61%
131,2022-09-13,369.8299865722656,382.17999267578125,383.1499938964844,369.29998779296875,130800,-5.13%
132,2022-09-14,374.3599853515625,371.7300109863281,375.80999755859375,369.8399963378906,126800,1.22%
133,2022-09-15,369.6700134277344,372.5400085449219,375.2699890136719,368.739990234375,143700,-1.25%
