,date,lmt,open,high,low,volume,lmt_cr
520,2024-01-23,416.18499755859375,434.0943677698653,434.48247104710197,410.7137379675738,3613500,-4.16%
521,2024-01-24,408.5933837890625,416.0430026487959,419.5264571843183,408.4987195175166,1768900,-1.82%
522,2024-01-25,408.0159606933594,407.0315043153585,410.76105110775796,403.00851851689276,1813900,-0.14%
523,2024-01-26,406.9462890625,408.8962515076782,410.268811070657,403.91720604160435,1260500,-0.26%
524,2024-01-29,405.1477966308594,407.9780761284537,408.9530573822639,402.8381272531479,1903300,-0.44%
525,2024-01-30,408.6217346191406,408.23363137031305,408.7826667515722,404.93005954032265,1016400,0.86%
526,2024-01-31,406.4730529785156,409.25601508450103,410.55283186356945,406.1417424635211,1120100,-0.53%
527,2024-02-01,406.8137512207031,407.2492010406632,408.7069208771249,403.9077577525778,1175000,0.08%
528,2024-02-02,403.216796875,405.270898950262,405.99028387692533,401.7117302539469,973900,-0.88%
529,2024-02-05,399.17486572265625,401.35199944768755,401.7022312403033,397.40472768602507,1379600,-1.00%
530,2024-02-06,404.1444396972656,399.43991152954703,406.1038485104464,397.9064197067617,1065700,1.24%
531,2024-02-07,407.12615966796875,403.75631983097793,407.3060131048428,403.75631983097793,980700,0.74%
532,2024-02-08,404.1917724609375,406.4256990703752,406.7948810657796,402.9896199774669,972200,-0.72%
533,2024-02-09,403.71844482421875,404.6934260794323,404.8259618264893,401.7968787042356,1038600,-0.12%
534,2024-02-12,405.2046203613281,403.955121313199,407.55213251389586,403.2451826114184,1007200,0.37%
535,2024-02-13,403.7373962402344,406.4067726910107,408.8300278145938,400.632598807676,1089300,-0.36%
536,2024-02-14,395.8523864746094,404.83546894900314,405.611675587908,391.8104788933319,2503800,-1.95%
537,2024-02-15,400.51898193359375,396.22147857434385,400.73670685120766,396.22147857434385,1136700,1.18%
538,2024-02-16,401.41827392578125,400.5190066968604,402.4500480220025,399.9700001537945,806000,0.22%
539,2024-02-20,401.6075439453125,402.478414717879,405.4128335306324,401.1342515202709,1363900,0.05%
540,2024-02-21,404.71240234375,403.443981919184,405.3466269997737,401.7022689979524,969600,0.77%
541,2024-02-22,405.9808044433594,402.38376455452004,406.5392860579799,401.1910583576312,1236900,0.31%
542,2024-02-23,408.0916748046875,405.9618587935768,408.3851138107756,405.3276630917007,842200,0.52%
543,2024-02-26,406.2552795410156,408.45136332898875,409.3506304926993,403.9929567679353,980600,-0.45%
544,2024-02-27,407.4385070800781,405.78198360466314,408.1957922870397,403.71843557971204,887000,0.29%
545,2024-02-28,409.3790283203125,408.8110716300523,411.7833330520329,407.82661529276646,1029300,0.48%
546,2024-02-29,408.3396911621094,409.3790354039643,410.7330608517272,407.6912977248943,1503100,-0.25%
547,2024-03-01,406.6424255371094,408.01551116597426,408.9785858485689,404.2967497125604,1059000,-0.42%
548,2024-03-04,411.8677673339844,408.654375758772,413.7176179374206,407.109661751649,1271900,1.28%
549,2024-03-05,411.9058837890625,413.5840767359118,415.7486083750102,409.78904610775726,1038000,0.01%
550,2024-03-06,413.3362121582031,411.90591709839964,413.65086426761184,410.8951775840927,775300,0.35%
551,2024-03-07,410.00836181640625,413.8320264881711,415.3385911080439,409.52208129639206,1085800,-0.81%
552,2024-03-08,412.78314208984375,408.58761579884253,412.85944078753903,407.70083985926766,763200,0.68%
553,2024-03-11,414.5471496582031,414.1275941483064,415.74860671830976,412.4970660663225,951000,0.43%
554,2024-03-12,414.6997375488281,412.8022221526056,415.5293039964344,412.25870306644066,825100,0.04%
555,2024-03-13,414.4041442871094,415.4625486205781,417.44590731849297,413.5840933544832,987100,-0.07%
556,2024-03-14,415.51971435546875,416.0822935049553,417.2742058808396,413.16449433674455,1153600,0.27%
557,2024-03-15,415.5674133300781,413.021475660689,417.8463346885973,413.021475660689,5151300,0.01%
558,2024-03-18,413.0692138671875,415.56745784894275,415.8249004770305,411.61982962170384,965300,-0.60%
559,2024-03-19,416.8737487792969,415.023898403319,416.96910759134784,413.812925878601,898700,0.92%
560,2024-03-20,419.94415283203125,416.72121676046595,420.46858269480845,416.27305649431173,845000,0.74%
561,2024-03-21,422.5663757324219,420.85000420192665,423.2624631369448,418.91433938601347,912100,0.62%
