,date,bond_usa_3m,open,high,low,bond_usa_3m_cr
80,2022-04-12,0.759,0.82,0.826,0.754,7.51
81,2022-04-13,0.757,0.762,0.767,0.747,-0.26
82,2022-04-14,0.787,0.775,0.805,0.769,3.96
83,2022-04-18,0.78,0.797,0.823,0.772,-0.89
84,2022-04-19,0.856,0.894,0.899,0.846,9.74
85,2022-04-20,0.823,0.854,0.871,0.815,-3.86
86,2022-04-21,0.828,0.856,0.889,0.815,0.61
87,2022-04-22,0.828,0.846,0.876,0.828,0.0
88,2022-04-25,0.83,0.864,0.876,0.825,0.24
89,2022-04-26,0.856,0.938,0.938,0.843,3.13
90,2022-04-27,0.828,0.859,0.869,0.828,-3.27
91,2022-04-28,0.825,0.864,0.892,0.808,-0.36
92,2022-04-29,0.841,0.853,0.869,0.833,1.94
93,2022-05-02,0.8,0.894,0.897,0.797,-4.88
94,2022-05-03,0.925,0.925,0.968,0.912,15.62
95,2022-05-04,0.922,0.925,0.96,0.871,-0.32
96,2022-05-05,0.851,0.884,0.92,0.831,-7.7
97,2022-05-06,0.848,0.828,0.889,0.818,-0.35
98,2022-05-09,0.833,0.838,0.869,0.82,-1.77
99,2022-05-10,0.907,0.945,0.945,0.899,8.88
100,2022-05-11,0.904,0.938,0.945,0.892,-0.33
101,2022-05-12,0.94,0.945,0.968,0.91,3.98
102,2022-05-13,0.988,0.981,1.016,0.948,5.11
103,2022-05-16,1.027,1.016,1.06,0.991,3.95
104,2022-05-17,1.07,1.073,1.088,1.05,4.19
105,2022-05-18,1.039,1.067,1.088,1.029,-2.9
106,2022-05-19,1.047,1.055,1.095,1.029,0.77
107,2022-05-20,1.034,1.07,1.095,1.026,-1.24
108,2022-05-23,1.029,1.057,1.082,1.024,-0.48
109,2022-05-24,1.065,1.09,1.108,1.06,3.5
110,2022-05-25,1.073,1.09,1.09,1.057,0.75
111,2022-05-26,1.055,1.09,1.108,1.052,-1.68
112,2022-05-27,1.088,1.075,1.093,1.067,3.13
113,2022-05-30,1.08,1.075,1.08,1.075,-0.74
114,2022-05-31,1.067,1.077,1.105,1.062,-1.2
115,2022-06-01,1.131,1.169,1.169,1.123,6.0
116,2022-06-02,1.146,1.162,1.185,1.128,1.33
117,2022-06-03,1.185,1.177,1.241,1.149,3.4
118,2022-06-06,1.22,1.205,1.223,1.177,2.95
119,2022-06-07,1.256,1.259,1.274,1.248,2.95
120,2022-06-08,1.264,1.269,1.282,1.256,0.64
121,2022-06-09,1.274,1.292,1.302,1.269,0.79
122,2022-06-10,1.363,1.307,1.376,1.274,6.99
123,2022-06-13,1.554,1.363,1.672,1.363,14.01
124,2022-06-14,1.795,1.762,1.841,1.718,15.51
125,2022-06-15,1.757,1.805,1.874,1.637,-2.12
126,2022-06-16,1.585,1.683,1.736,1.549,-9.79
127,2022-06-17,1.593,1.624,1.659,1.57,0.5
128,2022-06-20,1.649,1.621,1.664,1.621,3.51
129,2022-06-21,1.58,1.656,1.677,1.564,-4.18
130,2022-06-22,1.593,1.708,1.708,1.575,0.82
131,2022-06-23,1.634,1.624,1.667,1.585,2.57
132,2022-06-24,1.687,1.621,1.713,1.621,3.24
133,2022-06-27,1.685,1.692,1.731,1.667,-0.12
134,2022-06-28,1.78,1.777,1.828,1.777,5.64
135,2022-06-29,1.757,1.813,1.815,1.757,-1.29
136,2022-06-30,1.7,1.78,1.815,1.69,-3.24
137,2022-07-01,1.71,1.711,1.733,1.667,0.59
138,2022-07-04,1.754,1.685,1.754,1.685,2.55
139,2022-07-05,1.731,1.741,1.764,1.705,-1.29
140,2022-07-06,1.885,1.918,1.923,1.877,8.9
141,2022-07-07,1.948,1.928,1.974,1.902,3.34
142,2022-07-08,1.963,1.925,1.976,1.925,0.77
143,2022-07-11,2.061,1.93,2.089,1.922,4.99
144,2022-07-12,2.205,2.164,2.212,2.159,6.99
145,2022-07-13,2.376,2.225,2.451,2.197,7.76
146,2022-07-14,2.399,2.412,2.558,2.381,0.97
147,2022-07-15,2.335,2.402,2.43,2.325,-2.67
148,2022-07-18,2.37,2.314,2.45,2.314,1.5
149,2022-07-19,2.505,2.533,2.533,2.469,5.7
150,2022-07-20,2.492,2.533,2.548,2.464,-0.52
151,2022-07-21,2.458,2.504,2.512,2.44,-1.36
152,2022-07-22,2.448,2.484,2.491,2.412,-0.41
153,2022-07-25,2.486,2.468,2.532,2.445,1.55
154,2022-07-26,2.53,2.556,2.605,2.515,1.77
155,2022-07-27,2.451,2.571,2.571,2.41,-3.12
156,2022-07-28,2.386,2.492,2.497,2.366,-2.65
157,2022-07-29,2.373,2.417,2.437,2.371,-0.54
158,2022-08-01,2.386,2.424,2.44,2.347,0.55
