일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2022/10/04","2209.38","53.89","2.50","2189.51","2212.38","2180.84","421003.0","7500281.0","1.741825455E9"
"2022/09/30","2155.49","-15.44","-0.71","2161.11","2177.20","2134.77","950270.0","7923751.0","1.698450563E9"
"2022/09/29","2170.93","1.64","0.08","2197.75","2210.61","2170.14","508501.0","7240707.0","1.710780971E9"
"2022/09/28","2169.29","-54.57","-2.45","2206.15","2223.56","2151.60","596136.0","9208350.0","1.70933598E9"
"2022/09/27","2223.86","2.92","0.13","2224.39","2227.35","2197.90","487940.0","8005557.0","1.752262101E9"
"2022/09/26","2220.94","-69.06","-3.02","2260.80","2260.80","2215.36","621995.0","9461818.0","1.750077524E9"
"2022/09/23","2290.00","-42.31","-1.81","2331.33","2334.06","2285.71","446461.0","7416796.0","1.80449996E9"
"2022/09/22","2332.31","-14.90","-0.63","2319.70","2335.11","2309.10","446820.0","7413267.0","1.83716489E9"
"2022/09/21","2347.21","-20.64","-0.87","2351.54","2360.27","2341.79","378165.0","6269073.0","1.849097413E9"
"2022/09/20","2367.85","12.19","0.52","2373.64","2382.52","2359.84","419340.0","7013236.0","1.865526657E9"
"2022/09/19","2355.66","-27.12","-1.14","2388.73","2389.85","2352.76","403937.0","6885919.0","1.856704766E9"
"2022/09/16","2382.78","-19.05","-0.79","2387.56","2395.10","2371.11","440799.0","8690464.0","1.877514132E9"
"2022/09/15","2401.83","-9.59","-0.40","2416.01","2421.63","2401.83","424111.0","7432764.0","1.892386625E9"
"2022/09/14","2411.42","-38.12","-1.56","2390.47","2418.42","2381.50","461508.0","7625505.0","1.900212543E9"
"2022/09/13","2449.54","65.26","2.74","2418.59","2453.95","2418.59","367103.0","9165153.0","1.930515175E9"
"2022/09/08","2384.28","7.82","0.33","2393.27","2394.06","2379.06","423621.0","9208735.0","1.879133852E9"
"2022/09/07","2376.46","-33.56","-1.39","2395.66","2398.40","2365.35","378200.0","7530890.0","1.872365971E9"
"2022/09/06","2410.02","6.34","0.26","2409.72","2422.53","2399.26","294224.0","5476236.0","1.898174386E9"
"2022/09/05","2403.68","-5.73","-0.24","2410.07","2424.77","2392.63","354738.0","6277834.0","1.893408648E9"
"2022/09/02","2409.41","-6.20","-0.26","2427.70","2432.37","2402.67","391599.0","7214620.0","1.899054383E9"
"2022/09/01","2415.61","-56.44","-2.28","2443.00","2443.61","2415.61","580021.0","8452318.0","1.904334718E9"
"2022/08/31","2472.05","21.12","0.86","2433.47","2473.75","2426.14","436247.0","9562592.0","1.948130001E9"
"2022/08/30","2450.93","24.04","0.99","2441.21","2453.91","2433.48","336555.0","6826615.0","1.932045596E9"
"2022/08/29","2426.89","-54.14","-2.18","2432.06","2432.89","2417.01","448746.0","7891467.0","1.91322519E9"
"2022/08/26","2481.03","3.77","0.15","2489.14","2497.76","2476.75","520091.0","8628665.0","1.955296364E9"
"2022/08/25","2477.26","29.81","1.22","2459.79","2477.26","2455.32","426230.0","7286329.0","1.951737898E9"
"2022/08/24","2447.45","12.11","0.50","2446.18","2454.01","2430.69","423502.0","8119784.0","1.928432688E9"
"2022/08/23","2435.34","-27.16","-1.10","2449.31","2454.55","2431.83","471166.0","7560708.0","1.919622194E9"
"2022/08/22","2462.50","-30.19","-1.21","2467.38","2475.77","2457.08","422552.0","6108019.0","1.940547399E9"
"2022/08/19","2492.69","-15.36","-0.61","2510.72","2510.72","2492.69","459835.0","7138648.0","1.963842895E9"
"2022/08/18","2508.05","-8.42","-0.33","2499.30","2515.37","2488.09","381628.0","7105985.0","1.976095948E9"
"2022/08/17","2516.47","-17.05","-0.67","2536.57","2543.15","2512.01","418053.0","7153680.0","1.982238266E9"
"2022/08/16","2533.52","5.58","0.22","2543.05","2546.35","2532.20","398335.0","8064107.0","1.995548135E9"
