,date,ixbk,open,high,low,volume,ixbk_cr
215,2022-11-28,4261.85986328125,4320.33984375,4333.22998046875,4250.72998046875,44900,-2.07%
216,2022-11-29,4281.91015625,4269.77978515625,4298.81982421875,4263.60009765625,42700,0.47%
217,2022-11-30,4360.0498046875,4276.18994140625,4360.43017578125,4211.990234375,83000,1.82%
218,2022-12-01,4339.77978515625,4372.6298828125,4377.240234375,4315.10009765625,54300,-0.46%
219,2022-12-02,4333.16015625,4299.33984375,4336.740234375,4298.2900390625,50200,-0.15%
220,2022-12-05,4144.81005859375,4303.2001953125,4304.27978515625,4121.240234375,67300,-4.35%
221,2022-12-06,4111.3701171875,4144.080078125,4150.9599609375,4087.800048828125,71200,-0.81%
222,2022-12-07,4113.68017578125,4099.2900390625,4151.33984375,4086.0,70100,0.06%
223,2022-12-08,4127.0,4133.7099609375,4145.18017578125,4110.0,58900,0.32%
224,2022-12-09,4109.740234375,4112.330078125,4130.97998046875,4105.64013671875,51300,-0.42%
225,2022-12-12,4134.02001953125,4111.75,4152.08984375,4085.260009765625,61800,0.59%
226,2022-12-13,4092.159912109375,4199.81005859375,4222.52001953125,4076.239990234375,108000,-1.01%
227,2022-12-14,4014.06005859375,4090.610107421875,4097.2099609375,4006.0,84200,-1.91%
228,2022-12-15,3941.199951171875,3973.60009765625,3982.070068359375,3926.10009765625,83300,-1.82%
229,2022-12-16,3916.93994140625,3904.06005859375,3941.570068359375,3894.949951171875,188300,-0.62%
230,2022-12-19,3931.39990234375,3921.340087890625,3947.179931640625,3908.139892578125,61200,0.37%
231,2022-12-20,3947.530029296875,3938.590087890625,3969.02001953125,3935.719970703125,58000,0.41%
232,2022-12-21,4015.800048828125,3986.47998046875,4030.56005859375,3986.35009765625,57100,1.73%
233,2022-12-22,3995.239990234375,3992.330078125,3996.010009765625,3933.10009765625,54800,-0.51%
234,2022-12-23,4023.219970703125,3997.77001953125,4029.7099609375,3987.699951171875,41600,0.70%
235,2022-12-27,4026.030029296875,4032.22998046875,4042.590087890625,4009.179931640625,38600,0.07%
236,2022-12-28,3996.429931640625,4033.3701171875,4038.679931640625,3996.429931640625,43800,-0.74%
237,2022-12-29,4063.419921875,4011.110107421875,4068.0,4005.68994140625,46000,1.68%
238,2022-12-30,4044.9599609375,4040.300048828125,4060.070068359375,4022.4599609375,50500,-0.45%
239,2023-01-03,4010.780029296875,4064.22998046875,4077.27001953125,3987.169921875,61500,-0.85%
240,2023-01-04,4038.5,4041.02001953125,4085.969970703125,4026.169921875,61800,0.69%
241,2023-01-05,3995.0,4010.260009765625,4010.260009765625,3970.10009765625,55800,-1.08%
242,2023-01-06,4109.60986328125,4026.8701171875,4116.18017578125,4018.77001953125,57700,2.87%
243,2023-01-09,4074.080078125,4122.259765625,4123.2998046875,4065.679931640625,52900,-0.86%
244,2023-01-10,4103.02978515625,4069.820068359375,4110.18994140625,4051.5400390625,51800,0.71%
245,2023-01-11,4120.490234375,4118.47998046875,4127.56982421875,4096.43017578125,56400,0.43%
246,2023-01-12,4166.08984375,4141.9599609375,4187.22998046875,4127.77978515625,56700,1.11%
247,2023-01-13,4169.490234375,4119.83984375,4176.169921875,4082.60009765625,59200,0.08%
248,2023-01-17,4144.27001953125,4173.77978515625,4178.81005859375,4134.83984375,61600,-0.60%
249,2023-01-18,4005.260009765625,4118.72998046875,4118.759765625,4005.25,79000,-3.35%
