,date,kosdaq,open,high,low,volume,kosdaq_cr
130,2022-07-01,729.48,748.2,753.45,724.2,798.82M,-2.14
131,2022-07-04,722.73,733.35,736.73,712.53,867.47M,-0.93
132,2022-07-05,750.95,729.4,750.98,728.32,936.69M,3.9
133,2022-07-06,744.63,750.04,759.88,743.61,742.27M,-0.84
134,2022-07-07,757.97,750.98,759.03,750.67,809.54M,1.79
135,2022-07-08,766.48,764.98,770.92,764.02,850.96M,1.12
136,2022-07-11,767.04,767.89,774.35,763.14,779.20M,0.07
137,2022-07-12,750.78,762.18,762.18,747.74,766.36M,-2.12
138,2022-07-13,763.18,751.34,763.73,747.74,896.50M,1.65
139,2022-07-14,766.08,762.54,768.13,757.99,823.12M,0.38
140,2022-07-15,762.39,768.41,769.29,754.33,850.29M,-0.48
141,2022-07-18,776.72,770.29,776.72,766.89,720.02M,1.88
142,2022-07-19,782.33,773.73,782.33,771.69,743.42M,0.72
143,2022-07-20,790.72,792.94,795.92,788.02,939.57M,1.07
144,2022-07-21,795.15,792.95,795.67,790.97,937.75M,0.56
145,2022-07-22,789.75,796.58,800.65,789.73,892.76M,-0.68
146,2022-07-25,789.69,787.71,791.25,783.78,871.22M,-0.01
147,2022-07-26,789.93,788.76,791.01,786.46,841.39M,0.03
148,2022-07-27,795.7,789.61,795.81,788.29,678.54M,0.73
149,2022-07-28,798.32,802.5,805.2,796.48,737.06M,0.33
150,2022-07-29,803.62,802.97,807.77,801.05,784.40M,0.66
151,2022-08-01,807.61,804.15,808.96,801.4,823.06M,0.5
152,2022-08-02,804.34,807.69,807.69,799.36,905.94M,-0.4
153,2022-08-03,815.36,804.17,815.4,803.2,997.27M,1.37
154,2022-08-04,825.16,820.06,825.99,820.06,908.49M,1.2
155,2022-08-05,831.64,826.23,832.27,826.23,931.76M,0.79
156,2022-08-08,830.86,829.77,831.12,825.94,931.45M,-0.09
157,2022-08-09,833.65,831.13,833.94,826.45,976.69M,0.34
158,2022-08-10,820.27,829.29,829.29,820.27,897.22M,-1.6
159,2022-08-11,832.15,831.99,834.88,828.27,897.83M,1.45
160,2022-08-12,831.63,831.18,833.7,826.72,792.43M,-0.06
161,2022-08-16,834.74,835.2,836.49,831.69,887.23M,0.37
162,2022-08-17,827.42,834.91,834.96,825.46,1.13B,-0.88
