,date,ixfn,open,high,low,volume,ixfn_cr
84,2022-04-27,9657.669921875,9657.7900390625,9791.5595703125,9649.5302734375,319800,0.16%
85,2022-04-28,9820.0498046875,9737.6201171875,9854.0400390625,9611.83984375,298900,1.68%
86,2022-04-29,9511.48046875,9776.9599609375,9838.23046875,9503.25,283400,-3.14%
87,2022-05-02,9532.240234375,9528.240234375,9604.1201171875,9369.599609375,319300,0.22%
88,2022-05-03,9665.5595703125,9549.240234375,9717.6396484375,9547.759765625,332600,1.40%
89,2022-05-04,9863.73046875,9653.8603515625,9877.1904296875,9542.650390625,544600,2.05%
90,2022-05-05,9539.3798828125,9794.3095703125,9799.3896484375,9464.0,325100,-3.29%
91,2022-05-06,9386.919921875,9474.5498046875,9492.1904296875,9305.3603515625,336400,-1.60%
92,2022-05-09,8979.5595703125,9252.650390625,9285.3798828125,8949.740234375,363300,-4.34%
93,2022-05-10,8834.4697265625,9044.5302734375,9078.08984375,8727.51953125,505300,-1.62%
94,2022-05-11,8644.6103515625,8773.5,8877.73046875,8633.73046875,440200,-2.15%
95,2022-05-12,8737.7099609375,8597.5,8788.3603515625,8529.33984375,470500,1.08%
96,2022-05-13,9040.5,8892.83984375,9087.98046875,8866.6796875,409100,3.47%
97,2022-05-16,8931.7802734375,9020.51953125,9030.2099609375,8923.66015625,281500,-1.20%
98,2022-05-17,9092.080078125,9064.51953125,9092.2197265625,8960.8603515625,317700,1.79%
99,2022-05-18,8821.650390625,9002.900390625,9036.4404296875,8800.23046875,298500,-2.97%
100,2022-05-19,8877.0400390625,8774.150390625,8956.4697265625,8774.150390625,305200,0.63%
101,2022-05-20,8923.58984375,8970.0595703125,8984.51953125,8766.259765625,292600,0.52%
102,2022-05-23,8997.919921875,8984.5302734375,9025.0,8880.1904296875,246600,0.83%
103,2022-05-24,8916.7099609375,8933.080078125,8936.7900390625,8761.4697265625,295000,-0.90%
104,2022-05-25,9051.23046875,8903.2802734375,9074.8896484375,8899.259765625,237400,1.51%
105,2022-05-26,9162.349609375,9072.0400390625,9217.9296875,9069.2900390625,253100,1.23%
106,2022-05-27,9390.0,9215.3798828125,9390.0,9215.3798828125,295700,2.48%
107,2022-05-31,9296.2099609375,9370.740234375,9379.2099609375,9251.3701171875,430000,-1.00%
108,2022-06-01,9164.01953125,9302.7099609375,9326.26953125,9108.8896484375,277800,-1.42%
109,2022-06-02,9375.9599609375,9140.58984375,9376.150390625,9134.7197265625,248400,2.31%
110,2022-06-03,9209.669921875,9275.509765625,9283.01953125,9194.759765625,216800,-1.77%
111,2022-06-06,9245.2802734375,9312.830078125,9348.580078125,9230.6796875,266400,0.39%
112,2022-06-07,9316.7900390625,9180.08984375,9318.3603515625,9160.990234375,243500,0.77%
113,2022-06-08,9199.7802734375,9271.1201171875,9317.2197265625,9178.7900390625,232700,-1.26%
114,2022-06-09,9015.0498046875,9174.5498046875,9181.7099609375,9013.7998046875,241800,-2.01%
115,2022-06-10,8818.099609375,8896.150390625,8905.98046875,8790.25,272800,-2.18%
116,2022-06-13,8497.240234375,8586.6396484375,8623.1904296875,8458.3095703125,362700,-3.64%
117,2022-06-14,8426.150390625,8529.41015625,8529.41015625,8387.9404296875,292700,-0.84%
118,2022-06-15,8579.490234375,8498.0,8673.1796875,8453.91015625,375700,1.82%
119,2022-06-16,8346.8603515625,8413.2998046875,8420.4501953125,8312.1796875,313600,-2.71%
120,2022-06-17,8428.6298828125,8382.16015625,8470.8095703125,8342.900390625,415200,0.98%
121,2022-06-21,8593.1904296875,8535.7197265625,8638.8798828125,8533.66015625,392800,1.95%
122,2022-06-22,8619.900390625,8493.8798828125,8696.080078125,8493.8203125,350600,0.31%
123,2022-06-23,8766.1796875,8669.8603515625,8782.669921875,8655.1904296875,392100,1.70%
124,2022-06-24,8951.91015625,8825.7900390625,8953.8603515625,8816.669921875,472600,2.12%
125,2022-06-27,8903.0400390625,8969.099609375,8974.740234375,8871.5400390625,290100,-0.55%
126,2022-06-28,8751.009765625,8939.740234375,8971.669921875,8743.6904296875,236400,-1.71%
127,2022-06-29,8625.580078125,8689.5400390625,8692.25,8563.6103515625,240100,-1.43%
128,2022-06-30,8551.5498046875,8531.849609375,8621.3203125,8438.8798828125,237900,-0.86%
129,2022-07-01,8664.099609375,8544.400390625,8666.169921875,8536.6904296875,187700,1.32%
130,2022-07-05,8742.009765625,8573.3203125,8742.6904296875,8489.0400390625,259400,0.90%
131,2022-07-06,8659.25,8748.5,8780.7099609375,8643.66015625,221400,-0.95%
132,2022-07-07,8782.2197265625,8711.41015625,8789.4404296875,8710.0302734375,332600,1.42%
133,2022-07-08,8741.9404296875,8739.7900390625,8808.900390625,8688.419921875,292700,-0.46%
134,2022-07-11,8631.66015625,8689.01953125,8699.849609375,8613.41015625,209000,-1.26%
135,2022-07-12,8577.3095703125,8619.9501953125,8679.3701171875,8544.6298828125,198600,-0.63%
136,2022-07-13,8545.830078125,8476.830078125,8585.51953125,8449.509765625,188200,-0.37%
137,2022-07-14,8443.8798828125,8448.51953125,8466.990234375,8393.1298828125,209000,-1.19%
138,2022-07-15,8601.3603515625,8530.1103515625,8601.5703125,8480.7802734375,316200,1.87%
139,2022-07-18,8577.9296875,8672.1298828125,8702.5,8560.2197265625,270900,-0.27%
140,2022-07-19,8821.080078125,8676.919921875,8826.349609375,8667.6298828125,283600,2.83%
141,2022-07-20,8891.3203125,8823.9697265625,8927.9599609375,8801.3798828125,329400,0.80%
142,2022-07-21,8970.099609375,8865.6201171875,8970.099609375,8838.650390625,227500,0.89%
143,2022-07-22,8892.2998046875,8991.2802734375,9011.75,8845.740234375,242400,-0.87%
144,2022-07-25,8878.6103515625,8892.3095703125,8906.3701171875,8838.580078125,196000,-0.15%
145,2022-07-26,8754.169921875,8823.41015625,8846.4296875,8738.23046875,251700,-1.40%
146,2022-07-27,8895.8798828125,8812.7998046875,8917.4404296875,8784.849609375,249500,1.62%
147,2022-07-28,9097.509765625,8928.7802734375,9097.509765625,8879.8701171875,256000,2.27%
148,2022-07-29,9144.740234375,9060.0595703125,9173.900390625,9056.099609375,254700,0.52%
149,2022-08-01,9083.9296875,9083.6396484375,9119.0302734375,9038.8701171875,302800,-0.66%
150,2022-08-02,9077.1904296875,9046.4501953125,9153.7001953125,9032.58984375,321000,-0.07%
151,2022-08-03,9243.990234375,9140.7802734375,9263.080078125,9129.0703125,448000,1.84%
152,2022-08-04,9291.0498046875,9324.7802734375,9355.4296875,9271.8798828125,382000,0.51%
153,2022-08-05,9319.5,9281.2998046875,9343.490234375,9250.650390625,307700,0.31%
154,2022-08-08,9377.599609375,9429.3203125,9468.2900390625,9352.8798828125,315600,0.62%
155,2022-08-09,9246.6298828125,9327.7197265625,9330.41015625,9202.8798828125,308000,-1.40%
156,2022-08-10,9389.900390625,9366.5595703125,9399.58984375,9332.259765625,332700,1.55%
157,2022-08-11,9322.75,9425.599609375,9475.2998046875,9304.7197265625,0,-0.72%
158,2022-08-12,9480.419921875,9395.7802734375,9480.6298828125,9369.9501953125,243000,1.69%
159,2022-08-15,9515.5,9429.599609375,9527.91015625,9429.599609375,309900,0.37%
160,2022-08-16,9517.2900390625,9465.849609375,9562.9296875,9418.919921875,352900,0.02%
161,2022-08-17,9417.169921875,9420.580078125,9466.1396484375,9380.150390625,318500,-1.05%
162,2022-08-18,9415.7998046875,9428.990234375,9430.48046875,9381.240234375,253200,-0.01%
163,2022-08-19,9198.66015625,9325.5302734375,9334.0498046875,9187.5498046875,275600,-2.31%
164,2022-08-22,9023.9599609375,9131.3896484375,9151.73046875,9014.5302734375,280000,-1.90%
165,2022-08-23,9002.51953125,9005.740234375,9051.400390625,8982.330078125,239400,-0.24%
166,2022-08-24,9043.259765625,9011.4599609375,9099.76953125,8999.3095703125,297100,0.45%
167,2022-08-25,9153.2802734375,9087.150390625,9155.66015625,9067.25,232900,1.22%
168,2022-08-26,8914.8798828125,9173.1103515625,9173.6396484375,8914.8798828125,296100,-2.60%
169,2022-08-29,8847.2001953125,8859.5498046875,8917.25,8845.080078125,265200,-0.76%
170,2022-08-30,8786.2998046875,8886.0498046875,8898.1796875,8765.66015625,244400,-0.69%
171,2022-08-31,8784.2197265625,8855.7001953125,8886.73046875,8777.849609375,328100,-0.02%
172,2022-09-01,8778.3095703125,8721.4404296875,8779.73046875,8624.099609375,322700,-0.07%
173,2022-09-02,8672.75,8846.3896484375,8855.41015625,8651.490234375,220000,-1.20%
174,2022-09-06,8700.490234375,8698.150390625,8750.98046875,8633.3701171875,275900,0.32%
