,date,ixic_f,open,high,low,volume,ixic_f_cr
51,2022-03-10,13586.0,13778.0,13778.0,13396.25,611077,-1.08%
52,2022-03-11,13292.0,13577.25,13860.75,13281.75,439890,-2.16%
53,2022-03-14,13045.5,13362.0,13447.5,13015.5,402608,-1.85%
54,2022-03-15,13451.75,13082.0,13489.0,12944.0,284955,3.11%
55,2022-03-16,13953.0,13451.75,14029.25,13420.5,274498,3.73%
56,2022-03-17,14111.75,13999.0,14136.25,13822.75,125160,1.14%
57,2022-03-18,14095.3095703125,14060.0,14095.3095703125,13970.5,558776,-0.12%
58,2022-03-21,14370.5,14404.0,14466.75,14183.75,589629,1.95%
59,2022-03-22,14654.0,14390.0,14690.75,14293.5,509918,1.97%
60,2022-03-23,14447.0,14654.0,14682.25,14441.0,555130,-1.41%
61,2022-03-24,14763.75,14462.75,14769.75,14433.5,512267,2.19%
62,2022-03-25,14755.75,14765.0,14840.5,14572.5,553931,-0.05%
63,2022-03-28,14985.25,14756.0,14997.0,14658.75,532125,1.56%
64,2022-03-29,15237.75,14981.0,15268.75,14956.5,552951,1.68%
65,2022-03-30,15071.5,15222.0,15262.25,15012.25,513516,-1.09%
66,2022-03-31,14868.75,15100.5,15180.75,14855.5,560785,-1.35%
67,2022-04-01,14863.75,14918.75,14960.0,14725.0,539029,-0.03%
68,2022-04-04,15164.25,14846.0,15174.5,14801.0,460171,2.02%
69,2022-04-05,14828.0,15155.5,15198.0,14780.25,563198,-2.22%
70,2022-04-06,14505.25,14861.0,14861.25,14394.75,783213,-2.18%
71,2022-04-07,14536.0,14496.25,14633.75,14317.0,645737,0.21%
72,2022-04-08,14327.0,14536.25,14642.25,14310.5,640156,-1.44%
73,2022-04-11,14000.0,14345.0,14382.0,13984.75,577477,-2.28%
74,2022-04-12,13945.0,14006.25,14284.25,13881.25,704351,-0.39%
75,2022-04-13,14221.5,13952.75,14266.5,13921.0,530164,1.98%
76,2022-04-14,13893.75,14211.5,14296.25,13876.5,548400,-2.30%
77,2022-04-18,13907.75,13892.0,14002.5,13729.5,492103,0.10%
78,2022-04-19,14217.25,13962.75,14242.0,13828.0,556357,2.23%
79,2022-04-20,14004.75,14104.75,14298.0,13956.5,604344,-1.49%
80,2022-04-21,13728.25,14070.0,14283.0,13667.5,685788,-1.97%
81,2022-04-22,13353.5,13720.0,13781.0,13297.0,732255,-2.73%
82,2022-04-25,13535.75,13334.25,13549.75,13184.0,749649,1.36%
83,2022-04-26,13016.0,13523.5,13583.75,12801.5,755330,-3.84%
84,2022-04-27,13009.0,12881.0,13255.25,12878.25,817196,-0.05%
85,2022-04-28,13454.75,13191.0,13542.0,13033.0,756360,3.43%
86,2022-04-29,12852.0,13219.5,13433.0,12831.75,723386,-4.48%
87,2022-05-02,13073.0,12892.25,13084.5,12709.75,763818,1.72%
88,2022-05-03,13087.5,13051.75,13183.75,12968.5,662216,0.11%
89,2022-05-04,13531.25,13121.0,13555.25,12883.0,703191,3.39%
90,2022-05-05,12858.0,13500.25,13548.0,12705.25,877795,-4.98%
91,2022-05-06,12695.75,12883.25,12928.75,12519.0,852234,-1.26%
92,2022-05-09,12193.75,12605.0,12637.25,12135.25,816033,-3.95%
93,2022-05-10,12349.0,12206.0,12547.0,12102.25,853859,1.27%
94,2022-05-11,11969.75,12328.75,12553.25,11938.5,865890,-3.07%
95,2022-05-12,11947.25,12004.5,12132.75,11689.0,878238,-0.19%
96,2022-05-13,12382.75,11891.5,12432.0,11891.5,663517,3.65%
97,2022-05-16,12244.75,12409.0,12498.75,12190.25,623715,-1.11%
98,2022-05-17,12560.25,12235.5,12578.0,12234.0,653222,2.58%
99,2022-05-18,11935.5,12572.0,12594.0,11862.75,735386,-4.97%
100,2022-05-19,11878.25,11907.0,12076.75,11704.0,827741,-0.48%
