,date,tsla,open,high,low,volume,tsla_cr
53,2022-03-14,255.4566650390625,260.2033386230469,266.8999938964844,252.01333618164062,71152200,-3.64%
54,2022-03-15,267.2966613769531,258.42333984375,268.5233459472656,252.19000244140625,66841200,4.63%
55,2022-03-16,280.07666015625,269.6666564941406,280.6666564941406,267.4200134277344,84028800,4.78%
56,2022-03-17,290.5333251953125,276.9966735839844,291.6666564941406,275.239990234375,66582900,3.73%
57,2022-03-18,301.7966613769531,291.4966735839844,302.6166687011719,289.1300048828125,100414200,3.88%
58,2022-03-21,307.0533447265625,304.99334716796875,314.2833251953125,302.36334228515625,81981600,1.74%
59,2022-03-22,331.32666015625,310.0,332.6199951171875,307.25,105868500,7.91%
60,2022-03-23,333.03668212890625,326.64666748046875,346.8999938964844,325.4666748046875,120676200,0.52%
61,2022-03-24,337.97332763671875,336.57666015625,341.4966735839844,329.6000061035156,68920800,1.48%
62,2022-03-25,336.8800048828125,336.0,340.6000061035156,332.44000244140625,62031600,-0.32%
63,2022-03-28,363.9466552734375,355.0333251953125,365.9599914550781,351.20001220703125,102506100,8.03%
64,2022-03-29,366.5233459472656,369.3299865722656,371.5899963378906,357.7033386230469,73614900,0.71%
65,2022-03-30,364.663330078125,363.72332763671875,371.3166809082031,361.3333435058594,59865000,-0.51%
66,2022-03-31,359.20001220703125,364.8566589355469,367.71331787109375,358.8800048828125,48992700,-1.50%
67,2022-04-01,361.5299987792969,360.3833312988281,364.9166564941406,355.5466613769531,54263100,0.65%
68,2022-04-04,381.8166809082031,363.1266784667969,383.3033447265625,357.510009765625,82035900,5.61%
69,2022-04-05,363.7533264160156,378.76666259765625,384.2900085449219,362.4333190917969,80075100,-4.73%
70,2022-04-06,348.586669921875,357.8233337402344,359.6666564941406,342.5666809082031,89348400,-4.17%
71,2022-04-07,352.4200134277344,350.7966613769531,358.86334228515625,340.5133361816406,79447200,1.10%
72,2022-04-08,341.8299865722656,347.7366638183594,349.4800109863281,340.8133239746094,55013700,-3.00%
73,2022-04-11,325.30999755859375,326.79998779296875,336.15667724609375,324.8800048828125,59357100,-4.83%
74,2022-04-12,328.98333740234375,332.5466613769531,340.39666748046875,325.5333251953125,65976000,1.13%
75,2022-04-13,340.7900085449219,327.02667236328125,342.0799865722656,324.3666687011719,55121100,3.59%
76,2022-04-14,328.3333435058594,333.0966796875,337.57000732421875,327.39666748046875,58422300,-3.66%
77,2022-04-18,334.7633361816406,329.6766662597656,338.3066711425781,324.4700012207031,51715200,1.96%
78,2022-04-19,342.7166748046875,335.0199890136719,344.9800109863281,331.77667236328125,49847700,2.38%
79,2022-04-20,325.73333740234375,343.3333435058594,344.6666564941406,325.0833435058594,70711200,-4.96%
80,2022-04-21,336.260009765625,358.24334716796875,364.0733337402344,332.1400146484375,105416400,3.23%
81,2022-04-22,335.01666259765625,338.3033447265625,344.95001220703125,331.3333435058594,69696600,-0.37%
82,2022-04-25,332.67333984375,326.3233337402344,336.2066650390625,325.1000061035156,68341200,-0.70%
