,date,dji_f,open,high,low,volume,dji_f_cr
44,2022-03-01,33267.0,33822.0,34065.0,33064.0,275407,-1.69%
45,2022-03-02,33849.0,33318.0,33977.0,33121.0,239411,1.75%
46,2022-03-03,33738.0,33805.0,34143.0,33597.0,195518,-0.33%
47,2022-03-04,33583.0,33772.0,33859.0,33210.0,260950,-0.46%
48,2022-03-07,32782.0,33451.0,33542.0,32689.0,253270,-2.39%
49,2022-03-08,32602.0,32716.0,33374.0,32305.0,286678,-0.55%
50,2022-03-09,33265.0,32538.0,33441.0,32521.0,202047,2.03%
51,2022-03-10,33152.0,33254.0,33294.0,32799.0,184103,-0.34%
52,2022-03-11,32925.0,33190.0,33691.0,32901.0,150209,-0.68%
53,2022-03-14,32944.0,33012.0,33395.0,32815.0,111933,0.06%
54,2022-03-15,33532.0,32979.0,33618.0,32680.0,94046,1.78%
55,2022-03-16,34059.0,33510.0,34160.0,33388.0,42649,1.57%
56,2022-03-17,34461.0,34124.0,34491.0,33867.0,24152,1.18%
57,2022-03-18,34413.66015625,34335.0,34484.0,34215.0,152069,-0.14%
58,2022-03-21,34436.0,34670.0,34694.0,34228.0,153664,0.06%
59,2022-03-22,34709.0,34490.0,34775.0,34318.0,111073,0.79%
60,2022-03-23,34250.0,34691.0,34792.0,34217.0,128190,-1.32%
61,2022-03-24,34604.0,34252.0,34655.0,34214.0,123375,1.03%
62,2022-03-25,34759.0,34640.0,34841.0,34522.0,123518,0.45%
63,2022-03-28,34853.0,34762.0,34886.0,34445.0,129887,0.27%
64,2022-03-29,35190.0,34848.0,35281.0,34826.0,147281,0.97%
65,2022-03-30,35117.0,35154.0,35257.0,34955.0,121051,-0.21%
66,2022-03-31,34618.0,35124.0,35215.0,34592.0,137841,-1.42%
67,2022-04-01,34718.0,34702.0,34805.0,34437.0,152091,0.29%
68,2022-04-04,34829.0,34688.0,34849.0,34514.0,117196,0.32%
69,2022-04-05,34550.0,34802.0,35015.0,34469.0,152767,-0.80%
70,2022-04-06,34399.0,34595.0,34608.0,34178.0,185467,-0.44%
71,2022-04-07,34490.0,34370.0,34613.0,34093.0,168413,0.26%
72,2022-04-08,34613.0,34481.0,34820.0,34368.0,156893,0.36%
