,retail_1,foreigner_1,institution_1,financial_1,invtrust_1,pension_1,privequity_1,bank_1,insurance_1,financeetc_1,corporateetc_1,foreigneretc_1,dji_cr,dji_f_cr,ixic_cr,ixic_f_cr,spx_cr,spx_f_cr,bond_kor_10_cr,bond_kor_2_cr,dxy_cr,bond_usa_10_cr,bond_usa_2_cr,bond_usa_3m_cr,kosdaq_cr,kospi_cr,krw_cr,sox_cr,vix_cr,wti_cr,open_1,high_1,low_1,close_1,vol_1,retail_2,foreigner_2,institution_2,financial_2,invtrust_2,pension_2,privequity_2,bank_2,insurance_2,financeetc_2,corporateetc_2,foreigneretc_2,dji_cr_2,dji_f_cr_2,ixic_cr_2,ixic_f_cr_2,spx_cr_2,spx_f_cr_2,bond_kor_10_cr_2,bond_kor_2_cr_2,dxy_cr_2,bond_usa_10_cr_2,bond_usa_2_cr_2,bond_usa_3m_cr_2,kosdaq_cr_2,kospi_cr_2,krw_cr_2,sox_cr_2,vix_cr_2,wti_cr_2,open_2,high_2,low_2,close_2,vol_2,weekday,cr_00,cr_05,cr_10,cr_15,cr_20
2022-12-02,-0.8672010937111608,-1.026113037257168,-1.9876911600149199,-1.3769114434548815,7.857142857142857,-0.3368200836820084,38.10576923076923,-1.030612244897959,3.0631578947368423,-1.0,-1.0378501135503406,-0.8034188034188035,-0.55,-0.49,0.13,0.17,-0.09,0.01,0.33,-0.31,-1.14,-2.79,-2.15,-1.1,1.52,0.3,0.2,-0.78,-3.6,0.96,0.03293413173652695,0.01020408163265306,0.025525525525525526,0.0,-0.44342450635327807,-0.8921469667911578,-1.0263633080534489,0.3813249869587898,-0.511860718171926,1.1598360655737705,-0.8782174414137534,27.048275862068966,6.5,-0.8232600732600732,-1.0,-0.732620320855615,0.4375,1.6131233589597418,1.6894586053105711,4.5400581584846025,4.668214061042539,3.00533400039923,3.02246340232206,-0.1633986928104637,-1.7054263565891545,-1.9472126479844218,-6.400000000000006,-5.480430222698255,-1.5510948905109603,1.7950903043131732,1.908859656692938,-1.5942838172270088,5.017411165612012,-9.365006852444042,4.002557544757027,0.05343511450381679,0.028189910979228485,0.042748091603053436,0.019316493313521546,-0.20523250242245483,3,0,0,0,0,0
2022-12-07,-0.4081024609193623,-1.045517388067638,-0.05331810531377735,0.4050245098039216,-0.28412911903160726,0.038300418910831836,-0.15039872408293462,-0.7566371681415929,0.21346153846153845,-1.0,-1.393939393939394,-0.34375,-1.03,-1.04,-2.0,-2.03,-1.44,-1.46,-1.71,0.37,0.29,-1.43,-0.67,1.37,-1.89,-1.08,1.1,-2.36,6.84,-3.79,-0.023952095808383235,-0.01943198804185351,-0.003067484662576687,-0.007621951219512195,-0.2879022338610483,-0.43453349105426586,-1.0269267065114815,0.46748043235184494,-0.6366661384883536,-0.07233115468409586,-5.35929648241206,0.8950551405193882,17.333333333333332,0.2445759368836292,-1.0,-0.9259962049335864,-0.37623762376237624,-2.417848932366497,-2.397051568530718,-3.896610391310043,-3.698923835890177,-3.2035759019574033,-3.202061096797939,-2.0139860139860155,0.21220159151193654,0.9971291866028723,0.39806653397782865,1.3344473067372,0.3374423249087616,-1.84323623712395,-1.691225100951805,1.687354090100075,-3.5255484988452594,16.31689401888774,-8.231669747381401,-0.050946142649199416,-0.046511627906976744,-0.02108433734939759,-0.021052631578947368,-0.4475976484348549,1,0,0,0,0,0
2022-12-08,-0.1538863829509054,-14.67056074766355,-0.5408597371261668,-0.7993894461404274,-0.488492249882574,-0.7667627281460134,-0.10399849821663225,-0.8,-1.5451664025356577,-0.7454545454545455,-1.8461538461538463,0.6825396825396826,0.0,-0.02,-0.51,-0.49,-0.19,-0.21,0.2,-0.4,-0.46,-3.14,-2.34,-1.6,-0.18,-0.43,-0.41,-0.01,2.3,-2.54,-0.003067484662576687,-0.003048780487804878,-0.004615384615384616,-0.0015360983102918587,-0.1012425475009751,-0.49918743228602386,-0.3777517813463788,-0.5653402260158692,-0.7181372549019608,-0.6338264963012777,-0.7578296429283862,-0.23875598086124403,-0.9513274336283186,-1.6615384615384616,-1.0,-0.6666666666666666,0.10416666666666667,-1.0299733315737005,-1.062202083210734,-2.503483114678559,-2.5093704338987357,-1.6234708065338967,-1.6611503153687628,-1.5151515151515227,-0.026567481402760093,-0.1738899077338315,-4.521350823332413,-2.987010032531782,-0.2551020408163293,-2.070037637047955,-1.5091017310649362,0.680970363618266,-2.3666910153396707,9.301204819277107,-6.2273901808785626,-0.02694610778443114,-0.02242152466367713,-0.007668711656441718,-0.009146341463414634,-0.3599968257747094,2,0,0,0,0,0
2022-12-09,0.6980607278065364,0.7475645188856606,0.6347669755220579,0.4260869565217391,7.973370064279155,-1.442339373970346,-0.683218101822753,14.727272727272727,-1.747093023255814,-1.4642857142857142,-0.030303030303030304,-0.660377358490566,0.55,0.53,1.13,1.18,0.75,0.74,0.48,0.96,-0.29,2.01,1.16,-0.72,-0.78,-0.49,0.11,2.67,-1.72,-0.72,0.003076923076923077,-0.0015290519877675841,-0.0030911901081916537,-0.004615384615384616,0.7009919404835709,0.43675230437340656,-24.89018691588785,-0.24941266112134103,-0.7139119058002616,3.589948332550493,-1.1031700288184438,-0.7161629434954008,2.1454545454545455,-0.5927099841521395,-1.1181818181818182,-1.8205128205128205,-0.42857142857142855,0.5466341593219101,0.5054559510005054,0.6092661842288083,0.6873595019885872,0.5645402739225526,0.5259822560202788,0.6851270339708827,0.5558496559025915,-0.7447272176005774,-1.1894647408666172,-1.2023635031146787,-2.310684053992241,-0.961859223840775,-0.9226294940580625,-0.3000477348669134,2.6631756124929797,0.5412719891745487,-3.236202497650056,0.0,-0.004573170731707317,-0.007692307692307693,-0.006144393241167435,0.5287791831503873,3,1,1,0,0,0
2022-12-12,-0.7181727181727182,-0.21603911980440096,-1.1722358514508078,-4.364329268292683,-1.2764019647973803,-6.901303538175046,-0.7916666666666666,-0.6011560693641619,-3.6186770428015564,-0.3076923076923077,-7.75,-0.9722222222222222,-0.9,-0.9,-0.7,-0.65,-0.73,-0.74,-2.32,-0.45,0.04,2.76,0.66,0.56,0.98,0.76,-0.91,-0.86,2.42,-0.78,-0.0015337423312883436,0.0030627871362940277,0.0031007751937984496,0.0077279752704791345,-0.199839632612895,-0.521440160704628,0.37002221842420097,-1.2815654819527036,-5.797826086956522,-3.480257116620753,1.6103789126853376,-0.9340037712130735,5.2727272727272725,0.9563953488372093,-1.3214285714285714,-7.545454545454546,-0.9905660377358491,-0.3609562438405841,-0.37769516728624536,0.4204023342504394,0.5234806029801469,0.011693171188027117,-0.012700831904489744,-1.8518518518518503,0.5049162901939975,-0.24463143466340884,4.82315112540193,1.824406716067908,-0.1627528481748561,0.18798562954298922,0.26145601201942326,-0.7996165492475705,1.788119108184954,0.6613756613756551,-1.4880132267842359,0.0015384615384615385,0.0015290519877675841,0.0,0.003076923076923077,0.3610663360198388,4,0,0,0,0,0
2022-12-13,-0.3958669680335809,-0.4845309381237525,-0.8644400785854617,-1.3688264612596284,-1.0940392447241762,-1.6980119911644052,3.619047619047619,-1.3043478260869565,-0.18424962852897475,0.8888888888888888,-1.3935185185185186,28.0,1.58,1.55,1.26,1.23,1.43,1.41,0.12,-0.19,0.29,0.82,0.52,-1.02,-0.59,-0.67,0.17,2.14,9.51,2.14,0.0,0.0015267175572519084,0.00463678516228748,-0.0015337423312883436,-0.3192584494852874,-0.8297388297388297,-0.5958924205378973,-1.0233482784874377,0.24085365853658536,-0.9740073679901761,3.1191806331471135,-0.037698412698412696,-1.1213872832369942,-3.1361867704280155,0.3076923076923077,1.65625,-0.19444444444444445,0.6650353343500864,0.6330799041505192,0.5571196534921474,0.5688892705336825,0.6824758862725142,0.6556136922398034,0.11611030478955017,-0.18508725542041557,0.33220054221237827,0.8644729503625248,0.909677122196129,-0.11644154634373298,0.3789367316005229,0.08181925536042878,-0.7409771779029206,1.2569679746420375,12.157918349035446,2.7132867132867102,-0.0015337423312883436,0.004594180704441042,0.007751937984496124,0.0061823802163833074,-0.45529759084448007,0,0,0,0,0,0
2022-12-14,24.487974345269908,15.746127783155856,-99.31884057971014,4.821867321867322,36.161417322834644,-3.9014466546112114,1.3821305841924398,-9.714285714285714,-5.584699453551913,-23.0,8.023529411764706,5.482758620689655,0.31,0.34,1.01,1.09,0.73,0.76,0.58,-0.13,-1.1,-3.2,-3.83,1.61,-0.01,-0.03,-1.3,1.52,-9.8,2.38,0.0030721966205837174,-0.001524390243902439,-0.04461538461538461,-0.039938556067588324,3.4184008029441286,14.398127219890217,7.6321107784431135,-14.328094302554028,-3.1472587222473947,-4.494631617919289,1.025244556642474,10.003174603174603,1.6521739130434783,-4.739970282317979,-42.55555555555556,-4.550925925925926,187.0,1.89717286620704,1.8956355603319601,2.2916738606148934,2.333671859806824,2.167304632496098,2.1848205779612573,0.6966618287373011,-0.31729243786356454,-0.8168016870390068,-2.424749163879604,-3.321939021312717,0.5769674590352981,-0.6018151746375963,-0.6965140809697565,-1.1304807994661876,3.693495038588754,-1.2264564169951713,4.575799721835871,0.0030721966205837174,0.0,-0.0401854714064915,-0.04141104294478527,2.007789013391637,1,1,1,1,1,1
2022-12-15,-1.1688894480791814,-1.0811763855769925,-1.375994988207547,-2.7220932686220722,-0.9645089522195148,-1.9269242754752258,-0.21350259665320254,0.25136612021857924,-0.7624155740961462,-0.946524064171123,-0.5619295958279009,-1.2553191489361701,-0.43,-0.41,-0.76,-0.75,-0.61,-0.6,-1.79,-2.52,-0.2,-0.63,0.04,-0.3,1.94,1.13,0.49,-1.57,-6.25,2.77,-0.04747320061255743,-0.021374045801526718,-0.004830917874396135,0.0256,-0.3735556464192146,-5.304649919828968,-2.3593901258470473,35.96739130434783,-11.025798525798526,0.3188976377952756,1.6894213381555154,0.8735395189003436,-11.904761904761905,-2.0892531876138434,-2.176470588235294,2.9529411764705884,-2.6551724137931036,-0.11504254839240491,-0.0705529588147103,0.2436345428016055,0.3329989113497129,0.1192815043502721,0.15657293167157263,-1.2177442737025173,-2.6490066225165587,-1.2987136550464253,-3.8153165606856483,-3.786201702535559,1.305665656330148,1.926679902687281,1.1053425592704662,-0.8161827759402069,-0.06836499712146071,-15.439999999999998,5.2151416122004335,-0.0445468509984639,-0.022865853658536585,-0.04923076923076923,-0.015360983102918587,1.7678822348611576,2,0,0,0,0,0
2022-12-16,-0.027998510057114477,2.75645362293039,-1.569440360678232,-1.5555691704447985,-2.5223880597014925,-1.3222390317700454,-0.975421863536317,-1.039301310043668,-1.3244147157190636,-0.75,0.017857142857142856,-1.5208333333333333,-2.25,-2.3,-3.23,-3.43,-2.49,-2.53,-0.23,-0.46,0.76,-0.84,0.58,-0.41,-0.87,-1.6,1.78,-4.17,7.99,-1.32,0.02572347266881029,0.0109204368174727,0.02750809061488673,0.0,-0.5448274750600332,-1.164160795168596,-1.3049353276970879,-0.7858932783018868,-0.04325807132306394,-1.0540311473673059,-0.7013088189467124,-0.98066935949221,-1.0491803278688525,-1.0770758839888757,-0.9866310160427807,-0.5541069100391134,-0.8670212765957447,-2.6615703171058827,-2.6982685377786892,-3.9645334690733773,-4.159716210224033,-3.082357916734046,-3.1139287712101433,-2.0178725857595805,-2.9708222811671114,0.5666567253206072,-1.456726649528698,0.6240952991148759,-0.7113354749885199,1.05151294815146,-0.4817905918057786,2.2790564178942296,-5.674286726918303,1.2416851441241579,1.4097619364277196,-0.022970903522205207,-0.010687022900763359,0.02254428341384863,0.0256,-0.7148597418462486,3,0,0,0,0,0
2022-12-19,-1.220731940984863,-0.8940758293838863,0.0018932874354561102,0.06285840317600352,-4.143137254901961,-1.7511737089201878,12.552238805970148,-3.6666666666666665,-0.5360824742268041,-1.4,-0.6052631578947368,-1.16,-0.85,-0.74,-0.97,-0.18,-1.11,-0.66,-1.09,0.3,0.12,1.09,-1.37,-0.81,-0.73,-0.04,-0.69,-0.95,-0.92,-2.36,-0.009404388714733543,-0.006172839506172839,-0.006299212598425197,0.0,0.27532485925716105,-1.214551775515272,-0.6021007655332028,-1.5705184749583456,-1.5904913613527754,3.7850746268656716,-0.7579425113464447,-0.6669112252384446,-0.8951965065502183,-1.1505016722408026,-1.1,-0.5982142857142857,-0.9166666666666666,-3.0786655592746746,-3.019857029388406,-4.166901652419813,-3.6058123949535057,-3.5781864781794708,-3.164832416208109,-1.320810096859405,-0.16326530612244308,0.8887689297178467,0.25869502730669436,-0.7898856682005708,-1.219792865362484,-1.5898491083676314,-1.6350943003021783,1.0845903259174596,-5.084074460807268,7.0009460737937586,-3.64954057202018,0.01607717041800643,0.0046801872074883,0.021035598705501618,0.0,-0.4195071636932102,4,0,0,0,0,0
2022-12-20,10.669560185185185,-8.228187919463087,3.0929393574987114,-0.8516289686656983,2.601996257018091,-7.002083333333333,6.046255506607929,-0.9166666666666666,-26.488888888888887,-1.0,-5.014814814814815,-49.25,-0.5,0.02,-1.49,-1.18,-0.9,-0.67,1.19,0.16,-0.06,2.24,1.39,-0.8,-0.03,-0.33,-0.62,-1.37,-0.88,1.93,0.007911392405063292,-0.009316770186335404,-0.017432646592709985,-0.0265210608424337,0.12308781476442988,-3.575844670115603,-1.7656398104265403,3.1006884681583475,-0.8423026025584472,-12.321568627450981,3.508607198748044,94.49253731343283,-1.2222222222222223,-12.824742268041238,-1.0,-2.584795321637427,6.72,-1.34386216106407,-0.7196194146693966,-2.446688552735157,-1.3571570204234507,-2.0044920746967887,-1.3215293815755709,1.1940298507462697,0.16393442622950227,0.06026862587533233,2.924311926605501,1.9509862522414798,-0.2096924510717487,-0.7555211158465605,-0.37272815834168704,-1.3060196737226133,-2.310813857368302,-1.795882610600073,-0.47213114754098284,-0.001567398119122257,-0.015432098765432098,-0.023622047244094488,-0.0265210608424337,0.43230180929787915,0,0,0,0,0,0
2022-12-26,-1.0038670627136692,-3.841841251106521,-0.33226369026857344,-0.23606220657276994,-0.6849166062364032,-0.4448669201520912,-0.2445290199809705,-1.0,-0.9212034383954155,1.0,-0.7580645161290323,5.833333333333333,0.53,0.5,0.21,0.19,0.59,0.53,1.51,1.13,-0.11,1.76,1.11,0.07,-3.32,-1.83,-0.94,0.09,-5.01,1.13,0.00967741935483871,-0.0031496062992125984,0.008064516129032258,-0.012598425196850394,-0.23332174572575293,-0.982442748091603,-0.11414643119941133,0.43896572459410704,2.0883748517200473,1.145679012345679,-2.0834879406307976,-0.6645542881284326,-1.0,-0.9622770919067215,1.0,-0.8809523809523809,-2.0789473684210527,-0.5159920998259887,-0.5779141469808454,-1.9749994630869996,-2.2872645462967047,-0.8668433700147453,-0.9217179799014273,-0.42052144659377977,-0.4256451183825489,0.15696168401591853,2.123604682820578,2.4696912293994933,0.11778290993070809,-2.0476122998441326,-0.6552308980441729,0.02657890416740943,-4.121762147854037,3.98604882909816,1.4059304703476594,0.0,0.009569377990430622,0.01461038961038961,0.01129032258064516,-0.03513830612285481,4,1,1,1,1,0
