Date,Price,Open,High,Low,Vol.,Change %
12-Jan-22,"78,900","79,500","79,600","78,600",10.92M,0.00%
13-Jan-22,"77,900","79,300","79,300","77,900",7.69K,-1.27%
14-Jan-22,"77,300","77,700","78,100","77,100",9.92M,-0.77%
16-Jan-22,"77,300","77,300","77,300","77,300",-,0.00%
17-Jan-22,"77,500","77,600","77,800","76,900",8.75M,0.26%
18-Jan-22,"77,000","77,500","77,800","76,600",0.17K,-0.65%
19-Jan-22,"76,300","76,500","76,900","76,100",4.48K,-0.91%
20-Jan-22,"76,500","76,200","76,600","76,000",12.67K,0.26%
21-Jan-22,"75,600","75,800","75,800","74,700",15.74M,-1.18%
23-Jan-22,"75,600","75,600","75,600","75,600",-,0.00%
24-Jan-22,"75,100","75,400","75,800","74,700",13.66M,-0.66%
25-Jan-22,"74,000","74,800","75,000","73,200",17.53M,-1.46%
26-Jan-22,"73,300","73,900","74,400","73,200",3.67K,-0.95%
27-Jan-22,"71,300","73,800","74,000","71,300",11.89K,-2.73%
28-Jan-22,"73,300","71,300","73,700","71,200",21.05M,2.81%
03-Feb-22,"73,300","74,100","74,100","73,300",25.35K,0.00%
04-Feb-22,"74,000","74,300","74,600","73,400",12.38M,0.95%
06-Feb-22,"74,000","74,000","74,000","74,000",-,0.00%
07-Feb-22,"73,000","73,500","73,500","72,400",0.79K,-1.35%
08-Feb-22,"73,500","73,800","74,200","73,000",11.71M,0.68%
09-Feb-22,"74,700","74,300","74,700","74,000",9.60M,1.63%
10-Feb-22,"75,400","75,500","75,800","74,700",4.77K,0.94%
11-Feb-22,"74,900","75,000","75,500","74,600",12.00M,-0.66%
13-Feb-22,"74,900","74,900","74,900","74,900",-,0.00%
14-Feb-22,"73,700","74,400","74,400","73,100",4.16K,-1.60%
15-Feb-22,"73,700","74,100","74,200","73,100",0.04K,0.00%
16-Feb-22,"74,800","74,600","74,800","74,200",4.64K,1.49%
17-Feb-22,"75,000","74,900","75,600","74,500",0.38K,0.27%
18-Feb-22,"74,300","74,600","74,800","73,700",10.04M,-0.93%
20-Feb-22,"74,300","74,300","74,300","74,300",-,0.00%
21-Feb-22,"74,200","73,300","74,300","72,600",0.10K,-0.13%
22-Feb-22,"73,400","73,000","73,400","72,800",20.21K,-1.08%
23-Feb-22,"73,000","73,800","73,800","72,800",2.11K,-0.54%
24-Feb-22,"71,500","72,300","72,300","71,300",10.45K,-2.05%
25-Feb-22,"71,900","72,100","72,600","71,900",13.06M,0.56%
27-Feb-22,"71,900","71,900","71,900","71,900",-,0.00%
28-Feb-22,"72,100","71,100","72,100","71,000",17.64M,0.28%
01-Mar-22,"72,100","72,100","72,100","72,100",-,0.00%
02-Mar-22,"71,700","72,400","72,400","71,500",0.51K,-0.55%
03-Mar-22,"72,900","72,400","73,100","72,400",0.51K,1.67%
04-Mar-22,"71,500","72,700","72,700","71,200",13.36M,-1.92%
06-Mar-22,"71,500","71,500","71,500","71,500",-,0.00%
07-Mar-22,"70,100","70,000","70,600","69,900",1.39K,-1.96%
08-Mar-22,"69,500","68,800","70,000","68,700",15.72M,-0.86%
09-Mar-22,"69,500","69,500","69,500","69,500",-,0.00%
10-Mar-22,"71,200","70,900","71,200","70,500",2.01K,2.45%
11-Mar-22,"70,000","70,500","70,700","69,700",15.67M,-1.69%
13-Mar-22,"70,000","70,000","70,000","70,000",-,0.00%
14-Mar-22,"70,200","70,000","70,200","69,600",0.78K,0.29%
15-Mar-22,"69,500","69,800","70,100","69,500",0.20K,-1.00%
16-Mar-22,"70,400","70,200","70,500","69,700",0.13K,1.29%
17-Mar-22,"71,200","71,300","71,800","70,900",1.43K,1.14%
18-Mar-22,"70,700","70,600","70,900","70,200",14.24M,-0.70%
20-Mar-22,"70,700","70,700","70,700","70,700",-,0.00%
21-Mar-22,"69,900","70,900","71,000","69,900",11.09M,-1.13%
22-Mar-22,"70,300","70,000","70,500","70,000",0.79K,0.57%
23-Mar-22,"70,500","70,600","71,200","70,300",1.03K,0.28%
24-Mar-22,"69,800","69,600","70,300","69,600",17.92M,-0.99%
25-Mar-22,"69,800","70,100","70,200","69,600",12.91M,0.00%
27-Mar-22,"69,800","69,800","69,800","69,800",-,0.00%
28-Mar-22,"69,700","69,600","69,900","69,200",0.89K,-0.14%
29-Mar-22,"70,200","69,900","70,300","69,800",5.95K,0.72%
30-Mar-22,"69,900","70,300","70,500","69,800",12.35M,-0.43%
31-Mar-22,"69,600","69,900","70,100","69,600",5.43K,-0.43%
01-Apr-22,"69,100","69,500","69,500","69,000",15.85M,-0.72%
03-Apr-22,"69,100","69,100","69,100","69,100",-,0.00%
04-Apr-22,"69,300","68,900","69,300","68,600",10.80M,0.29%
05-Apr-22,"69,200","69,400","69,600","69,100",1.96K,-0.14%
06-Apr-22,"68,500","68,600","68,800","68,500",15.30M,-1.01%
07-Apr-22,"68,000","68,500","68,500","68,000",2.12K,-0.73%
08-Apr-22,"67,800","68,100","68,300","67,700",15.36M,-0.29%
10-Apr-22,"67,800","67,800","67,800","67,800",-,0.00%
11-Apr-22,"67,900","67,800","68,100","67,400",0.69K,0.15%
12-Apr-22,"67,000","67,600","67,700","67,000",2.41K,-1.33%
13-Apr-22,"68,700","67,200","69,000","67,200",0.57K,2.54%
14-Apr-22,"67,500","68,700","68,700","67,500",2.32K,-1.75%
15-Apr-22,"66,600","67,200","67,300","66,500",12.99M,-1.33%
17-Apr-22,"66,600","66,600","66,600","66,600",-,0.00%
18-Apr-22,"66,700","66,500","67,100","66,100",10.06M,0.15%
19-Apr-22,"67,300","67,100","68,000","67,000",0.60K,0.90%
20-Apr-22,"67,400","67,000","67,400","66,500",4.98K,0.15%
21-Apr-22,"67,700","67,600","68,300","67,500",0.98K,0.45%
22-Apr-22,"67,000","67,200","67,300","66,700",11.74M,-1.03%
24-Apr-22,"67,000","67,000","67,000","67,000",-,0.00%
25-Apr-22,"66,300","66,600","66,700","66,300",0.05K,-1.04%
26-Apr-22,"66,100","66,500","66,700","66,100",2.99K,-0.30%
27-Apr-22,"65,000","65,400","65,500","64,900",0.66K,-1.66%
28-Apr-22,"64,800","65,500","65,500","64,500",0.69K,-0.31%
29-Apr-22,"67,400","65,100","67,600","65,000",26.09M,4.01%
01-May-22,"67,400","67,400","67,400","67,400",-,0.00%
02-May-22,"67,300","66,600","67,600","66,500",0.67K,-0.15%
03-May-22,"67,500","67,400","68,400","67,300",0.16K,0.30%
04-May-22,"67,900","68,000","68,400","67,500",11.44M,0.59%
05-May-22,"67,900","67,900","67,900","67,900",-,0.00%
06-May-22,"66,500","67,000","67,100","66,500",14.25M,-2.06%
08-May-22,"66,500","66,500","66,500","66,500",-,0.00%
09-May-22,"66,100","66,300","66,900","66,100",11.77M,-0.60%
10-May-22,"65,700","65,900","66,300","65,300",17.17M,-0.61%
11-May-22,"65,700","65,600","66,300","65,300",1.17K,0.00%
12-May-22,"64,900","65,200","65,500","64,900",2.01K,-1.22%
13-May-22,"66,500","65,300","66,700","65,200",14.49M,2.47%
15-May-22,"66,500","66,500","66,500","66,500",-,0.00%
16-May-22,"66,300","67,100","67,300","66,100",3.52K,-0.30%
17-May-22,"67,600","66,700","67,900","66,600",0.71K,1.96%
18-May-22,"68,100","68,200","68,700","67,600",1.69K,0.74%
19-May-22,"67,500","66,600","67,600","66,600",4.71K,-0.88%
20-May-22,"68,000","67,800","68,400","67,700",12.02M,0.74%
22-May-22,"68,000","68,000","68,000","68,000",-,0.00%
23-May-22,"67,900","68,700","68,800","67,600",4.12K,-0.15%
24-May-22,"66,500","67,600","67,700","66,500",4.18K,-2.06%
25-May-22,"66,400","66,700","67,000","65,900",1.00K,-0.15%
26-May-22,"65,900","66,300","67,200","65,500",0.11K,-0.75%
27-May-22,"66,500","66,700","66,900","66,200",11.35M,0.91%
29-May-22,"66,500","66,500","66,500","66,500",-,0.00%
30-May-22,"67,700","67,500","67,800","66,900",14.04M,1.80%
31-May-22,"67,400","67,500","67,500","66,700",23.43M,-0.44%
01-Jun-22,"67,400","67,400","67,400","67,400",-,0.00%
02-Jun-22,"66,700","66,600","67,000","66,500",0.06K,-1.04%
03-Jun-22,"66,800","67,200","67,300","66,800",8.18M,0.15%
06-Jun-22,"66,800","66,800","66,800","66,800",-,0.00%
07-Jun-22,"65,500","66,300","66,400","65,400",0.09K,-1.95%
08-Jun-22,"65,300","65,500","65,700","65,300",3.09K,-0.31%
09-Jun-22,"65,200","65,100","65,200","64,500",25.52M,-0.15%
10-Jun-22,"63,800","64,000","64,400","63,800",22.02M,-2.15%
12-Jun-22,"63,800","63,800","63,800","63,800",-,0.00%
13-Jun-22,"62,100","62,500","62,800","62,100",1.32K,-2.66%
14-Jun-22,"61,900","61,200","62,200","61,100",6.14K,-0.32%
15-Jun-22,"60,700","61,400","61,500","60,200",1.25K,-1.94%
16-Jun-22,"60,900","61,400","61,800","60,500",1.22K,0.33%
17-Jun-22,"59,800","59,400","59,900","59,400",28.79M,-1.81%
19-Jun-22,"59,800","59,800","59,800","59,800",-,0.00%
20-Jun-22,"58,700","59,900","59,900","58,100",8.25K,-1.84%
21-Jun-22,"58,500","58,800","59,100","58,200",0.60K,-0.34%
22-Jun-22,"57,600","59,000","59,000","57,600",20.02K,-1.54%
23-Jun-22,"57,400","57,700","58,000","56,800",3.18K,-0.35%
24-Jun-22,"58,400","57,900","59,100","57,700",23.13M,1.74%
26-Jun-22,"58,400","58,400","58,400","58,400",-,0.00%
27-Jun-22,"58,800","59,000","59,900","58,300",17.90M,0.68%
28-Jun-22,"59,400","59,100","59,500","58,700",1.30K,1.02%
29-Jun-22,"58,400","58,600","58,800","58,100",10.97M,-1.68%
